city,distance
Lhasa,7.256114
Nyingchi,3.874029
Shanghai,3.556254
Beijing,2.960928
Nagqu,2.830061
Ngari,2.664104
Chengdou,2.468313
Chongqing,2.326616
Xi'an,2.321924
Wuhan,2.298846
Xining,2.298846
Haixi,2.185259
Qamdo,2.133353
Guangzhou,2.115822
Haidong,2.115822
Haikou,2.115822
Hangzhou,2.115822
Jiaxing,2.115822
Leshan,2.115822
Tianshui,2.115822
Lanzhou,2.099469
Suzhou,1.979903
Kunming,1.927862
Changzhou,1.901633
Garze,1.877896
Diqing,1.862283
Nanjing,1.778787
Tianjin,1.753956
Hong Kong,1.744973
Zhengzhou,1.735576
Wuxi,1.732685
Shamen,1.709549
Ningbo,1.678888
Dazhou,1.652937
Shenzhen,1.652937
Jiuquan,1.620489
Lijiang,1.620489
Urumqi,1.620489
Xianyang,1.620489
Zhoushan,1.602411
Nantong,1.588813
Haibei,1.580491
Baoji,1.580491
Luoyang,1.580491
Bangbu,1.580491
Changchun,1.580491
Jinan,1.556148
Nujiang,1.556148
Qingdao,1.556148
Shenyang,1.556148
Yangzhou,1.556148
Huzhou,1.554662
Sanya,1.550944
Hohhot,1.550239
Shaoxing,1.531077
Fuzhou,1.527356
Kashgar,1.513594
Taipei,1.505740
Langfang,1.494338
Harbin,1.491772
Macau,1.491772
Nanning,1.491772
Taiyuan,1.491772
Xuzhou,1.491772
Dalian,1.491772
Jinhua,1.491049
Ngawa,1.478596
Zhenjiang,1.469766
Baoding,1.463485
Shijiazhuang,1.460088
Qinhuangdao,1.458882
Huangshan,1.456918
Hefei,1.455233
Wenzhou,1.450866
Changsha,1.448428
Gannan,1.444346
Guilin,1.444346
Hezhou,1.444346
Jingzhou,1.444346
Kumul(Hami),1.444346
Mianyang,1.444346
Chongzuo,1.444346
Sanmenxia,1.444346
Foshan,1.444346
Weinan,1.444346
Wuhu,1.444346
Ya'an,1.444346
Zhongwei,1.444346
Taizhou,1.427698
Taizhou,1.403298
Tangshan,1.402063
Nanchang,1.400971
Yancheng,1.385488
Zhangjiakou,1.381645
Deyang,1.378891
Chengde,1.370330
Hengyang,1.369893
Huangnan,1.369893
Dandong,1.369893
Baotou,1.369893
Jiayuguan,1.369893
Jingdezhen,1.369893
Dongying,1.369893
Jinzhong,1.369893
Kaifeng,1.369893
Liangshanzhou,1.369893
Liaocheng,1.369893
Ma'anshan,1.369893
Anshan,1.369893
Chuzhou,1.369893
Qujing,1.369893
Rizhao,1.369893
Shangqiu,1.369893
Shangrao,1.369893
Datong,1.369893
Dali,1.369893
Baoshan,1.369893
Baiyin,1.369893
Wuwei,1.369893
Xiangxi,1.369893
Xinzhou,1.369893
Yantai,1.369893
Yinchuan,1.369893
Yushuzhou,1.369893
Zhangjiajie,1.369893
Zhongshan,1.369893
Zigong,1.369893
Ziyang,1.369893
Zunyi,1.369893
Qionghai,1.367545
Taoyuan,1.360682
Zhuhai,1.358448
Guiyang,1.353634
Lianyungang,1.341181
Dingxi,1.329152
Yichang,1.323133
Yan'an,1.321199
Xuancheng,1.318232
Xianning,1.318207
Cangzhou,1.309781
Quanzhou,1.303729
Meishan,1.303663
Tai'an,1.291828
Dongguan,1.289417
Huai'an,1.286468
Nanping,1.286370
Chizhou,1.285877
Nanchong,1.281628
Jincheng,1.280348
Anshun,1.280348
Xinyang,1.280348
Yuncheng,1.280348
Huanggang,1.278187
Xiangyang,1.275997
Wanning,1.272992
Xiaogan,1.271470
Huangshi,1.269855
Quzhou,1.269659
Jiujiang,1.269196
Huludao,1.265997
Weihai,1.265530
Lishui,1.263830
Beihai,1.259321
Wenchang,1.258901
Neijiang,1.258320
Hanzhong,1.256517
Zhangye,1.253916
Hulunbuir,1.253464
Yingtan,1.252288
Kaohsiung,1.251042
Dezhou,1.249858
Suining,1.243329
Jining,1.242610
Shiyan,1.242099
Ankang,1.237515
Weifang,1.236648
Guang'an,1.235059
Jian,1.231176
Chifeng,1.230322
Weicu,1.230206
Jiangmen,1.225078
Anqing,1.223703
Handan,1.222439
Liuzhou,1.221264
Zibo,1.221096
Linyi,1.220309
Ezhou,1.217692
Ordos,1.217181
Jinzhou,1.216473
Jilin,1.215759
Longnan,1.214666
Ningde,1.214362
Zaozhuang,1.214362
Yulin,1.213789
Jingmen,1.211283
Yibin,1.211086
Yueyang,1.210617
Guangyuan,1.209578
Hengshui,1.209075
Shangluo,1.207997
New Taipei,1.206678
Danzhou,1.206173
Luzhou,1.204499
Zhuzhou,1.204476
Linxia,1.203480
Shaoyang,1.202281
Jieyang,1.201642
Zhanjiang,1.200222
Qingyuan,1.198689
Xingtai,1.196121
Xilingol,1.193717
Yanbian,1.192741
Enshi,1.192140
Huizhou,1.191499
Zhaoqing,1.187034
Qiqihar,1.186088
Pingliang,1.185910
Xishuangbanna,1.185489
Taichung,1.185425
Jiaozuo,1.184750
Xinxiang,1.184412
Anyang,1.183391
Shantou,1.182260
Lu'an,1.182260
Yuxi,1.179579
Fushun,1.176628
Chengmai,1.174977
Tongchuan,1.174917
Daqing,1.173996
Tongling,1.173965
Xiuqian,1.173642
Shaoguan,1.173589
Ganzhou,1.172008
Panjin,1.170490
Longyan,1.164781
Lingshui,1.163728
Dingan,1.162381
Yingkou,1.161254
Ulanqab,1.160362
