city,distance
Guangzhou,4.922266
Jieyang,4.274909
Shanghai,4.267291
Shenzhen,3.902478
Chaozhou,3.888069
Shamen,3.603864
Shanwei,3.331203
Huizhou,3.079494
Beijing,2.990384
Zhuhai,2.990384
Meizhou,2.816041
Zhangzhou,2.768084
Fuzhou,2.751207
Hong Kong,2.715913
Dongguan,2.658450
Foshan,2.616451
Quanzhou,2.493109
Anshan,2.493109
Hangzhou,2.433071
Wuhan,2.363413
Heyuan,2.279284
Chongqing,2.228999
Kunming,2.228999
Suzhou,2.228999
Taipei,2.228999
Zhongshan,2.228999
Chengdou,2.170395
Jinhua,2.170395
Nanchang,2.170395
Nanping,2.170395
Changsha,2.099239
Jiangmen,2.099239
Nanjing,2.099239
Qingyuan,2.099239
Shaoguan,2.099239
Wenzhou,2.099239
Wuxi,2.099239
Xi'an,2.099239
Haikou,2.006523
Longyan,2.006523
Nanning,2.006523
Ningbo,2.006523
Putian,2.006523
Sanming,2.006523
Sanya,2.006523
Shaoxing,2.006523
Zhengzhou,2.006523
Jiaxing,1.918949
Datong,1.865661
Fangchenggang,1.865661
Ganzhou,1.865661
Huangshan,1.865661
Jian,1.865661
Jinan,1.865661
Kaohsiung,1.865661
Macau,1.865661
Ningde,1.865661
Qingdao,1.865661
Qionghai,1.865661
Shangqiu,1.865661
Changde,1.865661
Shenyang,1.865661
Shijiazhuang,1.865661
Taoyuan,1.865661
Tianjin,1.865661
Xiangxi,1.865661
Xining,1.865661
Yancheng,1.865661
Yangjiang,1.865661
Yantai,1.865661
Yichun,1.865661
Yinchuan,1.865661
Yunfu,1.865661
Zhanjiang,1.865661
Zhaoqing,1.865661
Changzhou,1.823281
Hualien,1.745277
Zhoushan,1.732485
Nantong,1.716600
Huzhou,1.676805
Yangzhou,1.626957
Guilin,1.620350
Taidong,1.609017
New Taipei,1.584491
Zhenjiang,1.578466
Dalian,1.570855
Hefei,1.561716
Guiyang,1.550083
Taizhou,1.530048
Harbin,1.516634
Zhuzhou,1.511368
Dali,1.508319
Taizhou,1.502059
Langfang,1.501804
Maoming,1.496995
Chenzhou,1.496154
Wuzhou,1.495947
Hezhou,1.493600
Hengyang,1.491000
Baoding,1.470645
Pingdong,1.468132
Changchun,1.467863
Qinhuangdao,1.465997
Lijiang,1.465835
Taiyuan,1.457627
Xuzhou,1.447893
Ma'anshan,1.445553
Shangrao,1.443212
Yingkou,1.442857
Urumqi,1.439956
Liaoyang,1.434426
Lanzhou,1.432795
Lianyungang,1.431112
Zhangjiajie,1.427611
Kaifeng,1.416227
Wuhu,1.412812
Tangshan,1.408633
Xuancheng,1.405011
Liuzhou,1.403699
Jiujiang,1.402782
Kinmen,1.390999
Tai'an,1.388273
Zhangjiakou,1.388025
Sansha,1.381941
Beihai,1.379825
Chengde,1.376605
Yingtan,1.373587
Hohhot,1.371434
Lhasa,1.371079
Huai'an,1.368985
Leshan,1.368808
Chizhou,1.368316
Ngawa,1.366255
Yueyang,1.362412
Yichang,1.350069
Quzhou,1.349967
Huaihua,1.349933
Anshun,1.349933
Tainan,1.349933
Yilan,1.349933
Panjin,1.348582
Luoyang,1.348520
Weicu,1.346267
Weihai,1.345300
Xianyang,1.344667
Jinzhong,1.344574
Xinyu,1.344574
Huainan,1.344574
Lishui,1.343379
Bangbu,1.341847
Ulanqab,1.340043
Jinzhou,1.339524
Xianning,1.339186
Xiangyang,1.333276
Jingdezhen,1.333113
Chuzhou,1.331427
Taichung,1.325161
Wanning,1.320270
Jining,1.319429
Diqing,1.317080
Cangzhou,1.315513
Fushun,1.315049
Pingxiang,1.313535
Xiangtan,1.313535
Weinan,1.313332
Baoji,1.310952
Anqing,1.309872
Keelung,1.308057
Xilingol,1.307716
Yulin,1.306081
Jingzhou,1.304080
Huanggang,1.297902
Linyi,1.294313
Benxi,1.293477
Hsinchu,1.293476
Xishuangbanna,1.292898
Xiaogan,1.290977
Huangshi,1.289312
Zaozhuang,1.287625
Mianyang,1.286468
Baoshan,1.286264
Yuxi,1.285871
Chongzuo,1.284799
Dandong,1.283453
Deyang,1.280687
Guigang,1.279973
Weifang,1.277223
Rizhao,1.276713
Baotou,1.274123
Qinzhou,1.272822
Huludao,1.271352
Yiyang,1.269582
Yongzhou,1.269582
Haixi,1.267779
Jiuquan,1.266218
Zibo,1.263633
Yanbian,1.263342
Shiyan,1.260709
Shuozhou,1.258835
Hulunbuir,1.258713
Mudanjiang,1.256950
Dezhou,1.255077
Honghe,1.253586
Qujing,1.253316
Baise,1.251670
Lu'an,1.251591
Zhongwei,1.249735
Yan'an,1.245991
Nyingchi,1.244899
Shizuishan,1.243341
Tongling,1.242298
Xiuqian,1.241936
Xinzhou,1.241929
Chiayi,1.240532
Xinxiang,1.240387
Haibei,1.237996
Ordos,1.237864
Nanyang,1.237621
Ezhou,1.235572
Chifeng,1.235378
Jiaozuo,1.234548
Nantou,1.234006
Garze,1.231211
Fuzhou,1.229785
Xinyang,1.229746
Handan,1.229746
Jilin,1.229162
Chaoyang,1.228994
Jingmen,1.228974
Dongying,1.224926
Ya'an,1.223230
Qiandongnan,1.221157
Wenchang,1.219380
Hengshui,1.213958
Heze,1.212162
Luzhou,1.211696
Zhumadian,1.211696
Suihua,1.211429
Enshi,1.209273
Fuyang,1.208889
Tieling,1.208727
Bayannur,1.208689
Guang'an,1.206999
Huaibei,1.205745
Anyang,1.201146
Liaocheng,1.201146
Linfen,1.201146
Xingtai,1.200899
Ili(Yili),1.200859
Bazhong,1.200184
Xiuzhou,1.199108
Nanchong,1.196361
Zunyi,1.193794
Qiqihar,1.190787
Meishan,1.190486
Wuzhong,1.189562
Changzhi,1.189192
Luohe,1.189192
Dazhou,1.188763
Hanzhong,1.188303
Daqing,1.188127
Yunlin,1.184964
Fuxin,1.182616
Yuncheng,1.180675
Dehong,1.176091
Neijiang,1.176026
Xuchang,1.175358
Yibin,1.175358
Suizhou,1.175275
Suining,1.172797
Bozhou,1.172741
Pu'er,1.172252
Ankang,1.171294
Liangshanzhou,1.171109
Danzhou,1.169846
Pingdingshan,1.167980
Hechi,1.162250
Alxa,1.160324
Shaoyang,1.158858
Ziyang,1.155645
Miaoli,1.154411
Alty,1.154384
Binzhou,1.152198
Yangquan,1.150066
Yulin,1.150017
Jiayuguan,1.148383
Zigong,1.148223
Laibin,1.146687
Suihua,1.146361
Lingshui,1.145761
Tongliao,1.145063
Shangluo,1.144817
Baishan,1.141907
Tongren,1.141441
Changhua,1.141216
Wenshan,1.140878
Chengmai,1.140478
Kashgar,1.138258
Zhangye,1.138258
Sanmenxia,1.134826
Guangyuan,1.133343
Penghu,1.132374
Tianshui,1.129801
Nagqu,1.128950
Dingan,1.128607
Bayingolin,1.127417
Panzhihua,1.121811
Bijie,1.121811
Haidong,1.120220
Huangnan,1.119056
Turpan,1.117051
Jiamusi,1.115528
Tongchuan,1.115064
Zhaotong,1.112474
Dongfang,1.110436
Heihe,1.110436
Wuwei,1.110436
Qianxinan,1.110436
Liupanshui,1.110436
Tonghua,1.110436
Puyang,1.110353
Yichun,1.108939
Siping,1.105755
Keramay,1.105436
Lvliang,1.103834
Qiannan,1.103621
Zhoukou,1.102495
Hinggan,1.101863
Shannan,1.099855
Laiwu,1.099855
Ledong,1.099398
Lincang,1.093916
Guyuan,1.092807
Wuhai,1.086663
Gannan,1.084922
Daxinganling,1.082516
Baoting,1.081754
Jincheng,1.076222
Hebi,1.069817
Nujiang,1.065898
Aksu,1.065898
Tacheng,1.065898
Changjiang,1.065898
Songyuan,1.065898
Jiyuan,1.062695
Wuzhishan,1.054488
Longnan,1.045157
Yushuzhou,1.044791
Qingyang,1.044231
Jixi,1.040147
Changji,1.040147
Liaoyuan,1.035467
Hotan,1.035467
Shuangyashan,1.034476
Kumul(Hami),1.034476
Bortala,1.030427
Baicheng,1.028417
Jinchang,1.024962
Baiyin,1.024962
Pingliang,1.022627
Dingxi,1.018988
Hegang,1.005016
Golog,0.996634
Qamdo,0.995200
Qiongzhong,0.985002
Ngari,0.975240
Linxia,0.975240
Qitaihe,0.975240
Kezilsu,0.892980
