city,distance
Guiyang,6.054948
Beijing,3.918893
Anshun,3.692879
Chengdou,3.692879
Shanghai,3.515748
Zunyi,3.515748
Chongqing,3.415267
Qiandongnan,3.176476
Shenzhen,3.176476
Liupanshui,3.026345
Hangzhou,2.837338
Kunming,2.837338
Guilin,2.563631
Liuzhou,2.563631
Wuhan,2.563631
Wuzhong,2.563631
Jinan,2.235129
Qiannan,2.151535
Guangzhou,2.069726
Tianjin,2.002788
Suzhou,1.967284
Qianxinan,1.908122
Changsha,1.890398
Xi'an,1.875665
Yinchuan,1.854373
Leshan,1.849767
Ngawa,1.845108
Tongren,1.825000
Nanjing,1.822285
Nanning,1.799285
Shamen,1.759448
Jiaxing,1.750662
Weifang,1.744292
Zhengzhou,1.740321
Sanya,1.727916
Wuxi,1.723013
Hefei,1.719197
Langfang,1.704638
Lijiang,1.695970
Baoji,1.692611
Deyang,1.692400
Zhuhai,1.685190
Nanchang,1.679797
Qujing,1.675487
Huaihua,1.674245
Changzhou,1.670689
Ningbo,1.669806
Qingdao,1.665225
Baoding,1.664606
Jinan,1.663049
Mianyang,1.661160
Shijiazhuang,1.660214
Dongguan,1.658664
Qinhuangdao,1.658654
Dali,1.645436
Shenyang,1.637858
Luzhou,1.632629
Xiangxi,1.622427
Garze,1.606183
Dalian,1.603137
Taiyuan,1.602501
Zhoushan,1.594135
Ya'an,1.593490
Fuzhou,1.589337
Tangshan,1.585598
Nantong,1.580676
Harbin,1.580586
Loudi,1.569953
Zhangjiakou,1.559535
Hohhot,1.559315
Nanchong,1.548194
Zhuzhou,1.547914
Huzhou,1.546871
Weicu,1.546537
Chengde,1.545133
Meishan,1.538370
Changchun,1.538061
Huizhou,1.536733
Haikou,1.535615
Urumqi,1.535615
Taipei,1.526370
Shaoxing,1.523520
Jinhua,1.522245
Lanzhou,1.522245
Foshan,1.522245
Lhasa,1.520772
Pingxiang,1.520392
Neijiang,1.514310
Hechi,1.507572
Liangshanzhou,1.506166
Yangzhou,1.504352
Luoyang,1.492897
Suining,1.492652
Quanzhou,1.491274
Yantai,1.491274
Guang'an,1.486609
Zhongwei,1.485146
Yichang,1.484851
Ziyang,1.480684
Zhaotong,1.480626
Xishuangbanna,1.476522
Jiangmen,1.472893
Beihai,1.472893
Cangzhou,1.468582
Zigong,1.468522
Baoshan,1.467875
Yuxi,1.467365
Zhenjiang,1.462800
Dazhou,1.459041
Huangshan,1.450073
Jingzhou,1.449463
Laibin,1.449429
Yibin,1.446420
Tai'an,1.446050
Guangyuan,1.444270
Wenzhou,1.444078
Diqing,1.438741
Datong,1.437032
Macau,1.429160
Zhongshan,1.428052
Taoyuan,1.427675
Fangchenggang,1.426641
Guigang,1.426641
Yueyang,1.426641
Zhangjiajie,1.426641
Honghe,1.425471
Taizhou,1.421125
Guyuan,1.415950
Huludao,1.413761
Baotou,1.406664
Jinzhong,1.402285
Xianning,1.401194
Xuzhou,1.399345
Hulunbuir,1.398149
Xining,1.398149
Taizhou,1.396947
Yulin,1.396380
Changde,1.395548
Qinzhou,1.395548
Shaoguan,1.395548
Yichun,1.395548
Zhanjiang,1.395548
Dezhou,1.393665
Weihai,1.385515
Jining,1.382598
Hezhou,1.381830
Yancheng,1.379297
Enshi,1.378562
Xinzhou,1.376307
Chifeng,1.369418
Panzhihua,1.364340
Handan,1.359658
Zibo,1.357997
Huanggang,1.356063
Kashgar,1.353957
Ordos,1.353957
Pingdong,1.353957
Pu'er,1.353957
Anyang,1.353957
Kaifeng,1.353957
Qionghai,1.353957
Changzhi,1.353957
Shangrao,1.353957
Shaoyang,1.353957
Fuzhou,1.353957
Yangjiang,1.353957
Yingtan,1.353957
Xiangyang,1.353598
Jinzhou,1.352282
Jilin,1.351400
Xiaogan,1.348505
Nyingchi,1.347937
Huangshi,1.346688
Hengshui,1.343146
Shantou,1.341410
Jiujiang,1.338949
Lianyungang,1.335379
Yiyang,1.332183
Dandong,1.330416
Xingtai,1.327179
Dehong,1.326109
Dongying,1.324967
Heyuan,1.324382
Xilingol,1.324220
Zaozhuang,1.323090
Wuhu,1.319432
Shiyan,1.315513
Qiqihar,1.314838
Linyi,1.314019
Bazhong,1.313969
Jiaozuo,1.313194
Xinxiang,1.312779
Xuancheng,1.312626
Fushun,1.303222
Daqing,1.299995
Anshan,1.299055
Shanwei,1.296912
Zhaoqing,1.296063
