city,distance
Shanghai,6.085847
Hangzhou,4.892466
Ningbo,3.668122
Jiaxing,3.428426
Jinhua,3.349201
Taizhou,2.881136
Suzhou,2.747717
Beijing,2.736830
Zhoushan,2.708676
Wenzhou,2.586192
Nanjing,2.507631
Wuxi,2.423537
Ulanqab,2.348713
Shamen,2.344590
Huzhou,2.340424
Changzhou,2.266880
Lishui,2.251340
Quzhou,2.223862
Wuhan,2.187789
Fuzhou,2.181392
Hong Kong,2.166972
Guangzhou,2.117477
Shangrao,2.101367
Xi'an,2.056962
Huangshan,2.037168
Datong,2.026741
Nanchang,2.026741
Chengdou,2.004666
Shenzhen,2.004666
Hefei,1.980691
Nantong,1.967863
Ningde,1.954389
Qingdao,1.954389
Yangzhou,1.954389
Changsha,1.940187
Tianjin,1.940187
Yingtan,1.940187
Zhenjiang,1.925160
Ankang,1.909189
Nanping,1.909189
Sanya,1.894336
Zhengzhou,1.892125
Taizhou,1.873781
Kunming,1.853912
Zhuzhou,1.853912
Jiujiang,1.832193
Wuhu,1.832193
Taipei,1.827331
Chongqing,1.820177
Yichun,1.808177
Jinan,1.781225
Quanzhou,1.781225
Taiyuan,1.781225
Dalian,1.765004
Guiyang,1.750366
Changchun,1.750366
Shaoguan,1.750366
Shenyang,1.750366
Xuancheng,1.750366
Yantai,1.750366
Harbin,1.714023
Hengyang,1.714023
Chizhou,1.714023
Nanning,1.714023
Zhuhai,1.714023
Macau,1.708209
Guilin,1.692790
Fuzhou,1.669337
Beihai,1.669337
Huai'an,1.669337
Lijiang,1.669337
Ordos,1.669337
Pingxiang,1.669337
Qinhuangdao,1.669337
Chuzhou,1.669337
Xiangxi,1.669337
Yancheng,1.669337
Zhangjiajie,1.669337
Taoyuan,1.618002
Xuzhou,1.611256
Foshan,1.610172
Jian,1.610172
Jiaozuo,1.610172
Jining,1.610172
Kaifeng,1.610172
Lanzhou,1.610172
Lianyungang,1.610172
Luoyang,1.610172
Neijiang,1.610172
Fuyang,1.610172
Putian,1.610172
Sanming,1.610172
Baoding,1.610172
Shantou,1.610172
Changzhi,1.610172
Xiuqian,1.610172
Urumqi,1.601434
Haikou,1.595936
Hohhot,1.584550
Shijiazhuang,1.566774
Huanggang,1.518187
Jieyang,1.518187
Daqing,1.518187
