city,distance
Changsha,5.635650
Shanghai,4.246134
Xiangtan,3.405772
Loudi,3.351849
Beijing,3.233771
Hengyang,3.233771
Huaihua,3.233771
Guilin,3.168261
Hangzhou,3.018887
Shenzhen,3.018887
Yongzhou,3.018887
Wuhan,2.931300
Guangzhou,2.830781
Zhuzhou,2.830781
Yueyang,2.710933
Chongqing,2.558277
Dongguan,2.558277
Guiyang,2.558277
Nanchang,2.558277
Qiandongnan,2.558277
Shamen,2.558277
Tongren,2.558277
Xiangxi,2.558277
Zhangjiajie,2.558277
Changde,2.333631
Chenzhou,2.333631
Dalian,2.333631
Foshan,2.333631
Fuyang,2.333631
Bangbu,2.333631
Hong Kong,2.333631
Anshun,2.333631
Jinzhong,2.333631
Quanzhou,2.333631
Shaoguan,2.333631
Shaoxing,2.333631
Suzhou,2.333631
Taiyuan,2.333631
Wuxi,2.333631
Xingtai,2.333631
Xinyang,2.333631
Yiyang,2.333631
Zhongshan,2.333631
Zibo,2.333631
Zunyi,2.333631
Jiaxing,1.914659
Nanjing,1.882638
Chengdou,1.854910
Changzhou,1.819408
Ningbo,1.818361
Tianjin,1.807121
Kunming,1.783965
Xi'an,1.768182
Zhoushan,1.728987
Nantong,1.713167
Zhengzhou,1.710429
Nanning,1.690779
Sanya,1.678306
Huzhou,1.673528
Qingdao,1.659928
Pingxiang,1.656844
Liuzhou,1.653041
Xianning,1.650526
Fuzhou,1.643978
Zhuhai,1.643978
Jinan,1.632500
Yichun,1.627691
Hefei,1.625236
Yangzhou,1.623872
Taipei,1.616974
Haikou,1.615054
Jinhua,1.612411
Shijiazhuang,1.609072
Hezhou,1.597190
Zhenjiang,1.575562
Qiannan,1.566810
Lijiang,1.563236
Xining,1.563236
Huangshan,1.560807
Langfang,1.560799
Jiujiang,1.555182
Wenzhou,1.553863
Shenyang,1.548205
Urumqi,1.544211
Harbin,1.540112
Taizhou,1.527319
Baoding,1.527172
Macau,1.522994
Qinhuangdao,1.522161
Lanzhou,1.512902
Yichang,1.510741
Taizhou,1.499429
Huizhou,1.498880
Shangrao,1.491544
Weifang,1.490392
Dali,1.487673
Xinyu,1.485674
Beihai,1.479421
Yancheng,1.479112
Handan,1.477489
Hohhot,1.473156
Changchun,1.465352
Tangshan,1.460410
Jingzhou,1.460168
Huangshi,1.454298
Xuzhou,1.453907
Huanggang,1.452427
Yingtan,1.451985
Zhangzhou,1.451376
Taoyuan,1.450876
Xiangyang,1.449599
Bozhou,1.444251
Xiaogan,1.443760
Yantai,1.440661
Zhangjiakou,1.438271
Jiangmen,1.434917
Lianyungang,1.428725
Chengde,1.426013
Qingyuan,1.417335
Wuhu,1.410486
Luoyang,1.407016
Zhumadian,1.406351
Shiyan,1.406008
Xuancheng,1.402710
Xinzhou,1.400590
Anyang,1.397008
Datong,1.396400
Quzhou,1.395784
Chuzhou,1.392406
Jian,1.386655
Huainan,1.383546
Luohe,1.383437
Zhaoqing,1.383000
Ezhou,1.374816
Linyi,1.369701
Nanyang,1.369701
Xuchang,1.369701
Longyan,1.369132
Lhasa,1.368888
Huai'an,1.366800
Nanping,1.366689
Jingmen,1.366652
Chizhou,1.366133
Ngawa,1.361009
Cangzhou,1.360560
Liupanshui,1.355839
Qujing,1.355839
Dezhou,1.354179
Anqing,1.354179
Xianyang,1.354179
Yinchuan,1.354179
Binzhou,1.351179
Jingdezhen,1.349256
Qianxinan,1.347711
Wuzhou,1.346204
Fuzhou,1.345366
Yingkou,1.343779
Weihai,1.343190
Enshi,1.342332
Tai'an,1.341413
Lishui,1.341275
Putian,1.339225
Xiuzhou,1.337101
Ganzhou,1.336269
Yangjiang,1.336269
Jieyang,1.336269
Linfen,1.331807
Dongying,1.329150
Kaohsiung,1.326881
Shantou,1.323746
Luzhou,1.321717
Jining,1.317400
Mianyang,1.314983
