city,distance
Shanghai,4.799828
Beijing,4.729205
Dalian,3.703889
Fushun,3.352279
Anshan,3.287970
Changchun,3.257268
Harbin,3.123355
Jinzhou,3.042945
Liaoyang,3.024817
Benxi,2.998666
Dandong,2.958240
Tieling,2.930867
Tianjin,2.926666
Yingkou,2.918185
Panjin,2.800028
Qinhuangdao,2.791421
Huludao,2.727427
Hangzhou,2.709767
Nanjing,2.632904
Guangzhou,2.611834
Chengdou,2.550986
Qingdao,2.526087
Jilin,2.508737
Xi'an,2.499816
Fuxin,2.468773
Siping,2.459031
Wuhan,2.438886
Jinan,2.424925
Shijiazhuang,2.424925
Chaoyang,2.417772
Shenzhen,2.406815
Shamen,2.380089
Zhengzhou,2.355726
Chongqing,2.325311
Hong Kong,2.320769
Suzhou,2.313630
Yanbian,2.311523
Tangshan,2.306816
Tongliao,2.287388
Hohhot,2.272133
Taiyuan,2.250767
Wuxi,2.250767
Yantai,2.184450
Tonghua,2.177742
Daqing,2.142016
Changsha,2.142016
Baishan,2.110308
Ningbo,2.101858
Sanya,2.093172
Zhuhai,2.084234
Hulunbuir,2.065528
Chifeng,2.055717
Quanzhou,2.055717
Urumqi,2.035057
Kunming,2.024146
Xuzhou,2.024146
Yichang,2.024146
Jiaxing,2.019717
Hefei,2.012801
Lanzhou,2.000980
Qiqihar,2.000980
Taipei,2.000980
Weifang,2.000980
Dongguan,1.988633
Nantong,1.988633
Mudanjiang,1.975702
Tai'an,1.962120
Langfang,1.947806
Nanchang,1.947806
Wenzhou,1.932661
Changzhou,1.932661
Baoding,1.932661
Jiamusi,1.916566
Yinchuan,1.899371
Chengde,1.880886
Taoyuan,1.880886
Luoyang,1.860867
Ordos,1.860867
Changde,1.860867
Songyuan,1.860867
Fuzhou,1.860867
Guiyang,1.838986
Baotou,1.838986
Dezhou,1.838986
Lianyungang,1.838986
Liaoyuan,1.838986
Liuzhou,1.838986
Yiyang,1.838986
Haikou,1.814793
Hinggan,1.814793
Baicheng,1.814793
Garze,1.814793
Sanming,1.814793
Zhoushan,1.814204
Lijiang,1.787645
Nanning,1.787645
Qingyuan,1.787645
Weihai,1.787645
Heze,1.756565
Jinzhong,1.756565
Lhasa,1.756565
Baoji,1.756565
Shaoxing,1.756565
Suihua,1.756565
Zibo,1.756565
Huzhou,1.753240
Hualien,1.719966
Jian,1.719966
Hengshui,1.719966
Lishui,1.719966
Mianyang,1.719966
Nanping,1.719966
New Taipei,1.719966
Xingtai,1.719966
Xining,1.719966
Yangzhou,1.698818
Ma'anshan,1.681208
Huangshan,1.674974
Jinhua,1.674974
Jining,1.674974
Anyang,1.674974
Jiujiang,1.674974
Kaifeng,1.674974
Guilin,1.674974
Liaocheng,1.674974
Linyi,1.674974
Dongying,1.674974
Ngawa,1.674974
Pingdong,1.674974
Shangrao,1.674974
Shuangyashan,1.674974
