city,distance
Shanghai,4.942162
Hong Kong,4.553048
Guangzhou,4.515122
Beijing,3.825092
Dongguan,3.471249
Huizhou,2.976928
Zhuhai,2.924005
Wuhan,2.808642
Hangzhou,2.771203
Shamen,2.722633
Chengdou,2.710933
Nanjing,2.637566
Foshan,2.620391
Macau,2.598093
Zhongshan,2.594434
Changsha,2.581415
Chongqing,2.560247
Xi'an,2.522447
Tianjin,2.485997
Suzhou,2.400125
Fuzhou,2.369731
Kunming,2.352868
Qingdao,2.348144
Taipei,2.331985
Shantou,2.321963
Changzhou,2.318564
Jiangmen,2.316854
Guilin,2.313410
Nanning,2.299321
Sanya,2.297523
Nanchang,2.293902
Zhengzhou,2.275255
Hefei,2.273338
Heyuan,2.271411
Wuxi,2.261625
Haikou,2.241233
Jinan,2.224046
Guiyang,2.203657
Shanwei,2.191791
Zhaoqing,2.189367
Ningbo,2.184469
Qingyuan,2.179498
Shaoguan,2.164130
Dalian,2.150758
Shenyang,2.131067
Taoyuan,2.110087
Changchun,2.084251
Harbin,2.080863
Jiaxing,2.066920
Quanzhou,2.063330
Jian,2.059697
Shijiazhuang,2.052294
Lijiang,2.040827
Ulanqab,2.040827
Ganzhou,2.036902
Wenzhou,2.036902
Jingdezhen,2.024797
Yangjiang,2.024797
Jieyang,2.016432
Zhuzhou,2.016432
Zhanjiang,2.007812
Hengyang,1.989728
Meizhou,1.985016
Jinhua,1.980220
Chaozhou,1.965301
Yichun,1.960137
Yueyang,1.914674
Jiujiang,1.908376
Liuzhou,1.908376
Taiyuan,1.895281
Huzhou,1.888463
Beihai,1.888463
Chenzhou,1.888463
Yangzhou,1.888463
Huanggang,1.866774
Urumqi,1.866774
Lanzhou,1.859083
Hohhot,1.851132
Huangshan,1.842900
Zhoushan,1.834171
Kaohsiung,1.825493
Ningde,1.825493
Nantong,1.816376
Hezhou,1.816261
Anshan,1.816261
Jingzhou,1.816261
Shangrao,1.816261
Shaoxing,1.816261
Wuzhou,1.816261
Xuzhou,1.816261
Xiangyang,1.806630
Yunfu,1.796558
Huaihua,1.785998
Maoming,1.785998
Xiangxi,1.785998
Yantai,1.774892
Yichang,1.774892
Mianyang,1.763171
Sanming,1.763171
Taizhou,1.763171
Xining,1.763171
Taichung,1.750752
Yulin,1.750752
Datong,1.737534
Changde,1.737534
Ordos,1.737534
Wanning,1.737534
Xiangtan,1.737534
Zhangzhou,1.737534
Zhenjiang,1.737534
Jining,1.723390
Baoding,1.723390
Bangbu,1.723390
Yinchuan,1.723390
Langfang,1.708158
Lhasa,1.708158
Longyan,1.708158
Dali,1.708158
Yingtan,1.708158
Loudi,1.691631
Luoyang,1.691631
Diqing,1.691631
Qiandongnan,1.691631
Huangshi,1.691631
Zhangjiajie,1.691631
Qinhuangdao,1.673529
Taizhou,1.673529
Xianyang,1.673529
Huai'an,1.653470
Baoshan,1.653470
Xiaogan,1.653470
New Taipei,1.635845
Leshan,1.630904
Nanping,1.630904
Nanyang,1.630904
Jilin,1.630904
Ngawa,1.630904
Putian,1.630904
Qinzhou,1.630904
Quzhou,1.630904
Shaoyang,1.630904
Dandong,1.630904
Hengshui,1.630904
Weihai,1.630904
Xianning,1.630904
Xinyang,1.630904
Heze,1.630904
Hsinchu,1.630904
Fuzhou,1.604996
Liaoyang,1.604996
Lishui,1.604996
Qionghai,1.604996
Tai'an,1.604996
Benxi,1.604996
Ezhou,1.604996
Tangshan,1.604996
Jiuquan,1.604996
Baotou,1.604996
Yancheng,1.604996
Yibin,1.604996
Huainan,1.604996
Yongzhou,1.604996
Yuncheng,1.604996
Zibo,1.604996
Fangchenggang,1.574386
Luzhou,1.574386
Nanchong,1.574386
Jingmen,1.574386
Garze,1.574386
Panzhihua,1.574386
Bijie,1.574386
Anqing,1.574386
Tianshui,1.574386
Wuhu,1.574386
Xingtai,1.574386
Xinzhou,1.574386
Xishuangbanna,1.574386
Dongying,1.574386
Kashgar,1.574386
Kaifeng,1.574386
Changhua,1.574386
Dezhou,1.574386
Lianyungang,1.574386
Zhangjiakou,1.544462
Hulunbuir,1.536604
Nyingchi,1.536604
Pingdong,1.536604
Pingxiang,1.536604
Qujing,1.536604
Jinzhong,1.536604
Chifeng,1.536604
Shiyan,1.536604
Hanzhong,1.536604
Chizhou,1.536604
Linyi,1.536604
Tongliao,1.536604
Tongling,1.536604
Daqing,1.536604
Alty,1.536604
Weifang,1.536604
Deyang,1.536604
Xinyu,1.536604
Ya'an,1.536604
Bozhou,1.536604
Hechi,1.536604
Yilan,1.536604
Zaozhuang,1.536604
Zhoukou,1.536604
Chengde,1.530337
Pingdingshan,1.486332
Meishan,1.486332
Qiannan,1.486332
Ankang,1.486332
Chiayi,1.486332
Rizhao,1.486332
Shangqiu,1.486332
Fuyang,1.486332
Suihua,1.486332
Suining,1.486332
Tainan,1.486332
Guigang,1.486332
Nantou,1.486332
Wenchang,1.486332
Changzhi,1.486332
Hualien,1.486332
Honghe,1.486332
Jiaozuo,1.486332
Liaocheng,1.486332
Xiuqian,1.486332
Binzhou,1.486332
Yingkou,1.486332
Chaoyang,1.486332
Lu'an,1.486332
Liangshanzhou,1.486332
Baoji,1.486332
Guang'an,1.486332
Anshun,1.486332
Zhumadian,1.486332
Ziyang,1.486332
Xuancheng,1.471155
Weinan,1.467352
Cangzhou,1.455209
Shangluo,1.407606
Panjin,1.407606
Miaoli,1.407606
Shuangyashan,1.407606
Songyuan,1.407606
Pu'er,1.407606
Kinmen,1.407606
Taidong,1.407606
Puyang,1.407606
Kumul(Hami),1.407606
Bayannur,1.407606
Weicu,1.407606
Fushun,1.407606
Linfen,1.407606
Qingyang,1.407606
Handan,1.407606
Xilingol,1.407606
Xinxiang,1.407606
Xiuzhou,1.407606
Xuchang,1.407606
Dazhou,1.407606
Yanbian,1.407606
Danzhou,1.407606
Ili(Yili),1.407606
Yiyang,1.407606
Qiqihar,1.407606
Enshi,1.407606
Yulin,1.407606
Zhangye,1.407606
Zhaotong,1.407606
Chuzhou,1.407606
Chongzuo,1.407606
Sanmenxia,1.407606
Huludao,1.407606
Keelung,1.407606
Zigong,1.407606
Yan'an,1.383793
Sansha,1.367594
Zunyi,1.365906
Ma'anshan,1.364807
Jinzhou,1.340935
Baise,1.329876
Yuxi,1.326147
Neijiang,1.318475
Anyang,1.300848
Mudanjiang,1.281937
Suizhou,1.275849
Luohe,1.266184
Guangyuan,1.265060
Haixi,1.259742
Yangquan,1.255427
Huaibei,1.254134
Turpan,1.253744
Changji,1.243791
Siping,1.238821
Laibin,1.236683
Lingshui,1.235088
Tieling,1.233891
Qianxinan,1.230447
Yunlin,1.224715
Tongchuan,1.224160
Shuozhou,1.220132
Jiamusi,1.214384
Dehong,1.213729
Chengmai,1.212660
Jiayuguan,1.207818
Luohe,1.207042
Baishan,1.201937
Lvliang,1.200538
Dingan,1.199247
Hinggan,1.198207
Liupanshui,1.197626
Zhongwei,1.197018
Nagqu,1.195094
Haibei,1.192017
Tonghua,1.191779
Shannan,1.186549
Fuxin,1.179909
Shizuishan,1.178504
Gannan,1.175435
Heihe,1.175320
Penghu,1.174950
Bayingolin,1.174229
Wenshan,1.172471
Yichun,1.169300
Daxinganling,1.169300
Keramay,1.167507
Ledong,1.166320
