city,distance
Beijing,5.622122
Shanghai,4.185229
Baoding,3.903295
Taiyuan,3.252887
Tianjin,3.196620
Xingtai,3.136355
Handan,2.941171
Qinhuangdao,2.839475
Zhengzhou,2.826545
Xi'an,2.771940
Langfang,2.760401
Chengdou,2.689192
Tangshan,2.655168
Yangquan,2.655168
Hengshui,2.648099
Jinan,2.633674
Guangzhou,2.599690
Wuhan,2.587844
Shenyang,2.583833
Urumqi,2.579789
Zhangjiakou,2.519402
Cangzhou,2.514785
Hangzhou,2.500656
Shamen,2.490994
Chongqing,2.465910
Hohhot,2.450163
Shenzhen,2.450163
Nanjing,2.444788
Qingdao,2.439347
Jinzhong,2.422605
Anyang,2.405189
Chengde,2.393169
Taipei,2.387028
Changsha,2.341269
Hong Kong,2.341269
Dalian,2.334288
Xinzhou,2.305054
Suzhou,2.297387
Changchun,2.256529
Dezhou,2.229642
Harbin,2.220211
Xinxiang,2.200556
Sanya,2.168791
Hefei,2.157500
Luoyang,2.145808
Datong,2.133681
Weinan,2.107956
Ningbo,2.079922
Kunming,2.064875
Zhongwei,2.049028
Changzhi,2.032275
Lanzhou,2.032275
Wuxi,2.032275
Jiaxing,2.014486
Lvliang,2.014486
Ngawa,1.995497
Changzhou,1.995497
Yan'an,1.995497
Yantai,1.995497
Yinchuan,1.995497
Jiaozuo,1.975105
Xuzhou,1.975105
Guiyang,1.928953
Lijiang,1.928953
Linfen,1.928953
Yueyang,1.928953
Kaifeng,1.902352
Weifang,1.902352
Xinyang,1.902352
Guilin,1.872542
Nanning,1.872542
Tai'an,1.872542
Taizhou,1.872542
Xining,1.872542
Jinhua,1.838468
Dongguan,1.838468
Pingdingshan,1.838468
Beihai,1.838468
Xiangxi,1.838468
Yangzhou,1.838468
Zhangjiajie,1.838468
Dali,1.838468
Zibo,1.838468
Haikou,1.798416
Binzhou,1.798416
Huludao,1.798416
Jining,1.798416
Enshi,1.798416
Chuzhou,1.798416
Linyi,1.798416
Nanyang,1.798416
Ordos,1.798416
Rizhao,1.798416
Weihai,1.798416
Xiangyang,1.798416
Xilingol,1.798416
Yichang,1.798416
Dongying,1.798416
Zhenjiang,1.798416
Baoji,1.749285
Heze,1.749285
Huai'an,1.749285
Huaibei,1.749285
Jian,1.749285
Jincheng,1.749285
Liaocheng,1.749285
Luohe,1.749285
Nanchang,1.749285
Panjin,1.749285
Sanmenxia,1.749285
Taizhou,1.749285
Taoyuan,1.749285
Ulanqab,1.749285
Baotou,1.749285
Hebi,1.749285
Xiaogan,1.749285
Fuzhou,1.749285
Xuchang,1.749285
Yuncheng,1.749285
Zhoushan,1.749285
Zhuzhou,1.749285
Nantong,1.703167
Huzhou,1.684427
Jiamusi,1.684427
Daqing,1.684427
Jiayuguan,1.684427
Jilin,1.684427
Hinggan,1.684427
Jingzhou,1.684427
Jinzhou,1.684427
Jiujiang,1.684427
Foshan,1.684427
Leshan,1.684427
Lhasa,1.684427
Lianyungang,1.684427
Liuzhou,1.684427
Macau,1.684427
Mianyang,1.684427
Fushun,1.684427
Ganzhou,1.684427
Changde,1.684427
Quzhou,1.684427
Shangqiu,1.684427
Shaoguan,1.684427
Shiyan,1.684427
Fuyang,1.684427
Bangbu,1.684427
Tongliao,1.684427
Tongling,1.684427
Ezhou,1.684427
Wenzhou,1.684427
Huainan,1.684427
Xianning,1.684427
Dazhou,1.684427
Xishuangbanna,1.684427
Xiuqian,1.684427
Huangshan,1.684427
Yingkou,1.684427
Yulin,1.684427
Zaozhuang,1.684427
Zhangzhou,1.684427
Zhaoqing,1.684427
Zhuhai,1.684427
Zhumadian,1.684427
New Taipei,1.662740
Shaoxing,1.636994
Xianyang,1.592170
Linxia,1.584027
Chifeng,1.584027
Luzhou,1.584027
Chizhou,1.584027
Ili(Yili),1.584027
Mudanjiang,1.584027
Bozhou,1.584027
Fuzhou,1.584027
Nantou,1.584027
Chongzuo,1.584027
Ningde,1.584027
Pingdong,1.584027
Pingxiang,1.584027
Puyang,1.584027
Qiandongnan,1.584027
Quanzhou,1.584027
Hanzhong,1.584027
Benxi,1.584027
Shangrao,1.584027
Shantou,1.584027
Shizuishan,1.584027
Shuozhou,1.584027
Suizhou,1.584027
Chaoyang,1.584027
Taichung,1.584027
Ankang,1.584027
Hengyang,1.584027
Tieling,1.584027
Kaohsiung,1.584027
Turpan,1.584027
Wuhai,1.584027
Wuhu,1.584027
Hualien,1.584027
Anshan,1.584027
Kumul(Hami),1.584027
Xiuzhou,1.584027
Yanbian,1.584027
Yibin,1.584027
Yichun,1.584027
Changhua,1.584027
Baishan,1.584027
Dandong,1.584027
Jinchang,1.584027
Zhaotong,1.584027
Heihe,1.584027
Zhongshan,1.584027
Zhoukou,1.584027
Zigong,1.584027
Hulunbuir,1.567580
Changji,1.524533
Alty,1.501639
Yancheng,1.471652
Qiqihar,1.463605
Deyang,1.445203
Diqing,1.427966
Bayingolin,1.421327
Nanping,1.416973
Keramay,1.411490
Weicu,1.407606
Kashgar,1.400832
Xuancheng,1.395999
Liaoyang,1.393494
Jiuquan,1.386295
Xiangtan,1.385220
Garze,1.381861
Jiangmen,1.373048
Ya'an,1.372456
Huanggang,1.362807
Jingdezhen,1.360939
Keelung,1.360930
Huangshi,1.353340
Longyan,1.349623
Hsinchu,1.345154
Huizhou,1.343991
Meizhou,1.343946
Qingyuan,1.339986
Nanchong,1.338722
Siping,1.337215
Anqing,1.337215
Bayannur,1.335819
Lishui,1.335138
Meishan,1.331369
Jieyang,1.328572
Aksu,1.326382
Wanning,1.326030
Baoshan,1.325537
Yingtan,1.322263
Shangluo,1.319440
Zhanjiang,1.314207
Neijiang,1.313311
Fuxin,1.308969
Liangshanzhou,1.307181
Zunyi,1.305331
Gannan,1.303465
Anshun,1.300135
Ma'anshan,1.299884
Suining,1.296990
Tianshui,1.295058
Suihua,1.292359
Hezhou,1.291528
Dehong,1.291528
Ziyang,1.287944
Qionghai,1.287229
Jingmen,1.287015
Tacheng,1.285600
Tonghua,1.285012
Weicu,1.284598
Daxinganling,1.280430
Loudi,1.280430
Tongchuan,1.280074
Hotan,1.277263
Guang'an,1.273239
Haixi,1.270953
Yongzhou,1.270607
Nyingchi,1.270607
Lu'an,1.269726
Yiyang,1.269602
Bortala,1.268189
Guangyuan,1.265316
Laiwu,1.265221
Tainan,1.264477
Chiayi,1.262562
Jiyuan,1.255622
Alxa,1.253815
Yangjiang,1.251183
Taidong,1.250719
Huaihua,1.247523
Songyuan,1.246181
Sanming,1.244218
Wuzhong,1.241048
Haibei,1.241022
Honghe,1.233567
Jixi,1.229736
Yuxi,1.229496
Baicheng,1.225743
Chenzhou,1.223789
Qiannan,1.222425
Qinzhou,1.220254
Yichun,1.217209
Shaoyang,1.213207
Putian,1.210898
Chaozhou,1.207809
Heyuan,1.207180
Qujing,1.202720
Panzhihua,1.199008
Zhangye,1.196923
Lingshui,1.196896
Miaoli,1.195398
Wuwei,1.192368
Xinyu,1.191586
Wenchang,1.191586
Qianxinan,1.191586
Guyuan,1.188898
Qingyang,1.187595
Baiyin,1.187570
Shanwei,1.187416
Kinmen,1.186417
Bijie,1.185448
Shannan,1.185448
Nagqu,1.183430
Dingxi,1.183192
Qamdo,1.178847
Liaoyuan,1.178847
Shuangyashan,1.178847
Hegang,1.177403
Maoming,1.177152
Fangchenggang,1.175363
Baise,1.174989
Pu'er,1.173870
Yunlin,1.172180
Wuzhou,1.163900
Guigang,1.163900
Tongren,1.162613
Bazhong,1.159931
Pingliang,1.159731
Huangnan,1.155303
Yunfu,1.143896
Qitaihe,1.134827
Ngari,1.132655
Yulin,1.129935
Baoting,1.127222
Penghu,1.126513
Sansha,1.126513
Haidong,1.122697
Hechi,1.122222
Longnan,1.122222
Laibin,1.119158
Liupanshui,1.111592
Wuzhishan,1.097647
Wenshan,1.096278
Danzhou,1.095910
Yushuzhou,1.088352
Chengmai,1.088352
Golog,1.088352
Dongfang,1.088352
Lincang,1.088352
Kezilsu,1.085643
Ledong,1.080480
Nujiang,1.062889
Dingan,1.062889
Changjiang,0.990341
Qiongzhong,0.932056
