city,distance
Wuhan,5.304192
Xiangyang,4.463694
Shanghai,4.069281
Yulin,3.472040
Xi'an,3.361046
Yichang,3.321078
Beijing,3.279327
Chengdou,3.106569
Ankang,3.070839
Suizhou,2.860170
Chongqing,2.808802
Shangluo,2.656998
Zhengzhou,2.656998
Hefei,2.582256
Nanjing,2.582256
Luoyang,2.540312
Nanyang,2.540312
Dazhou,2.494379
Enshi,2.494379
Tianjin,2.494379
Handan,2.443376
Hangzhou,2.443376
Xiaogan,2.443376
Changsha,2.385682
Guangzhou,2.385682
Jinhua,2.385682
Jingzhou,2.318673
Xianning,2.318673
Huanggang,2.237645
Jinan,2.237645
Jiujiang,2.237645
Shenzhen,2.237645
Suzhou,2.237645
Zhuzhou,2.237645
Fuzhou,2.132606
Hong Kong,2.132606
Huangshi,2.132606
Jingmen,2.132606
Changde,2.132606
Nanchang,2.132606
Nanchong,2.132606
Baoji,2.132606
Shamen,2.132606
Shijiazhuang,2.132606
Taiyuan,2.132606
Weinan,2.132606
Xinyang,2.132606
Xuzhou,2.132606
Yichun,2.132606
Yueyang,2.132606
Dalian,1.974183
Dongguan,1.974183
Ezhou,1.974183
Guang'an,1.974183
Guiyang,1.974183
Baoding,1.974183
Jiaozuo,1.974183
Jincheng,1.974183
Jinzhong,1.974183
Lijiang,1.974183
Ngawa,1.974183
Qingdao,1.974183
Quzhou,1.974183
Sanya,1.974183
Shangrao,1.974183
Shaoxing,1.974183
Shenyang,1.974183
Suining,1.974183
Tai'an,1.974183
Taoyuan,1.974183
Weifang,1.974183
Wuhu,1.974183
Xinxiang,1.974183
Xuchang,1.974183
Yingtan,1.974183
Zhenjiang,1.974183
Jiaxing,1.877858
Ordos,1.848492
Wuxi,1.846082
Yan'an,1.812816
Changzhou,1.786146
Ningbo,1.785137
Xianyang,1.770407
Yinchuan,1.743255
Hanzhong,1.711105
Zhoushan,1.698922
Leshan,1.690001
Kunming,1.688172
Nantong,1.683644
Huzhou,1.645345
Lvliang,1.643063
Pingdingshan,1.636610
Zhuhai,1.634074
Nanning,1.616634
Yangzhou,1.597323
Taipei,1.590649
Xiangxi,1.587338
Lu'an,1.585877
Guilin,1.585877
Langfang,1.571335
Deyang,1.557671
Haikou,1.557041
Wenzhou,1.557041
Lanzhou,1.554223
Kaifeng,1.542640
Hohhot,1.541077
Xinzhou,1.541077
Huangshan,1.536265
Hengyang,1.534428
Qinhuangdao,1.532180
Mianyang,1.531168
Zhangjiajie,1.522032
Baotou,1.512835
Foshan,1.505551
Urumqi,1.505446
Taizhou,1.503811
Zhongshan,1.502964
Macau,1.499618
Tongchuan,1.496424
Harbin,1.495256
Xingtai,1.494129
Xining,1.492198
Zhumadian,1.489880
Garze,1.484337
Taizhou,1.476765
Ya'an,1.473491
Tangshan,1.469630
Shaoguan,1.469289
Changchun,1.462806
Fangchenggang,1.462806
Lhasa,1.457405
Yancheng,1.457054
Wuzhong,1.456610
Quanzhou,1.456002
Anyang,1.455238
Zhangjiakou,1.447212
Huaihua,1.445116
Yuncheng,1.439584
Liuzhou,1.437336
Chengde,1.434803
Meishan,1.426237
Luohe,1.424737
Jining,1.424737
Anqing,1.424737
Sanmenxia,1.423781
Jingdezhen,1.420253
Yantai,1.419726
Chenzhou,1.410788
Tianshui,1.410568
Lianyungang,1.408133
Neijiang,1.405533
Xiangtan,1.400647
Alxa,1.400057
Bayannur,1.400057
Shizuishan,1.400057
Zhongwei,1.400057
Liangshanzhou,1.398514
Yilan,1.395369
Jiuquan,1.395079
Chizhou,1.395001
Diqing,1.391745
Xuancheng,1.382856
Ziyang,1.376518
Dali,1.370586
Huainan,1.369659
Bangbu,1.369283
Cangzhou,1.368559
Zigong,1.366001
Loudi,1.363586
Ganzhou,1.363586
Fuyang,1.363586
Shuozhou,1.358201
Linfen,1.358201
Datong,1.358201
Jiayuguan,1.353516
Chuzhou,1.350973
Xinyu,1.349765
Shangqiu,1.348581
Qingyuan,1.348202
Liupanshui,1.348202
Yongzhou,1.348202
Zhangzhou,1.348202
Huai'an,1.347943
Nanping,1.347835
Yibin,1.346858
Guangyuan,1.344993
Changzhi,1.344584
Zunyi,1.342179
Huizhou,1.339670
Tongliao,1.338978
Luzhou,1.338716
Pingxiang,1.337868
Jinzhou,1.331401
Weihai,1.330448
Zhanjiang,1.330448
Zibo,1.327879
Ningde,1.325898
Heyuan,1.325758
Panzhihua,1.325758
Qiannan,1.325758
Jiangmen,1.325758
Maoming,1.325758
Zhaotong,1.325758
Lishui,1.323111
Huludao,1.320830
Anshun,1.320527
Ma'anshan,1.320400
Yiyang,1.320400
Tongling,1.320351
Shangluo,1.319440
Beihai,1.318170
Puyang,1.317412
New Taipei,1.316223
Shantou,1.309346
Binzhou,1.309346
Kaohsiung,1.309102
Hulunbuir,1.307193
Bazhong,1.306407
Dezhou,1.304232
Jiyuan,1.299631
Dingxi,1.298777
Longyan,1.297035
Jieyang,1.297035
Jian,1.297035
Qiqihar,1.292162
Ulanqab,1.292162
Wuwei,1.292162
Daqing,1.292162
Yangquan,1.292162
Zhangye,1.292162
Haixi,1.291684
Qiandongnan,1.289590
Qingyang,1.284017
Putian,1.283680
Xishuangbanna,1.283108
Zhoukou,1.283108
Chifeng,1.282045
Keelung,1.277462
Baishan,1.276020
Linyi,1.275488
Hengshui,1.270395
Zaozhuang,1.268993
Zhaoqing,1.267469
Shaoyang,1.267017
Chaozhou,1.267017
Heze,1.267017
Sanming,1.267017
Yulin,1.267017
Qionghai,1.267017
Jilin,1.266240
Liaocheng,1.263421
Nyingchi,1.261063
Rizhao,1.258393
Pingliang,1.251506
Wanning,1.250652
Dongying,1.247865
Tongren,1.247865
Wenchang,1.247865
Wuhai,1.247865
Xiuqian,1.247865
Huaibei,1.247865
Dandong,1.247799
Xiuzhou,1.245669
Yanbian,1.245401
Gannan,1.244930
Fushun,1.242478
Xilingol,1.242347
Hebi,1.238262
Taichung,1.237427
Anshan,1.233536
Hsinchu,1.228694
Tainan,1.224011
Benxi,1.224011
Chongzuo,1.224011
Meizhou,1.224011
Pingdong,1.224011
Pu'er,1.224011
Jinchang,1.224011
Fuzhou,1.217561
Panjin,1.217208
Yingkou,1.216261
Nantou,1.205920
Yangjiang,1.199401
Hezhou,1.198272
Suihua,1.194923
Liaoyang,1.194547
Baoshan,1.193942
Hegang,1.191899
Sansha,1.191899
Wuzhou,1.191899
Shannan,1.191899
Keramay,1.191899
Chaoyang,1.191899
Honghe,1.191899
Nagqu,1.191899
Yunfu,1.191899
Yuxi,1.191899
Changhua,1.191899
Chiayi,1.191899
Dehong,1.191899
Laibin,1.191899
Guyuan,1.187378
Mudanjiang,1.183800
Hualien,1.182933
Tieling,1.179615
Laiwu,1.166076
Weicu,1.164220
Yunlin,1.162899
Bayingolin,1.162172
Qianxinan,1.155455
Jiamusi,1.153440
Siping,1.142994
Longnan,1.140737
Qujing,1.140737
Songyuan,1.140737
Baise,1.140737
Hinggan,1.140737
Bijie,1.140737
Yichun,1.140737
Guigang,1.140737
Lincang,1.140737
Kashgar,1.140737
Shanwei,1.140737
Kinmen,1.140737
Penghu,1.140737
Huangnan,1.140737
Haibei,1.140737
Qamdo,1.140737
Daxinganling,1.140737
Turpan,1.140235
Ili(Yili),1.139896
Alty,1.139385
Lingshui,1.135143
Kumul(Hami),1.125887
Haidong,1.125887
Qinzhou,1.125150
Fuxin,1.122294
Baiyin,1.113479
Danzhou,1.112318
Miaoli,1.112200
Tonghua,1.104637
Taidong,1.103001
Changji,1.098659
Baoting,1.072284
Wenshan,1.066377
Jixi,1.063541
Baicheng,1.060554
Yushuzhou,1.055043
Linxia,1.051864
Heihe,1.047101
Wuzhishan,1.045487
Golog,1.043559
Hechi,1.040005
Hotan,1.035748
Dingan,1.035246
Ledong,1.029902
Shuangyashan,1.025264
Liaoyuan,1.025264
Aksu,1.018460
Bortala,1.018460
Kezilsu,1.014757
Ngari,1.014757
Tacheng,1.014757
Dongfang,1.002304
Qitaihe,0.991804
Chengmai,0.979725
Nujiang,0.936414
Changjiang,0.912449
Qiongzhong,0.862742
