city,distance
Yinchuan,6.808801
Beijing,3.405219
Shanghai,3.405219
Lanzhou,3.367480
Wuhai,3.151603
Zhongwei,3.046991
Xi'an,2.988762
Baotou,2.855478
Hohhot,2.686616
Nanning,2.686616
Guangzhou,2.578431
Ordos,2.578431
Alxa,2.578431
Yulin,2.578431
Suzhou,2.439952
Tianjin,2.439952
Wuwei,2.439952
Bayannur,2.234772
Changzhou,2.234772
Chengdou,2.234772
Dalian,2.234772
Guyuan,2.234772
Haibei,2.234772
Hangzhou,2.234772
Jinchang,2.234772
Pingliang,2.234772
Qiannan,2.234772
Sanya,2.234772
Shijiazhuang,2.234772
Tianshui,2.234772
Wuzhong,2.234772
Yanbian,2.234772
Zhenjiang,2.234772
Urumqi,2.149548
Zhengzhou,2.115534
Xining,1.994997
Nanjing,1.924080
Chongqing,1.876333
Wuhan,1.824979
Taiyuan,1.798852
Xianyang,1.798852
Jiaxing,1.722817
Jiuquan,1.709091
Shenyang,1.707708
Shenzhen,1.707708
Wuxi,1.696034
Yan'an,1.692751
Hong Kong,1.692550
Shamen,1.673859
Guiyang,1.649110
Ningbo,1.644454
Qingdao,1.639030
Jinan,1.616853
Yichang,1.616853
Baoding,1.616853
Changsha,1.616853
Weinan,1.613825
Baoji,1.610234
Langfang,1.599673
Harbin,1.591386
Jinzhong,1.591386
Kunming,1.591386
Ngawa,1.591386
Baiyin,1.591386
Zhangye,1.591386
Gannan,1.589687
Foshan,1.580094
Jiayuguan,1.571813
Zhoushan,1.571013
Yantai,1.561288
Qinhuangdao,1.559111
Nantong,1.557941
Dingxi,1.538296
Beihai,1.535522
Lhasa,1.534752
Linxia,1.534752
Shiyan,1.526272
Qiandongnan,1.526108
Huzhou,1.525091
Guilin,1.524125
Huangshan,1.524125
Tieling,1.524125
Wuhu,1.524125
Bayingolin,1.524125
Yangquan,1.524125
Datong,1.524125
Liuzhou,1.523741
Chongzuo,1.519822
Qianxinan,1.504227
Shaoxing,1.502388
Ulanqab,1.497479
Tangshan,1.494389
Haixi,1.489004
Yangzhou,1.483744
Changchun,1.483599
Jilin,1.478717
Taipei,1.477984
Hotan,1.474653
Kaifeng,1.474653
Leshan,1.474653
Lijiang,1.474653
Luoyang,1.474653
Mianyang,1.474653
Nanyang,1.474653
Haikou,1.474653
Sanmenxia,1.474653
Chengde,1.474653
Weifang,1.474653
Xiangyang,1.474653
Xinyang,1.474653
Xuzhou,1.474653
Fuzhou,1.474653
Yuncheng,1.474653
Zhangjiajie,1.474653
Changji,1.474653
Baishan,1.472108
Zhangjiakou,1.471216
Hefei,1.468009
Qinzhou,1.467492
Jinhua,1.463827
Baise,1.450844
Dongguan,1.447707
Fangchenggang,1.441975
Zhuhai,1.431595
Hanzhong,1.429061
Wenzhou,1.425079
Hulunbuir,1.423645
Xilingol,1.417096
Lvliang,1.411558
Ankang,1.404533
Taizhou,1.402720
Macau,1.399072
Nanchang,1.398050
Jining,1.397128
Kumul(Hami),1.397128
Nanping,1.397128
Neijiang,1.397128
Pingdingshan,1.397128
Binzhou,1.397128
Bortala,1.397128
Qingyang,1.397128
Bangbu,1.397128
Shantou,1.397128
Shaoguan,1.397128
Chifeng,1.397128
Suizhou,1.397128
Tainan,1.397128
Taizhou,1.397128
Huanggang,1.397128
Tongling,1.397128
Handan,1.397128
Weihai,1.397128
Chizhou,1.397128
Xiangxi,1.397128
Xingtai,1.397128
Xinxiang,1.397128
Chaoyang,1.397128
Aksu,1.397128
Zaozhuang,1.397128
Guigang,1.392393
Zhongshan,1.390612
Cangzhou,1.390006
Nagqu,1.387725
Yulin,1.382765
Mudanjiang,1.381011
Turpan,1.375248
Hezhou,1.374282
Tai'an,1.369804
Wuzhou,1.367244
Jiangmen,1.367095
Shangluo,1.366632
Yancheng,1.361953
Hechi,1.361950
Taoyuan,1.353304
Kashgar,1.351258
Wanning,1.350407
Alty,1.344946
Longnan,1.341562
Huludao,1.340796
Laibin,1.340628
Xinzhou,1.335622
Qingyuan,1.334316
Shangrao,1.329390
Huizhou,1.325412
Tongchuan,1.324445
Dezhou,1.322707
Zhaoqing,1.319889
Lianyungang,1.319116
Ili(Yili),1.318695
Yingkou,1.310399
Qionghai,1.308745
Haidong,1.305481
Zigong,1.305481
Deyang,1.302832
Hinggan,1.301386
Xuancheng,1.296909
Zibo,1.290536
Jinzhou,1.285374
Quanzhou,1.282869
Hengshui,1.277117
Jiaozuo,1.274969
Jiujiang,1.273323
Keramay,1.272173
Huai'an,1.266153
Dandong,1.265603
Dongying,1.260671
Tonghua,1.255193
Qiqihar,1.251498
Garze,1.251133
Linyi,1.250756
Quzhou,1.249867
Panzhihua,1.249138
Yueyang,1.249138
Anyang,1.248495
Dongying,1.247865
Yangjiang,1.246238
Tongliao,1.245427
Lishui,1.244218
Dali,1.243810
Ya'an,1.243418
Fushun,1.240970
Shangqiu,1.240218
Daqing,1.238043
Anshan,1.238004
Guangyuan,1.237662
Panjin,1.234144
Chuzhou,1.233958
Yingtan,1.233030
Kaohsiung,1.231822
Zhanjiang,1.231322
Zunyi,1.231269
Diqing,1.225348
Pu'er,1.223164
Linfen,1.223164
Lingshui,1.216721
Nanchong,1.215665
Jingdezhen,1.214364
Ma'anshan,1.213547
Jian,1.212557
Meishan,1.209599
Anqing,1.205307
Anshun,1.204186
Liaocheng,1.203576
Heyuan,1.202576
Xuchang,1.200592
Ningde,1.196244
Shuozhou,1.196049
Liangshanzhou,1.189599
New Taipei,1.188787
Rizhao,1.186821
Dazhou,1.184920
Jieyang,1.183899
Shanwei,1.182961
Nyingchi,1.182587
Yushuzhou,1.182587
Huangnan,1.182587
Suining,1.181153
Ngari,1.180693
Changzhi,1.180578
Qujing,1.179498
Golog,1.178325
Xiangtan,1.174666
Xiuqian,1.174666
Ziyang,1.173647
Maoming,1.172774
Chenzhou,1.172258
Benxi,1.172222
Heze,1.170448
Hengyang,1.169091
Tacheng,1.168999
Jiamusi,1.168637
Taichung,1.168154
Ganzhou,1.166786
Tongren,1.165274
Meizhou,1.165241
Lu'an,1.165081
Changde,1.162959
Puyang,1.162959
Bijie,1.161562
Luohe,1.160558
Siping,1.157915
Jingzhou,1.153648
Yunfu,1.152585
Yibin,1.152016
Chaozhou,1.149839
Baoshan,1.149149
Longyan,1.148102
Zhangzhou,1.147984
Xianning,1.147372
Luzhou,1.146054
Baoting,1.144789
Xiaogan,1.144539
Liupanshui,1.144539
Ezhou,1.144539
Xishuangbanna,1.144387
Yichun,1.141563
Fuyang,1.140624
Nantou,1.140036
Pingdong,1.138871
Fuxin,1.138559
Zhumadian,1.137116
Zhoukou,1.134038
Suihua,1.130202
Liaoyang,1.127551
Huaibei,1.125253
Huainan,1.124942
Dehong,1.123501
Bozhou,1.121891
Xiuzhou,1.121891
Yongzhou,1.119908
Huaihua,1.119908
Honghe,1.119908
Hualien,1.119470
Hebi,1.118567
Xinyu,1.118463
Sanming,1.117955
Pingxiang,1.116850
Putian,1.115887
Daxinganling,1.115094
Loudi,1.115094
Wuzhishan,1.114298
Jincheng,1.114184
Huangshi,1.110566
Qamdo,1.104675
Zhaotong,1.104675
Chiayi,1.101518
Yunlin,1.101512
Shannan,1.100201
Laiwu,1.099362
Jiyuan,1.099346
Ledong,1.096610
Guang'an,1.095502
Yichun,1.094186
Taidong,1.092493
Fuzhou,1.091348
Wenchang,1.090959
Yiyang,1.087529
Weicu,1.087529
Enshi,1.087326
Keelung,1.084914
Baicheng,1.084342
Sansha,1.080790
Songyuan,1.079383
Jixi,1.076448
Yilan,1.073292
Bazhong,1.069351
Heihe,1.068453
Liaoyuan,1.068453
Hsinchu,1.067457
Jingmen,1.065602
Dongfang,1.065376
Dingan,1.065376
Penghu,1.061091
Yuxi,1.044459
Kinmen,1.043434
Shuangyashan,1.037254
Shaoyang,1.034165
Danzhou,1.029293
Kezilsu,1.018993
Hegang,1.018981
Miaoli,1.011510
Changhua,1.011510
Qitaihe,1.003020
Chengmai,0.990914
Lincang,0.975539
Wenshan,0.966540
Nujiang,0.946405
Changjiang,0.903801
Qiongzhong,0.903801
