city,distance
Jiamusi,5.233176
Changchun,4.803229
Harbin,4.286186
Beijing,3.891964
Shanghai,3.646607
Hegang,3.053681
Shenyang,3.053681
Dalian,2.861353
Jilin,2.861353
Jixi,2.861353
Qitaihe,2.861353
Bortala,2.583220
Daqing,2.583220
Hangzhou,2.583220
Heihe,2.583220
Jinan,2.583220
Jinzhou,2.583220
Ningbo,2.583220
Qiqihar,2.583220
Shenzhen,2.583220
Suihua,2.583220
Tianjin,2.583220
Suzhou,2.007597
Mudanjiang,1.947638
Qingdao,1.890146
Yanbian,1.880460
Yichun,1.867575
Siping,1.866982
Baishan,1.784455
Jiaxing,1.782514
Urumqi,1.762908
Songyuan,1.762158
Tonghua,1.762158
Nanjing,1.754729
Wuxi,1.753858
Hong Kong,1.750133
Ili(Yili),1.731253
Shamen,1.730156
Guangzhou,1.724388
Changzhou,1.699673
Langfang,1.699523
Fuzhou,1.698659
Chengdou,1.698217
Hulunbuir,1.680610
Tieling,1.662638
Wuhan,1.661974
Xi'an,1.660480
Baoding,1.659728
Shijiazhuang,1.655361
Qinhuangdao,1.653811
Daxinganling,1.644870
Hinggan,1.637435
Zhengzhou,1.637435
Zhoushan,1.620503
Nantong,1.606597
Fushun,1.598011
Taiyuan,1.597980
Anshan,1.583249
Tangshan,1.581172
Liaoyuan,1.577693
Chongqing,1.575407
Huzhou,1.571687
Huludao,1.569578
Sanya,1.567887
Zhangjiakou,1.555252
Shaoxing,1.547585
Changsha,1.546455
Ganzhou,1.542401
Dandong,1.542401
Liaoyang,1.542401
Baotou,1.542401
Xining,1.542401
Xuzhou,1.542401
Chengde,1.540929
Hohhot,1.537480
Kunming,1.532067
Baicheng,1.528028
Yangzhou,1.527811
Taipei,1.522268
Tai'an,1.516608
Benxi,1.512962
Alty,1.510111
Jinhua,1.506701
Yingkou,1.503447
Hefei,1.490833
Panjin,1.486832
Zhenjiang,1.484972
Dongguan,1.481055
Nanchang,1.473720
Yantai,1.473172
Huangshan,1.471858
Wenzhou,1.465682
Cangzhou,1.464784
Guiyang,1.455607
Lanzhou,1.455106
Keramay,1.454084
Taizhou,1.448179
Guilin,1.444282
Zibo,1.442385
Taizhou,1.442042
Macau,1.438186
Chaoyang,1.438049
Xuchang,1.438049
Datong,1.433395
Lijiang,1.431166
Tacheng,1.428915
Tongliao,1.426257
Taoyuan,1.424085
Weifang,1.423321
Yinchuan,1.422334
Nanning,1.421368
Jining,1.418616
Dezhou,1.414527
Haikou,1.410943
Zhuhai,1.409357
Lhasa,1.399399
Yancheng,1.398992
Jinzhong,1.398822
Luoyang,1.393304
Nyingchi,1.391937
Huizhou,1.383068
Weihai,1.382134
Linyi,1.378032
Xinzhou,1.372971
Ngawa,1.368855
Chifeng,1.366115
Fuxin,1.365126
Shangrao,1.364656
Handan,1.356402
Changji,1.356005
Lianyungang,1.353832
Zhangjiajie,1.350698
Ordos,1.349932
Baoji,1.344197
Hengshui,1.339968
Wuhu,1.337444
Jiujiang,1.335792
Xuancheng,1.330451
Liaocheng,1.330017
Bangbu,1.325367
Xingtai,1.324076
Yichang,1.323347
Foshan,1.322660
Zaozhuang,1.322143
Dongying,1.321875
Xilingol,1.321131
Quanzhou,1.315680
Diqing,1.312755
Jiaozuo,1.310156
Xinxiang,1.309743
Anyang,1.308494
Dali,1.303350
Kaifeng,1.300682
Huai'an,1.298103
Nanping,1.298003
Chizhou,1.297501
Anqing,1.295891
Zhongshan,1.294407
Binzhou,1.293873
Gannan,1.290174
Quzhou,1.280991
Ulanqab,1.280397
Yan'an,1.275362
Lishui,1.275057
Beihai,1.270468
Xiangyang,1.270067
Rizhao,1.265164
Chuzhou,1.264285
Kaohsiung,1.263840
Yingtan,1.263310
Yangquan,1.262547
Jieyang,1.259952
Qamdo,1.259952
Ankang,1.259952
Jiayuguan,1.259952
Wuzhou,1.259952
Xianyang,1.259952
Xiuzhou,1.259952
Zhongwei,1.259952
Zhoukou,1.259952
Mianyang,1.254417
Liuzhou,1.253708
Laiwu,1.253460
Heze,1.253460
Jian,1.252276
Jiuquan,1.249347
Jingdezhen,1.243724
Ma'anshan,1.242867
Xiangxi,1.241616
Xinyang,1.241616
New Taipei,1.239993
Changzhi,1.234087
Yuncheng,1.231439
Shuozhou,1.226856
Ningde,1.224724
Leshan,1.223996
Shantou,1.222817
Jiangmen,1.221399
Puyang,1.214847
Changde,1.214847
Meizhou,1.214847
Yueyang,1.213773
Yulin,1.211586
