city,distance
Datong,5.871664
Beijing,4.496953
Taiyuan,4.212837
Shanghai,3.978256
Xinzhou,3.740558
Jinzhong,3.031083
Hohhot,2.841503
Hong Kong,2.567030
Zhangjiakou,2.567030
Baotou,2.340912
Benxi,2.340912
Lanzhou,2.340912
Linfen,2.340912
Tianjin,2.340912
Yulin,2.340912
Ulanqab,2.262995
Beihai,2.151404
Changchun,2.151404
Changzhi,2.151404
Chengdou,2.151404
Garze,2.151404
Hefei,2.151404
Bangbu,2.151404
Nanjing,2.151404
Ordos,2.151404
Shijiazhuang,2.151404
Baoding,2.151404
Wuhan,2.151404
Yan'an,2.151404
Suzhou,2.104170
Hangzhou,2.020513
Jiaxing,1.858237
Guangzhou,1.833688
Wuxi,1.827116
Chaoyang,1.823313
Langfang,1.805597
Shamen,1.801408
Shaoxing,1.792380
Changzhou,1.768386
Ningbo,1.767396
Xi'an,1.761591
Qingdao,1.761437
Jinan,1.759003
Qinhuangdao,1.754087
Shenzhen,1.742251
Shenyang,1.730846
Lvliang,1.707157
Dalian,1.692117
Yangquan,1.689569
Zhoushan,1.682846
Tangshan,1.672589
Nantong,1.667855
Harbin,1.667013
Chongqing,1.666140
Zhengzhou,1.656713
Changsha,1.633792
Huzhou,1.630263
Chengde,1.627625
Sanya,1.626174
Taipei,1.619282
Kunming,1.617741
Xuzhou,1.597633
Yuncheng,1.591422
Yangzhou,1.583105
Jinhua,1.560450
Nanchang,1.552824
Yantai,1.552215
Urumqi,1.546621
Cangzhou,1.542906
Zhenjiang,1.537155
Guiyang,1.532727
Jincheng,1.527575
Fuzhou,1.525205
Huangshan,1.523108
Guilin,1.520176
Tai'an,1.518055
Wenzhou,1.516495
Dongguan,1.507035
Luoyang,1.507035
Wuhu,1.507035
Xining,1.507035
Yancheng,1.507035
Yinchuan,1.507035
Lijiang,1.505652
Taoyuan,1.497817
Nanning,1.494811
Taizhou,1.491202
Macau,1.487079
Haikou,1.483286
Huludao,1.482510
Zhuhai,1.481533
Ya'an,1.472884
Lhasa,1.470533
Hulunbuir,1.465352
Taizhou,1.464604
Dezhou,1.460427
Xilingol,1.459045
Kaifeng,1.458649
Weifang,1.458649
Xingtai,1.458649
Handan,1.458649
Zibo,1.458649
Dandong,1.454976
Weihai,1.451480
Jining,1.448279
Jilin,1.447122
Shiyan,1.439797
Ngawa,1.436842
Chifeng,1.433823
Jinzhou,1.415049
Bayannur,1.412129
Shangrao,1.408601
Changde,1.407209
Hengshui,1.405048
Jiujiang,1.400456
Jiuquan,1.397952
