city,distance
Changchun,5.501852
Shenyang,4.396706
Beijing,4.051770
Tieling,3.862204
Harbin,3.642499
Dalian,3.148627
Jilin,2.992426
Shanghai,2.992426
Qinhuangdao,2.879613
Tianjin,2.792027
Huludao,2.689577
Jinzhou,2.689577
Panjin,2.689577
Tongliao,2.689577
Tangshan,2.563631
Yanbian,2.563631
Fuxin,2.486415
Haikou,2.486415
Qiqihar,2.486415
Tonghua,2.486415
Hangzhou,2.393473
Liaoyuan,2.393473
Suihua,2.393473
Daqing,2.273687
Fushun,2.273687
Baishan,2.273687
Baicheng,2.273687
Songyuan,2.273687
Changzhou,2.094491
Chaoyang,2.094491
Chifeng,2.094491
Anshan,2.094491
Dandong,2.094491
Hegang,2.094491
Hohhot,2.094491
Hong Kong,2.094491
Hulunbuir,2.094491
Jinan,2.094491
Langfang,2.094491
Nanjing,2.094491
Nantong,2.094491
Ningbo,2.094491
Qingdao,2.094491
Sanmenxia,2.094491
Tai'an,2.094491
Xi'an,2.094491
Yan'an,2.094491
Zibo,2.094491
Guangzhou,1.803969
Liaoyang,1.791982
Suzhou,1.791930
Benxi,1.782771
Yingkou,1.754011
Mudanjiang,1.742050
Shenzhen,1.741443
Chengdou,1.727954
Zhengzhou,1.708265
Wuhan,1.690445
Baoding,1.688121
Shijiazhuang,1.683604
Shamen,1.657846
Sanya,1.625282
Taiyuan,1.624283
Jiaxing,1.610423
Chongqing,1.600966
Shuangyashan,1.597564
Wuxi,1.586996
Zhangjiakou,1.580157
Changsha,1.571077
Chengde,1.565374
Jiamusi,1.562571
Kunming,1.556229
Heihe,1.550870
Taipei,1.546119
Daxinganling,1.540405
Yichun,1.540405
Hefei,1.513702
Qionghai,1.513333
Yantai,1.497693
Nanchang,1.496064
Urumqi,1.490304
Cangzhou,1.486855
Hinggan,1.481834
Guiyang,1.477400
Zhoushan,1.477013
Lanzhou,1.476884
Xuchang,1.470419
Fuzhou,1.470410
Guilin,1.465735
Jixi,1.464449
Yinchuan,1.463958
Datong,1.454524
Lijiang,1.452229
Nyingchi,1.445113
Zhenjiang,1.445113
Taoyuan,1.444938
Nanning,1.442141
Nanyang,1.438476
Huzhou,1.436351
Luoyang,1.435268
Linyi,1.430132
Yangzhou,1.430132
Zhuhai,1.429778
Baotou,1.423420
Lhasa,1.419530
Jinzhong,1.418936
Jining,1.418256
Shaoxing,1.416195
Xuzhou,1.415926
Xining,1.414702
Qitaihe,1.411700
Dezhou,1.410110
Weihai,1.401767
Quanzhou,1.400774
Wanning,1.398392
Taizhou,1.393724
Baoji,1.393724
Wenzhou,1.393724
Weifang,1.393318
Xinzhou,1.392343
Ngawa,1.388111
Yichang,1.386043
Macau,1.385293
Jinhua,1.381881
Wenchang,1.381407
Handan,1.375306
Foshan,1.370584
Ordos,1.370584
Yancheng,1.370584
Dongguan,1.369298
Xilingol,1.364970
Hengshui,1.358414
Weinan,1.354255
Jiujiang,1.354122
Huangshan,1.352516
Lvliang,1.346402
Xiangtan,1.346402
Xianyang,1.342717
Xingtai,1.342084
Anqing,1.341862
Bangbu,1.341862
Dongying,1.339823
Zaozhuang,1.337903
Zhangjiajie,1.337903
Jiaozuo,1.327785
Xinxiang,1.327361
Taizhou,1.327297
Anyang,1.326078
Dali,1.320795
Danzhou,1.318175
Kaifeng,1.318055
Zhanjiang,1.311072
Linfen,1.310824
Changde,1.307485
Huai'an,1.303751
Beihai,1.303365
Qamdo,1.303365
Rizhao,1.303365
Ankang,1.303365
Wuzhou,1.303365
Jieyang,1.303365
Xiuzhou,1.303365
Jiayuguan,1.303365
Chuzhou,1.303365
Yingtan,1.303365
Zhongwei,1.303365
Zhoukou,1.303365
Ma'anshan,1.301890
Diqing,1.299995
Ulanqab,1.297229
Yuncheng,1.297122
Liuzhou,1.296645
Lianyungang,1.296645
Yiyang,1.296645
Yulin,1.294035
Nanping,1.290877
Xiangyang,1.286626
Garze,1.284571
Sanming,1.284571
Binzhou,1.281546
Chengmai,1.281007
Kaohsiung,1.280237
Shangrao,1.278910
Yangquan,1.278910
Liaocheng,1.275517
Qingyuan,1.270909
Mianyang,1.270569
Wuhu,1.269110
Jian,1.268372
Lingshui,1.267647
Dingan,1.266048
Jiuquan,1.265368
Xiangxi,1.257437
Xinyang,1.257437
New Taipei,1.255773
Heze,1.255121
Zhongshan,1.254930
Changzhi,1.249716
Tongchuan,1.244383
Jingdezhen,1.244209
Puyang,1.242431
Qiannan,1.242431
Chiayi,1.242431
Loudi,1.242431
Shuozhou,1.242431
Suining,1.242431
Guangyuan,1.242431
Hualien,1.242431
Xianning,1.242431
Leshan,1.242431
Ili(Yili),1.242431
Jiyuan,1.242431
Huizhou,1.242431
Xishuangbanna,1.242431
Zhangzhou,1.242431
Ganzhou,1.242431
Jiangmen,1.242431
Lishui,1.236324
Fuzhou,1.233533
Xuancheng,1.232173
Meizhou,1.229990
Ledong,1.229407
Yueyang,1.228889
Bayannur,1.223180
Taichung,1.223180
Jingzhou,1.219580
Baoshan,1.214553
Shangqiu,1.213252
Pingdong,1.212905
Zhuzhou,1.212905
Luohe,1.211933
Hanzhong,1.211601
Yibin,1.207856
Qiandongnan,1.205034
Fuyang,1.205034
Chizhou,1.203860
Laiwu,1.203621
Yichun,1.203589
Deyang,1.200629
Luzhou,1.197862
Zunyi,1.197567
Gannan,1.195997
Huanggang,1.194398
Nanchong,1.194398
Quzhou,1.192769
Pingdingshan,1.191111
Keramay,1.187697
Dehong,1.185939
Hezhou,1.185939
Bozhou,1.184145
Ningde,1.184145
Ya'an,1.184145
Shiyan,1.182314
Wuhai,1.182314
Shantou,1.182314
Nantou,1.182314
Changhua,1.181365
Yongzhou,1.181365
Baoting,1.181245
Anshun,1.178531
Pingxiang,1.178531
Xiaogan,1.176575
Changjiang,1.168370
Dongfang,1.168370
Zhaoqing,1.166068
Jincheng,1.163801
Luzhou,1.163801
Liangshanzhou,1.163801
Longyan,1.163801
Huainan,1.161471
Hengyang,1.159075
Tainan,1.159075
Wuzhishan,1.158557
Huangshi,1.154065
Alxa,1.154065
Taidong,1.151441
Huaihua,1.148731
Hsinchu,1.148113
Bayingolin,1.145928
Turpan,1.145928
Weicu,1.145928
Dazhou,1.145928
Zhumadian,1.145928
Shangluo,1.143403
Xiuqian,1.143026
Keelung,1.143026
Tianshui,1.140015
Alty,1.140015
Lu'an,1.140015
Kumul(Hami),1.136888
Enshi,1.136888
Shaoguan,1.136888
Honghe,1.136888
Meishan,1.131085
Haidong,1.131085
Jingmen,1.131085
Haixi,1.131085
Chenzhou,1.131085
Yulin,1.131085
Zhangye,1.131085
Pingliang,1.131085
Chongzuo,1.131085
Huaibei,1.122979
Shizuishan,1.119080
Changji,1.119080
Qinzhou,1.119080
Baise,1.118774
Pu'er,1.116858
Haibei,1.114973
Putian,1.114973
Yilan,1.114973
Chaozhou,1.114973
Qujing,1.110635
Wuzhong,1.110635
Tongling,1.106034
Zigong,1.106034
Qianxinan,1.101134
Xinyu,1.101134
Hotan,1.100566
Guang'an,1.100566
Baiyin,1.095891
Bijie,1.095891
Kashgar,1.095891
Shannan,1.095891
Panzhihua,1.090247
Qiongzhong,1.088095
Tacheng,1.086001
Heyuan,1.084131
Yuxi,1.084131
Bazhong,1.081307
Ziyang,1.081307
Neijiang,1.077450
Jinchang,1.077450
Guigang,1.077450
Shaoyang,1.077450
Ezhou,1.070078
Yangjiang,1.070078
Huangnan,1.070078
Qingyang,1.069055
Maoming,1.061842
Nagqu,1.061842
Miaoli,1.061842
Fangchenggang,1.061842
Yunlin,1.054460
Suizhou,1.052489
Tongren,1.052489
Ngari,1.050213
Longnan,1.041638
Shanwei,1.041638
Hechi,1.041638
Linxia,1.041638
Wuwei,1.041638
Yunfu,1.032226
Zhaotong,1.028659
Kinmen,1.028659
Aksu,1.028659
Bortala,1.028659
Guyuan,1.028659
Penghu,1.028659
Lincang,1.021258
Sansha,1.017359
Wenshan,1.012395
Golog,1.012395
Yushuzhou,1.012395
Dingxi,1.012395
Nujiang,0.990326
Liupanshui,0.954748
Laibin,0.954748
Kezilsu,0.866694
