city,distance
Harbin,6.112625
Shanghai,5.021685
Daqing,3.648922
Beijing,3.494460
Heihe,3.055305
Yichun,2.816658
Qiqihar,2.766828
Dongguan,2.712425
Dalian,2.584382
Jiamusi,2.584382
Shenyang,2.584382
Changchun,2.505930
Siping,2.411551
Suzhou,2.363972
Chengdou,2.289995
Shenzhen,2.289995
Tianjin,2.289995
Hangzhou,2.258898
Mudanjiang,2.159382
Chongqing,2.108321
Baicheng,2.108321
Dandong,2.108321
Daxinganling,2.108321
Hegang,2.108321
Jinan,2.108321
Jinhua,2.108321
Jinzhou,2.108321
Jixi,2.108321
Lijiang,2.108321
Panjin,2.108321
Qingdao,2.108321
Sanya,2.108321
Shuangyashan,2.108321
Bangbu,2.108321
Songyuan,2.108321
Tieling,2.108321
Anshan,2.108321
Jiaxing,2.057976
Nanjing,2.021029
Wuxi,2.019873
Hong Kong,2.014934
Shamen,1.988501
Changzhou,1.948340
Ningbo,1.947139
Hulunbuir,1.903638
Guangzhou,1.874650
Zhoushan,1.845014
Nantong,1.827010
Xi'an,1.786365
Huzhou,1.781997
Qinhuangdao,1.781990
Yanbian,1.753650
Shaoxing,1.751078
Jilin,1.740596
Wuhan,1.740447
Yangzhou,1.725804
Taipei,1.718015
Qitaihe,1.673851
Zhenjiang,1.671340
Zhengzhou,1.666086
Kunming,1.662926
Huangshan,1.654746
Hefei,1.652573
Wenzhou,1.646944
Hohhot,1.645094
Changsha,1.643803
Shijiazhuang,1.621304
Langfang,1.619097
Taizhou,1.617155
Tangshan,1.616131
Macau,1.612307
Taizhou,1.610797
Fuzhou,1.602260
Huludao,1.599601
Guilin,1.598564
Nanchang,1.582949
Baoding,1.582940
Yancheng,1.563210
Yantai,1.560615
Baishan,1.545196
Taiyuan,1.536876
Taoyuan,1.531706
Zhuhai,1.528875
Xuzhou,1.525659
Guiyang,1.522779
Shangrao,1.520463
Weihai,1.518743
Urumqi,1.516850
Haikou,1.511916
Lanzhou,1.508905
Lianyungang,1.507039
Nanning,1.505680
Zhangjiajie,1.503156
Zhangjiakou,1.487630
Wuhu,1.486760
Hinggan,1.486586
Yingkou,1.486586
Xuancheng,1.478123
Chengde,1.474520
Fushun,1.474053
Weifang,1.474053
Huizhou,1.465424
Quanzhou,1.459914
Diqing,1.457100
Chifeng,1.444993
Tongliao,1.444993
Lhasa,1.440615
Huai'an,1.438303
Nanping,1.438180
Chizhou,1.437565
Ngawa,1.431891
Liaoyang,1.427728
Zhongshan,1.424583
Yinchuan,1.418472
Quzhou,1.417325
Dali,1.417202
Jiujiang,1.416748
Luoyang,1.415731
Leshan,1.415429
Tai'an,1.410217
Lishui,1.410065
Benxi,1.407834
Cangzhou,1.404648
Xining,1.404614
Beihai,1.404454
Yichang,1.397071
Chuzhou,1.396902
Yingtan,1.395712
Kaohsiung,1.394165
Foshan,1.386105
Kaifeng,1.384227
Ordos,1.384227
Ganzhou,1.384227
Jining,1.383702
Datong,1.375758
Jingdezhen,1.371844
Ma'anshan,1.370801
Jian,1.369538
Anqing,1.360297
Liuzhou,1.357284
Xiangxi,1.356578
Linyi,1.356105
Heze,1.354936
Fuxin,1.354936
Tonghua,1.354936
Xiangyang,1.354936
Ningde,1.348764
Zaozhuang,1.348764
Baotou,1.347900
Mianyang,1.347495
Jinzhong,1.343878
New Taipei,1.339292
Rizhao,1.336797
Dezhou,1.335959
Jieyang,1.333092
