city,distance
Chengdou,6.132842
Chongqing,4.751820
Nanchong,3.784397
Mianyang,3.108377
Shanghai,3.076900
Suzhou,2.807119
Ziyang,2.807119
Guang'an,2.703578
Dazhou,2.643764
Deyang,2.576349
Zhuhai,2.576349
Leshan,2.498376
Ngawa,2.498376
Taiyuan,2.498376
Wuhan,2.498376
Beijing,2.463078
Neijiang,2.404556
Enshi,2.283685
Guangyuan,2.283685
Guangzhou,2.283685
Luoyang,2.283685
Luzhou,2.283685
Ankang,2.283685
Shenzhen,2.283685
Xi'an,2.283685
Yibin,2.283685
Yichang,2.283685
Zigong,2.283685
Changchun,2.102972
Fuzhou,2.102972
Garze,2.102972
Haikou,2.102972
Handan,2.102972
Hanzhong,2.102972
Hefei,2.102972
Heyuan,2.102972
Hong Kong,2.102972
Huai'an,2.102972
Jinan,2.102972
Kunming,2.102972
Meishan,2.102972
Nanjing,2.102972
Nanning,2.102972
Panzhihua,2.102972
Shiyan,2.102972
Tongren,2.102972
Urumqi,2.102972
Xinxiang,2.102972
Ya'an,2.102972
Zhuzhou,2.102972
Hangzhou,1.869642
Lijiang,1.827627
Lhasa,1.818758
Tianjin,1.812799
Liangshanzhou,1.797906
Guiyang,1.766951
Shamen,1.759940
Changsha,1.729923
Zhengzhou,1.692923
Ningbo,1.692089
Wuxi,1.687008
Zunyi,1.668114
Qingdao,1.664217
Macau,1.645079
Sanya,1.642612
Lanzhou,1.640412
Shenyang,1.639302
Jiaxing,1.634573
Shijiazhuang,1.625405
Dali,1.607650
Bazhong,1.598618
Dalian,1.576940
Nyingchi,1.576940
Jinzhong,1.573203
Nanchang,1.572046
Taipei,1.570381
Xining,1.566999
Xiangxi,1.566488
Changzhou,1.564643
Zhongshan,1.551061
Guilin,1.550824
Baoji,1.534900
Yinchuan,1.528477
Harbin,1.526274
Huangshan,1.517128
Huizhou,1.515005
Hohhot,1.512337
Diqing,1.507386
Dongying,1.504847
Dongguan,1.502263
Xinyang,1.498096
Zhoushan,1.497303
Nantong,1.485424
Wenzhou,1.479746
Dezhou,1.469152
Foshan,1.464279
Xinzhou,1.458304
Huzhou,1.455532
Baotou,1.449203
Taoyuan,1.449203
Baoshan,1.445348
Xianyang,1.445348
Xiangyang,1.442735
Xuzhou,1.441380
Shaoxing,1.434838
Gannan,1.434763
Yangzhou,1.433070
Zhangjiajie,1.431325
Jilin,1.425047
Jinhua,1.424201
Chuzhou,1.424201
Zhenjiang,1.423993
Qiandongnan,1.415488
Huaihua,1.414384
Liuzhou,1.400030
Datong,1.399158
Beihai,1.398933
Taizhou,1.393213
Ordos,1.387216
Baoding,1.387216
Nanyang,1.383817
Quanzhou,1.383817
Weinan,1.383226
Xianning,1.381473
Xishuangbanna,1.380911
Xiangtan,1.377900
Liaoyang,1.375224
Tongling,1.375224
Jiujiang,1.374262
Langfang,1.374262
Tianshui,1.374262
Jiaozuo,1.372256
Yantai,1.371680
Jiangmen,1.368620
Yueyang,1.365119
Jingzhou,1.363922
Qionghai,1.362166
Jiuquan,1.359746
Xingtai,1.359556
Puyang,1.357937
Turpan,1.356034
Qamdo,1.351759
Qingyang,1.351759
Ganzhou,1.351759
Tangshan,1.350794
Meizhou,1.345863
Changji,1.344398
Taizhou,1.343660
Lianyungang,1.343183
Zibo,1.343183
Anyang,1.340803
Huanggang,1.337583
Tai'an,1.337310
Sanmenxia,1.336106
Lvliang,1.335721
New Taipei,1.333912
Weicu,1.333912
Xiaogan,1.330229
Huangshi,1.328461
Qinhuangdao,1.326752
Alty,1.326563
Yangquan,1.324929
Weifang,1.323812
Weihai,1.323812
Bijie,1.323812
Yuxi,1.323812
Jingmen,1.319540
Kaifeng,1.319037
Linfen,1.318763
Wanning,1.315326
Ningde,1.314383
Chongzuo,1.313588
Liupanshui,1.312701
Dandong,1.312701
Dehong,1.312701
Yulin,1.309702
Yan'an,1.308730
Lu'an,1.307560
Suizhou,1.307560
Daqing,1.307560
Changde,1.307560
Yancheng,1.307560
Jinchang,1.307560
Zhaotong,1.307560
Loudi,1.304356
Ili(Yili),1.301018
Anshan,1.300327
Zhangzhou,1.300327
Anshun,1.300327
Nanping,1.292139
Pingdingshan,1.292139
Hengyang,1.289070
Sansha,1.286404
Qingyuan,1.286330
Hulunbuir,1.286330
Shangrao,1.286330
Cangzhou,1.286330
Jian,1.286330
Jingdezhen,1.286330
Yulin,1.286330
Yuncheng,1.286330
Zhanjiang,1.286330
Wuhu,1.284073
Jining,1.278316
Changzhi,1.278316
Qinzhou,1.274313
Shangluo,1.273997
Putian,1.272884
Ezhou,1.271481
Kaohsiung,1.270159
Jieyang,1.270159
Bayingolin,1.270159
Linyi,1.270159
Jincheng,1.270159
Honghe,1.270159
Zhaoqing,1.270159
Anqing,1.262731
Zhangjiakou,1.262564
Qiannan,1.262344
Qujing,1.262344
Rizhao,1.262344
Shantou,1.262344
Wenshan,1.262344
Yiyang,1.262344
Baise,1.261740
Keramay,1.255714
Shuozhou,1.255128
Fangchenggang,1.255028
Wenchang,1.254341
Chengde,1.253109
Yanbian,1.251394
Haixi,1.250912
Tainan,1.250912
Bangbu,1.250912
Jiayuguan,1.250912
Hezhou,1.250912
Golog,1.250912
Nagqu,1.248200
Kashgar,1.247271
Xuancheng,1.246262
Siping,1.245411
Qiqihar,1.243332
Ma'anshan,1.243332
Xiuqian,1.242750
Pingxiang,1.242734
Chizhou,1.242075
Shannan,1.238881
Yingtan,1.232217
Jiyuan,1.228976
Fuzhou,1.226942
Chenzhou,1.226942
Heze,1.226942
Quzhou,1.226942
Jinzhou,1.226942
Nantou,1.226942
Zaozhuang,1.226942
Pingdong,1.226942
Zhongwei,1.226942
Zhoukou,1.226942
Shaoguan,1.223471
Hebi,1.222400
Huainan,1.221944
Taichung,1.219649
Hotan,1.219649
Hegang,1.219649
Fushun,1.219649
Qianxinan,1.219649
Guigang,1.217301
Sanming,1.212596
Baishan,1.208139
Danzhou,1.201986
Longnan,1.199261
Wuzhou,1.198035
Tonghua,1.197877
Songyuan,1.197877
Lishui,1.197528
Kumul(Hami),1.197094
Tongchuan,1.194678
Maoming,1.194678
Tacheng,1.194678
Alxa,1.194678
Hsinchu,1.194678
Yilan,1.194678
Suihua,1.194678
Miaoli,1.194678
Hualien,1.194678
Yushuzhou,1.194678
Aksu,1.194678
Zhumadian,1.194678
Dingxi,1.194678
Hechi,1.193968
Fuyang,1.190926
Liaocheng,1.190088
Shaoyang,1.187762
Tongliao,1.187762
Ngari,1.187762
Tieling,1.187762
Longyan,1.187762
Chaoyang,1.187762
Benxi,1.187762
Taidong,1.187762
Chifeng,1.187762
Haibei,1.187762
Jixi,1.187762
Chongzuo,1.185997
Linxia,1.184252
Laibin,1.177550
Yangjiang,1.173061
Hengshui,1.171778
Chengmai,1.171004
Wuwei,1.168645
Yichun,1.168645
Huludao,1.165290
Binzhou,1.161067
Lingshui,1.159830
Dingan,1.158492
Bozhou,1.147479
Xinyu,1.143883
Panjin,1.143282
Xuchang,1.143282
Heihe,1.143282
Guyuan,1.143282
Chaozhou,1.143282
Yichun,1.143282
Xilingol,1.143282
Yingkou,1.143282
Lincang,1.143282
Shizuishan,1.143282
Zhangye,1.143282
Laiwu,1.143282
Baoting,1.143282
Pingliang,1.143282
Haidong,1.143282
