city,distance
Wuhan,5.786210
Xiangyang,4.461087
Shanghai,3.619729
Shiyan,3.619729
Xiaogan,3.537846
Xinyang,3.122204
Beijing,2.977042
Chengdou,2.793957
Guangzhou,2.793957
Jingmen,2.793957
Nanjing,2.677142
Baoding,2.528163
Changsha,2.528163
Hangzhou,2.528163
Hefei,2.528163
Jingzhou,2.528163
Luoyang,2.528163
Nanyang,2.528163
Shamen,2.528163
Xianning,2.528163
Yichang,2.528163
Chongqing,2.308547
Guang'an,2.308547
Huaihua,2.308547
Huangshi,2.308547
Jian,2.308547
Jiaxing,2.308547
Keelung,2.308547
Lijiang,2.308547
Nanchong,2.308547
Nanning,2.308547
Ningde,2.308547
Pingdingshan,2.308547
Quanzhou,2.308547
Shaoguan,2.308547
Shijiazhuang,2.308547
Suzhou,2.308547
Tianjin,2.308547
Xi'an,2.308547
Yinchuan,2.308547
Yingtan,2.308547
Yueyang,2.308547
Zhangjiakou,2.308547
Zhengzhou,2.308547
Shenzhen,1.974182
Huanggang,1.922404
Hong Kong,1.824426
Nanchang,1.818671
Ezhou,1.788751
Yulin,1.772173
Jiujiang,1.766226
Wuxi,1.747616
Enshi,1.734151
Kunming,1.734151
Qingdao,1.731528
Taipei,1.703045
Ningbo,1.701159
Sanya,1.697007
Changzhou,1.693810
Zhongshan,1.690569
Zhuhai,1.677115
Ankang,1.664974
Zhumadian,1.658843
Foshan,1.658495
Jinan,1.653525
Fuzhou,1.644001
Shenyang,1.627922
Xiangxi,1.627922
Guilin,1.626385
Lu'an,1.626385
Dongguan,1.616865
Zhoushan,1.615173
Dalian,1.608508
Nantong,1.601358
Jinhua,1.597906
Haikou,1.596072
Wenzhou,1.596072
Leshan,1.593035
Guiyang,1.592343
Ngawa,1.589579
Lanzhou,1.586587
Dazhou,1.574466
Hengyang,1.572319
Huzhou,1.566673
New Taipei,1.562734
Diqing,1.550011
Zhuzhou,1.546981
Shaoxing,1.542724
Urumqi,1.541902
Zhenjiang,1.541902
Shangluo,1.532266
Harbin,1.531215
Luohe,1.527413
Yangzhou,1.523073
Zhangjiajie,1.521729
Huangshan,1.519723
Shangrao,1.516707
Fuyang,1.514185
Taiyuan,1.510488
Dali,1.504942
Xuzhou,1.500638
Langfang,1.498431
Fangchenggang,1.497202
Changchun,1.497202
Hohhot,1.490076
Macau,1.486376
Kaifeng,1.482578
Xining,1.482578
Deyang,1.474924
Liuzhou,1.470532
Qinhuangdao,1.462783
Changde,1.461883
Handan,1.458718
Jining,1.457347
Anqing,1.457347
Jiaozuo,1.456913
Jingdezhen,1.452655
Mianyang,1.451141
Xiangtan,1.448577
Xinxiang,1.447796
Chenzhou,1.442756
Zhangzhou,1.441634
Yuncheng,1.439313
Taizhou,1.437820
Wuhu,1.437518
Xuchang,1.434403
Zhongwei,1.434022
Taizhou,1.432065
Taoyuan,1.432065
Weifang,1.432065
Yantai,1.432065
Xianyang,1.427575
Shizuishan,1.425610
Jiangmen,1.425394
Anyang,1.420431
Loudi,1.417249
Sanmenxia,1.416232
Tai'an,1.414198
Garze,1.409010
Tangshan,1.405666
Qingyuan,1.405246
Beihai,1.404096
Lianyungang,1.400738
Baoji,1.400738
Ya'an,1.399233
Xingtai,1.395114
Yilan,1.395114
Yancheng,1.395018
Ganzhou,1.393427
Weinan,1.392308
Chongzuo,1.390958
Shangqiu,1.388770
Zhoukou,1.388770
Liangshanzhou,1.386953
Suining,1.384201
Huizhou,1.380139
Chizhou,1.379061
Liupanshui,1.377366
Yichun,1.377366
Yongzhou,1.377366
Zhaoqing,1.374151
Chengde,1.373771
Qiandongnan,1.364288
Tongren,1.361087
Longyan,1.360460
Weihai,1.358842
Chuzhou,1.358842
Lhasa,1.358842
Zhanjiang,1.358842
Meishan,1.356553
Quzhou,1.355902
Wuzhong,1.355353
Huainan,1.354290
Bangbu,1.353922
Ma'anshan,1.348362
Pingxiang,1.348362
Jinzhong,1.348362
Yiyang,1.348362
Qinzhou,1.346997
Datong,1.342570
Neijiang,1.337809
Nanping,1.336836
Shantou,1.336836
Tongling,1.336836
Binzhou,1.336836
Tongliao,1.335595
Baise,1.332957
Huai'an,1.331898
Putian,1.330926
Xuancheng,1.326856
Hanzhong,1.325528
Panzhihua,1.325528
Qiannan,1.325528
Maoming,1.325528
Luzhou,1.325528
Heyuan,1.325528
Yan'an,1.325528
Guangyuan,1.325528
Jinzhou,1.325528
Jincheng,1.325528
Zhaotong,1.325528
Zunyi,1.325528
Ordos,1.324006
Kaohsiung,1.324006
Jieyang,1.324006
Fuzhou,1.321785
Alxa,1.317527
Cangzhou,1.312924
Ziyang,1.311497
Lishui,1.309497
Ulanqab,1.309497
Xishuangbanna,1.309497
Anshun,1.309497
Changzhi,1.305453
Zigong,1.301946
Jiyuan,1.296444
Pu'er,1.294646
Danzhou,1.294646
Dingxi,1.294646
Yangjiang,1.294502
Qionghai,1.292742
Sanming,1.292742
Shaoyang,1.292742
Chaozhou,1.292742
Yulin,1.292742
Heze,1.292742
Yibin,1.284545
Guigang,1.283458
Hebi,1.282542
Xinyu,1.277949
Xinzhou,1.277698
Xilingol,1.276061
Jiuquan,1.272810
Tianshui,1.272810
Jiayuguan,1.272810
Wenchang,1.272810
Wuhai,1.272810
Jilin,1.272810
Xiuqian,1.272810
Huaibei,1.272810
Dongying,1.272810
Liaocheng,1.272810
Zaozhuang,1.272810
Weicu,1.270294
Huludao,1.268934
Hezhou,1.268053
Baotou,1.263214
Wuzhou,1.262059
Hsinchu,1.260850
Bazhong,1.258701
Hechi,1.257547
Hulunbuir,1.256343
