city,distance
Shanghai,7.265103
Wuxi,3.395447
Nanjing,3.100468
Changzhou,2.906380
Hangzhou,2.883942
Beijing,2.824209
Nantong,2.760402
Jiaxing,2.647929
Huzhou,2.434342
Zhenjiang,2.396641
Yangzhou,2.377068
Ningbo,2.321959
Hong Kong,2.299897
Taizhou,2.267095
Shamen,2.265523
Yancheng,2.254979
Guangzhou,2.169266
Lianyungang,2.129783
Wuhan,2.100185
Tianjin,2.087513
Hefei,2.086587
Zhoushan,2.081125
Chengdou,2.061638
Shaoxing,2.060466
Shenzhen,2.056395
Xuzhou,2.042760
Xi'an,2.014586
Qingdao,1.996229
Sanya,1.995140
Huangshan,1.971071
Jinhua,1.966875
Jinan,1.953877
Taipei,1.941758
Chongqing,1.938638
Huai'an,1.917377
Xuancheng,1.892275
Zhengzhou,1.880680
Changsha,1.872629
Wenzhou,1.866408
Wuhu,1.857850
Kunming,1.852340
Dalian,1.852196
Guiyang,1.846694
Chuzhou,1.812219
Bangbu,1.806832
Shenyang,1.799772
Fuzhou,1.795646
Macau,1.789750
Nanchang,1.783852
Harbin,1.777277
Guilin,1.772832
Shangrao,1.768132
Taizhou,1.761501
Dongguan,1.754651
Rizhao,1.743930
Yantai,1.743930
Chizhou,1.728695
Changchun,1.712200
Lijiang,1.712200
Shijiazhuang,1.712200
Ma'anshan,1.707851
Tai'an,1.707851
Zhuhai,1.707851
Taoyuan,1.703402
Xiuqian,1.698848
New Taipei,1.684498
Jining,1.679462
Lishui,1.679462
Nanning,1.679462
Taiyuan,1.674287
Urumqi,1.672887
Haikou,1.666888
Zhangjiajie,1.663482
Lanzhou,1.663229
Bozhou,1.657832
Lu'an,1.652001
Jiujiang,1.633277
Zaozhuang,1.626568
Quzhou,1.619590
Quanzhou,1.603901
Zibo,1.596774
Anqing,1.588426
Ngawa,1.588426
Hohhot,1.580928
Lhasa,1.580638
Kaohsiung,1.579635
Linyi,1.579635
Wuzhou,1.579635
Nanping,1.577707
Foshan,1.570344
Zhongshan,1.570344
Luoyang,1.560486
Dezhou,1.560486
Yinchuan,1.560486
Kaifeng,1.549976
Weihai,1.546474
Tongling,1.538710
Weifang,1.538710
Xiangyang,1.538710
Beihai,1.538710
Xining,1.537403
Yichang,1.528372
Yingtan,1.526745
Jiuquan,1.526557
Liuzhou,1.526557
Mianyang,1.526557
Qionghai,1.526557
Datong,1.526557
Langfang,1.513343
Suining,1.513343
Xiangxi,1.513343
Xiuzhou,1.513343
Ningde,1.498840
Qinhuangdao,1.498840
Cangzhou,1.498840
Shangqiu,1.498840
Baoding,1.498840
Tangshan,1.498840
Jingdezhen,1.498231
Jian,1.495481
Dali,1.489818
Jiaozuo,1.482730
Leshan,1.482730
Longyan,1.482730
Huainan,1.482730
Huanggang,1.482730
Fuyang,1.482730
Diqing,1.479760
Jincheng,1.464558
Pingdong,1.464558
Weinan,1.464558
Xinxiang,1.464558
Huaibei,1.464558
Heze,1.464558
Zhuzhou,1.464558
Baotou,1.453157
Jieyang,1.452129
Enshi,1.443631
Chiayi,1.443631
Nanyang,1.443631
Qiandongnan,1.443631
Hualien,1.443631
Baoji,1.443631
Shantou,1.443631
Xinzhou,1.443631
Zhangjiakou,1.443631
Yanbian,1.439150
Taichung,1.428512
Changde,1.418819
Nantou,1.418819
Jingzhou,1.418819
Ordos,1.418819
Hsinchu,1.418819
Xinyang,1.418819
Garze,1.418819
Zhoukou,1.418819
Anyang,1.418819
Hulunbuir,1.409550
Ganzhou,1.409074
Jinzhou,1.404708
Jilin,1.394960
Dongying,1.389507
Yichun,1.388948
Luohe,1.388062
Kashgar,1.388062
Alxa,1.388062
Chenzhou,1.388062
Nyingchi,1.388062
Putian,1.388062
Fuzhou,1.388062
Huizhou,1.388062
Hezhou,1.388062
Shaoguan,1.388062
Shiyan,1.388062
Haixi,1.388062
Wanning,1.388062
Chaozhou,1.388062
Xianning,1.388062
Xingtai,1.388062
Binzhou,1.388062
Yangquan,1.388062
Jiangmen,1.388062
Jiyuan,1.388062
Zhangzhou,1.388062
Zigong,1.388062
Zhanjiang,1.384384
Jinzhong,1.379644
Panjin,1.372807
Suihua,1.372166
Baoshan,1.370873
Xishuangbanna,1.368908
Xianyang,1.357839
Xinyu,1.354901
Handan,1.354901
Sanming,1.354155
Keelung,1.346910
Kezilsu,1.346910
Pingdingshan,1.346910
Linfen,1.346910
Chifeng,1.346910
Dandong,1.346910
Shizuishan,1.346910
Tianshui,1.346910
Ulanqab,1.346910
Jingmen,1.346910
Bortala,1.346910
Kumul(Hami),1.346910
Nagqu,1.346910
Yan'an,1.346910
Yangjiang,1.346910
Yilan,1.346910
Yingkou,1.346910
Yulin,1.346910
Yuncheng,1.346910
Liaocheng,1.346910
Hengshui,1.346910
Zunyi,1.346910
Tainan,1.344807
Daqing,1.342347
Chengde,1.340302
Anshan,1.339832
Pingxiang,1.337261
Mudanjiang,1.332842
Yunlin,1.330105
Qingyuan,1.321468
Deyang,1.314252
Changzhi,1.312100
Yibin,1.312100
Xiangtan,1.311008
Hengyang,1.311008
Huangshi,1.305375
Qiqihar,1.301849
Alty,1.299432
Weicu,1.296960
Anshun,1.294428
Jiayuguan,1.291834
Yueyang,1.285055
Baishan,1.283645
Nanchong,1.281938
Aksu,1.281938
Haibei,1.281938
Shaoyang,1.281938
Dazhou,1.281938
Hanzhong,1.281938
Neijiang,1.281938
Suizhou,1.281938
Guyuan,1.281938
Changji,1.281938
Bayingolin,1.281938
Tieling,1.281938
Ngari,1.281938
Guang'an,1.281938
Wuhai,1.281938
Puyang,1.281938
Wuwei,1.281938
Baiyin,1.281938
Ili(Yili),1.281938
Changhua,1.281938
Xuchang,1.281938
Ya'an,1.281938
Sanmenxia,1.281938
Daxinganling,1.281938
Meishan,1.281938
Yulin,1.281938
Luzhou,1.281938
Lvliang,1.281938
Chongzuo,1.281938
Ankang,1.281938
Zhongwei,1.281938
Laibin,1.281938
Hotan,1.281938
Maoming,1.281938
Zhaoqing,1.277804
Sansha,1.271611
Penghu,1.271611
Shuozhou,1.265017
Fushun,1.263299
Huaihua,1.256116
Turpan,1.252320
Taidong,1.252320
Zibo,1.248002
Kinmen,1.246337
Benxi,1.244258
Liangshanzhou,1.242134
Yichun,1.242134
Huludao,1.240325
Meizhou,1.239962
Tongliao,1.239962
Keramay,1.237740
Qiannan,1.235465
Ezhou,1.233136
Jiamusi,1.233136
Shannan,1.230747
Laiwu,1.230747
Loudi,1.228297
Zhangye,1.225782
Qinzhou,1.212079
Liaoyang,1.212079
Gannan,1.212079
Fangchenggang,1.212079
Honghe,1.209076
Xiaogan,1.208256
Heyuan,1.202757
Yiyang,1.202757
Baise,1.199424
Zhumadian,1.199424
Dehong,1.195963
Qujing,1.195963
Bayannur,1.195963
Xilingol,1.192361
Yuxi,1.192361
Pu'er,1.188607
Miaoli,1.184686
Yongzhou,1.184686
Lingshui,1.184686
Chaoyang,1.184686
Hechi,1.171736
Baoting,1.166946
Heihe,1.166946
Siping,1.161867
Hinggan,1.156462
Jixi,1.156462
Songyuan,1.150679
Wenchang,1.150679
Liaoyuan,1.150679
Lincang,1.150679
Hebi,1.144459
Haidong,1.144459
Jinchang,1.137722
Qianxinan,1.137722
Panzhihua,1.130366
Dingxi,1.130366
Danzhou,1.130366
Shangluo,1.130366
Ziyang,1.124071
Baicheng,1.122255
Shanwei,1.122255
Tongren,1.122255
Shuangyashan,1.122255
Hegang,1.113199
Guigang,1.113199
