city,distance
Urumqi,6.244167
Ili(Yili),4.102138
Keramay,4.024163
Alty,3.662524
Bortala,3.295811
Turpan,3.134474
Chengdou,2.932171
Huangshan,2.932171
Kashgar,2.932171
Qinhuangdao,2.932171
Shanghai,2.757016
Guangzhou,2.640801
Hengyang,2.640801
Lanzhou,2.640801
Liangshanzhou,2.640801
Xi'an,2.640801
Beijing,2.547784
Changji,2.333943
Bayingolin,2.100450
Yinchuan,1.929194
Kumul(Hami),1.923121
Ganzhou,1.904432
Shijiazhuang,1.903973
Aksu,1.899510
Chongqing,1.860520
Hangzhou,1.832424
Lijiang,1.831464
Tianjin,1.813743
Hotan,1.800358
Jiuquan,1.800358
Zhengzhou,1.800358
Wuhan,1.796880
Changsha,1.790718
Taiyuan,1.758601
Nanjing,1.750031
Kezilsu,1.717167
Suzhou,1.704764
Sanya,1.694999
Shamen,1.683080
Shenzhen,1.683080
Hohhot,1.676825
Tangshan,1.670701
Haixi,1.663648
Kunming,1.663648
Xining,1.663648
Shenyang,1.656688
Jinan,1.641909
Leshan,1.637033
Qingdao,1.634034
Ngawa,1.633383
Foshan,1.603299
Dalian,1.598401
Shangrao,1.595120
Harbin,1.577303
Huludao,1.569279
Haikou,1.565638
Hong Kong,1.565638
Luoyang,1.565638
Ningbo,1.565638
Guiyang,1.553057
Jiayuguan,1.553057
Xianyang,1.548015
Jiaxing,1.539672
Panzhihua,1.538124
Zhuzhou,1.534636
Hefei,1.533817
Taipei,1.529608
Zhongshan,1.529578
Changchun,1.524378
Lhasa,1.524378
Wuxi,1.518245
Chenzhou,1.513817
Deyang,1.512562
Gannan,1.507718
Guilin,1.507718
Weinan,1.506632
Baoji,1.503501
Xuancheng,1.495309
Jinchang,1.488932
Nanning,1.488932
Taizhou,1.488932
Wenzhou,1.488932
Mianyang,1.487560
Changzhou,1.477471
Baotou,1.467308
Shangqiu,1.467308
Fuzhou,1.467308
Xishuangbanna,1.467308
Zhangye,1.467308
Zhuhai,1.467308
Dongguan,1.467308
Shuangyashan,1.446360
Garze,1.443320
Cangzhou,1.441683
Huzhou,1.441683
Mudanjiang,1.441683
Nantong,1.441683
Tai'an,1.441683
Wuzhong,1.441683
Yangzhou,1.441683
Zhongwei,1.441683
Shaoguan,1.440533
Ngari,1.438351
Tianshui,1.438013
Ya'an,1.433063
Langfang,1.430511
Chizhou,1.426144
Jinzhou,1.421847
Yan'an,1.418673
Zhoushan,1.417282
Hulunbuir,1.409938
Linyi,1.409938
Nanchang,1.409938
Ordos,1.409938
Haibei,1.409938
Xuzhou,1.409938
Yichang,1.409938
Changzhi,1.401708
Dongying,1.401708
Wuhu,1.401708
Nanchong,1.396323
Diqing,1.389059
Meishan,1.388327
Jiangmen,1.384431
Wuwei,1.378776
Xiangtan,1.371195
Jingdezhen,1.369706
Neijiang,1.368701
Luzhou,1.367498
Nanyang,1.367498
Taoyuan,1.367498
Yanbian,1.367498
Yantai,1.367498
Yibin,1.367498
Yueyang,1.367498
Yuncheng,1.367498
Zhaoqing,1.367498
Zibo,1.367498
Dingxi,1.366522
Yongzhou,1.366463
Linxia,1.363725
Shaoxing,1.361190
Baoding,1.354891
Suining,1.350984
Qingyuan,1.350826
Hanzhong,1.344364
Baiyin,1.343149
Huizhou,1.341701
Ziyang,1.341172
Tongling,1.334691
Zigong,1.331186
Panjin,1.329864
Jinhua,1.329460
Ankang,1.322635
Macau,1.314430
Anyang,1.314430
Zhangzhou,1.314430
Zhenjiang,1.312514
Guangyuan,1.311228
Chengde,1.302806
Dandong,1.300574
Beihai,1.300574
Lianyungang,1.300574
Huai'an,1.300574
Meizhou,1.300574
Jiaozuo,1.300574
Pingdingshan,1.300574
Rizhao,1.300574
Sanmenxia,1.300574
Taichung,1.300574
