city,distance
Hualien,5.404384
Kaohsiung,4.736921
Pingdong,4.401264
Taipei,4.147171
Taoyuan,3.129520
Shanghai,3.106063
Tainan,2.976654
New Taipei,2.902060
Chiayi,2.886105
Beijing,2.869753
Nantou,2.781025
Taichung,2.720805
Yilan,2.676828
Chaozhou,2.450366
Hong Kong,2.371099
Hangzhou,2.324967
Keelung,2.272669
Yunlin,2.211778
Fuzhou,2.137929
Miaoli,2.137929
Changhua,2.041842
Chongqing,2.041842
Hsinchu,2.041842
Nanjing,2.041842
Shamen,2.041842
Dalian,1.896157
Hefei,1.896157
Jiaozuo,1.896157
Jiaxing,1.896157
Jinan,1.896157
Kinmen,1.896157
Shenyang,1.896157
Shenzhen,1.896157
Tianjin,1.896157
Suzhou,1.832068
Shantou,1.631650
Wuxi,1.618398
Guangzhou,1.593146
Changzhou,1.572149
Ningbo,1.571367
Jieyang,1.546067
Macau,1.520136
Zhoushan,1.504176
Chengdou,1.493969
Nantong,1.492188
Langfang,1.470755
Huzhou,1.462025
Sanya,1.458737
Qingdao,1.451635
Penghu,1.444332
Wuhan,1.442551
Xi'an,1.441425
Shaoxing,1.441148
Baoding,1.440858
Shijiazhuang,1.437566
Qinhuangdao,1.436397
Zhengzhou,1.431115
Yangzhou,1.423985
Dongguan,1.416421
Jinhua,1.405629
Zhangzhou,1.398971
Taiyuan,1.394093
Zhenjiang,1.386699
Tangshan,1.381283
Kunming,1.380902
Harbin,1.377477
Huangshan,1.375257
Wenzhou,1.369863
Changsha,1.367690
Huai'an,1.366706
Zhangjiakou,1.361461
Foshan,1.359520
Changchun,1.359520
Lanzhou,1.359520
Pu'er,1.359520
Chengde,1.350473
Taizhou,1.349192
Meizhou,1.342874
Quanzhou,1.341826
Guiyang,1.338111
Guilin,1.336227
Shanwei,1.336154
Ningde,1.329740
Taizhou,1.327381
Nanchang,1.325299
Hohhot,1.324874
Luoyang,1.313997
Yancheng,1.311435
Huizhou,1.304320
Nanning,1.299858
Lijiang,1.299013
Yantai,1.298145
Urumqi,1.294230
Mianyang,1.291967
Cangzhou,1.291628
Zhuhai,1.287183
Putian,1.285607
Xuzhou,1.284903
Sansha,1.282473
Shangrao,1.281215
Nanping,1.281055
Haikou,1.275141
Tai'an,1.274166
Lianyungang,1.271670
Zhangjiajie,1.268904
Datong,1.267159
Wuhu,1.263701
Xiuqian,1.263701
Yinchuan,1.258507
Xinxiang,1.253624
Xuancheng,1.251019
Huludao,1.249030
Baotou,1.243488
Lhasa,1.240518
Jinzhong,1.240064
Hulunbuir,1.236829
Xining,1.236829
Dezhou,1.233318
Liuzhou,1.232070
Mudanjiang,1.232070
Ordos,1.232070
Dali,1.232070
Xiangxi,1.232070
Weihai,1.226931
Heyuan,1.224852
Jining,1.224644
Sanming,1.224137
Chizhou,1.221843
Weifang,1.220454
Xinzhou,1.219705
Ngawa,1.217742
Kaifeng,1.215716
Chifeng,1.214292
Fushun,1.211113
Quzhou,1.207191
Jiujiang,1.206772
Handan,1.206612
Hezhou,1.206338
Longyan,1.205901
Zibo,1.205303
Anshan,1.202615
Lishui,1.201920
Zhongshan,1.201862
Jinzhou,1.200799
Bangbu,1.200694
Jilin,1.200104
Beihai,1.197842
Dongying,1.195881
Yan'an,1.195881
Hengshui,1.193590
Yichang,1.192467
Chuzhou,1.192344
Yingtan,1.191477
Yingkou,1.186189
Anqing,1.185116
Dandong,1.183526
Xingtai,1.180964
Xilingol,1.178621
Zaozhuang,1.177725
Changde,1.177667
Lu'an,1.174461
Jingdezhen,1.174039
Ma'anshan,1.173275
Jian,1.172350
Qiqihar,1.171183
Linyi,1.170533
Anyang,1.168553
Pingdingshan,1.165754
Liaoyang,1.165527
Diqing,1.162666
Benxi,1.161623
Xiangyang,1.160908
Daqing,1.159391
Baoji,1.159018
Panjin,1.155971
Laiwu,1.153957
Yanbian,1.152808
Tieling,1.151306
Guang'an,1.149924
Huainan,1.149118
Rizhao,1.148275
Ulanqab,1.146092
Jiuquan,1.139778
Zunyi,1.137932
Binzhou,1.133834
Neijiang,1.133529
Qinzhou,1.133529
Deyang,1.133529
Dazhou,1.133359
Yangquan,1.131769
Liaocheng,1.129111
Jincheng,1.125414
Jiyuan,1.125414
Xishuangbanna,1.125383
Zhuzhou,1.124646
Fuyang,1.121645
Anshun,1.121475
Huaihua,1.121475
Zhaoqing,1.121475
Chenzhou,1.121475
Tongling,1.120360
Suining,1.118838
Ganzhou,1.118578
Xinyang,1.114921
Garze,1.111335
Leshan,1.111335
Jiangmen,1.110139
Luzhou,1.108963
Changzhi,1.108846
Nanchong,1.108375
Chaoyang,1.108140
Yuncheng,1.106709
Bortala,1.105935
Yichun,1.105935
Yichun,1.105857
Tongliao,1.105249
Xianyang,1.105249
Shaoguan,1.103330
Shuozhou,1.103006
Zhanjiang,1.102962
Heze,1.099906
Jiamusi,1.098306
Wanning,1.097212
Liangshanzhou,1.096601
Suihua,1.095193
Haixi,1.094782
Baoshan,1.094369
Puyang,1.093289
Yueyang,1.092419
Yulin,1.090647
Huaibei,1.090544
Siping,1.088831
Zigong,1.088173
Bayannur,1.087905
Lvliang,1.086968
Ili(Yili),1.086019
Xiuzhou,1.085112
Hinggan,1.085057
