city,distance
Urumqi,5.551523
Ili(Yili),5.249275
Shanghai,3.878955
Alty,3.635184
Keramay,3.326633
Beijing,3.197770
Tacheng,3.197770
Changji,2.854315
Suzhou,2.854315
Taipei,2.854315
Gannan,2.577483
Shuangyashan,2.577483
Tianjin,2.577483
Xi'an,2.577483
Yinchuan,2.577483
Weihai,2.348033
Turpan,2.262146
Bayingolin,2.227044
Ganzhou,2.119460
Hangzhou,1.994580
Chengdou,1.993954
Kashgar,1.974865
New Taipei,1.876763
Kumul(Hami),1.851957
Jiaxing,1.836280
Shijiazhuang,1.834193
Lanzhou,1.819353
Guangzhou,1.814927
Nanjing,1.806807
Wuxi,1.805884
Hong Kong,1.801935
Chongqing,1.793833
Ngawa,1.785184
Shamen,1.780765
Changzhou,1.748489
Ningbo,1.747522
Hotan,1.737842
Jiuquan,1.737842
Zhengzhou,1.737842
Wuhan,1.734601
Jiamusi,1.726925
Taoyuan,1.722125
Taiyuan,1.698903
Changchun,1.677377
Zhoushan,1.664818
Changsha,1.664644
Nantong,1.650145
Sanya,1.639473
Shenzhen,1.628319
Hohhot,1.622465
Huzhou,1.613338
Haixi,1.610125
Kunming,1.610125
Xining,1.610125
Harbin,1.609572
Shenyang,1.603604
Qingdao,1.600694
Jinan,1.589753
Shaoxing,1.587952
Yangzhou,1.567140
Tai'an,1.557549
Zhuhai,1.557549
Langfang,1.552364
Dalian,1.548931
Jinhua,1.544937
Zhongwei,1.533408
Huangshan,1.529608
Qinhuangdao,1.529608
Xianyang,1.526040
Shizuishan,1.523794
Taichung,1.523601
Zhenjiang,1.522100
Baoding,1.519095
Haikou,1.518145
Luoyang,1.518145
Hefei,1.506519
Guiyang,1.506313
Jiayuguan,1.506313
Wenzhou,1.501839
Keelung,1.501034
Weinan,1.485808
Linxia,1.485301
Baoji,1.482763
Hsinchu,1.481865
Lhasa,1.479320
Kaohsiung,1.478326
Taizhou,1.477029
Macau,1.472983
Shangqiu,1.471317
Tianshui,1.471317
Xiangtan,1.471317
Yanbian,1.471317
Guilin,1.471317
Fuzhou,1.464593
Tangshan,1.453022
Yilan,1.451101
Taizhou,1.450929
Nanchang,1.448442
Hengyang,1.446360
Liangshanzhou,1.446360
Jinchang,1.445915
Nanning,1.445915
Wuzhong,1.443797
Hualien,1.442080
Yancheng,1.431897
Zhangjiakou,1.431105
Baotou,1.425514
Xishuangbanna,1.425514
Dongguan,1.425514
Zhangye,1.425514
Chengde,1.418968
Lijiang,1.417101
Zhongshan,1.416670
Nantou,1.404329
Kezilsu,1.401316
Mudanjiang,1.401316
Cangzhou,1.401316
Alxa,1.400951
Xuzhou,1.400326
Yan'an,1.400194
Hegang,1.397724
Shangrao,1.395947
Yantai,1.395831
Pingdong,1.385037
Lianyungang,1.384624
Tainan,1.384550
Zhangjiajie,1.381346
Haibei,1.371305
Linyi,1.371305
Ordos,1.371305
Hulunbuir,1.371305
Foshan,1.371305
Yichang,1.371305
Wuhu,1.367486
Xuancheng,1.360177
Jixi,1.356005
Qitaihe,1.356005
Jilin,1.356005
Quanzhou,1.344742
Chiayi,1.340580
Jian,1.336653
Jinzhou,1.331126
Luzhou,1.331126
Mianyang,1.331126
Nanyang,1.331126
Dongying,1.331126
Yibin,1.331126
Yueyang,1.331126
Yuncheng,1.331126
Zhaoqing,1.331126
Diqing,1.331126
Zibo,1.331126
Hanzhong,1.327759
Datong,1.327276
Huai'an,1.326385
Nanping,1.326281
Chizhou,1.325757
Yulin,1.321696
Anyang,1.310892
Zhangzhou,1.310892
Zigong,1.310892
Quzhou,1.308525
Jiujiang,1.308032
Taidong,1.307522
Huludao,1.307400
Ankang,1.306559
Changzhi,1.306301
Weihai,1.304139
Guyuan,1.303702
Lishui,1.302334
Miaoli,1.302155
Bangbu,1.300894
Jinzhong,1.297580
Beihai,1.297546
Leshan,1.296457
Wuhai,1.294966
Huangnan,1.291928
Chuzhou,1.291098
Dezhou,1.290195
Heihe,1.290174
Qiqihar,1.290174
Suihua,1.290174
Daqing,1.290174
Yingtan,1.290081
Changhua,1.285391
Jining,1.280705
Weifang,1.276123
Xinzhou,1.275305
Shangluo,1.273699
Jingdezhen,1.269663
Chifeng,1.269388
Ma'anshan,1.268769
Hinggan,1.267632
Ngari,1.267632
Jieyang,1.267632
Panjin,1.267632
Pingdingshan,1.267632
Jingzhou,1.267632
Rizhao,1.267632
Sanmenxia,1.267632
Dandong,1.267632
Suining,1.267632
Dingxi,1.267632
Haidong,1.267632
Kaifeng,1.267632
Jincheng,1.267632
Wuwei,1.267632
Deyang,1.267632
Meizhou,1.267632
Xiuqian,1.267632
Huizhou,1.267632
Benxi,1.267632
Yunfu,1.267632
Yushuzhou,1.267632
Jiaozuo,1.267632
Zhoukou,1.267632
Zhumadian,1.267632
Zhuzhou,1.267632
Dali,1.263616
Heyuan,1.263014
Handan,1.260998
Anqing,1.259766
Liuzhou,1.257181
Xiangxi,1.256575
Ningde,1.249868
Zaozhuang,1.249868
Longyan,1.247420
Longnan,1.247244
Hengshui,1.246782
Tongchuan,1.236978
Xingtai,1.233012
Xilingol,1.230458
Xinxiang,1.220574
Shantou,1.215888
Lu'an,1.215888
Fushun,1.212308
Yunlin,1.210446
Anshan,1.208701
Xiangyang,1.208134
Tongling,1.207116
Garze,1.196645
Yingkou,1.195995
Ulanqab,1.195049
Pingliang,1.193915
Yichun,1.190297
Kinmen,1.187582
Shaoguan,1.187370
Zhanjiang,1.186944
Binzhou,1.181726
Hezhou,1.181205
Wanning,1.180288
Yangquan,1.179484
Penghu,1.179032
Baoshan,1.176998
Liaocheng,1.176597
Fuyang,1.175549
Huaibei,1.172575
Changde,1.169494
Huainan,1.169494
Xiuzhou,1.166298
Xinyu,1.165205
Ya'an,1.165124
Sanming,1.164653
Putian,1.162409
Xinyang,1.161197
Qionghai,1.160103
Shiyan,1.158330
Jiangmen,1.157731
Guangyuan,1.156561
Nagqu,1.155133
Chaoyang,1.153844
Pingxiang,1.152135
Tongliao,1.150709
Qingyang,1.150410
Baiyin,1.150100
Shuozhou,1.148277
Heze,1.144918
Qiandongnan,1.142592
Linfen,1.142010
Nanchong,1.140721
Qingyuan,1.140393
Puyang,1.137751
Fuzhou,1.135805
Meishan,1.135379
Chaozhou,1.135275
Bayannur,1.134297
Siping,1.132923
