city,distance
Kaohsiung,5.277553
Taipei,4.467571
Chiayi,3.909377
Taichung,3.881094
Pingdong,3.554215
Taoyuan,3.492266
Shanghai,3.421253
Nantou,3.344864
New Taipei,3.059355
Changhua,3.010142
Yunlin,3.010142
Hsinchu,2.880125
Taidong,2.768519
Beijing,2.717402
Miaoli,2.646229
Hualien,2.581569
Hong Kong,2.526977
Yilan,2.338422
Guangzhou,2.237129
Shamen,2.196017
Chengdou,2.094762
Dongguan,2.094762
Keelung,2.094762
Hangzhou,2.028403
Wuhan,2.028403
Chongqing,1.941710
Guilin,1.941710
Kinmen,1.941710
Nanchang,1.941710
Ningbo,1.941710
Qingdao,1.941710
Shenzhen,1.941710
Tianjin,1.941710
Zhengzhou,1.941710
Zhuhai,1.941710
Suzhou,1.937342
Chaozhou,1.809500
Foshan,1.809500
Fuzhou,1.809500
Hefei,1.809500
Jiaxing,1.809500
Jinan,1.809500
Jiujiang,1.809500
Kunming,1.809500
Macau,1.809500
Penghu,1.809500
Tai'an,1.809500
Taizhou,1.809500
Xishuangbanna,1.809500
Yinchuan,1.809500
Zhangzhou,1.809500
Zhongshan,1.809500
Nanjing,1.700820
Wuxi,1.700002
Changzhou,1.649045
Zhoushan,1.574417
Nantong,1.561288
Huzhou,1.528299
Sanya,1.524706
Shaoxing,1.505500
Xi'an,1.494652
Yangzhou,1.486780
Jinhua,1.466782
Zhenjiang,1.446181
Dalian,1.439789
Huangshan,1.433740
Langfang,1.429676
Wenzhou,1.427879
Changsha,1.425518
Shenyang,1.407911
Taizhou,1.405434
Shijiazhuang,1.404145
Baoding,1.401409
Huai'an,1.399790
Qinhuangdao,1.397189
Harbin,1.394108
Yancheng,1.364511
Ningde,1.361037
Taiyuan,1.357130
Changchun,1.352792
Lijiang,1.351068
Tangshan,1.344987
Leshan,1.338333
Ngawa,1.335892
Xuzhou,1.335811
Guiyang,1.333603
Shangrao,1.331826
Yantai,1.331721
Nanning,1.329749
Mianyang,1.329102
Urumqi,1.329053
Quanzhou,1.326614
Zhangjiakou,1.326187
Haikou,1.325264
Lanzhou,1.322950
Lianyungang,1.321515
Shantou,1.320283
Zhangjiajie,1.318529
Changde,1.318489
Chengde,1.315758
Wuhu,1.305896
Xuancheng,1.299228
Luoyang,1.297565
Xiuqian,1.291934
Hohhot,1.291447
Kaifeng,1.270834
Lhasa,1.270160
Nanping,1.268267
Chizhou,1.267788
Liuzhou,1.265797
Mudanjiang,1.265797
Ordos,1.265797
Putian,1.265797
Xiangxi,1.265797
Dali,1.265797
Jiangmen,1.264787
Huizhou,1.264056
Jieyang,1.263681
Cangzhou,1.259837
Longyan,1.258065
Jiaozuo,1.256167
Jinzhong,1.256167
Yanbian,1.256167
Beihai,1.256167
Deyang,1.253971
Quzhou,1.252021
Weihai,1.248005
Lishui,1.246352
Jining,1.245803
Bangbu,1.245033
Xining,1.242091
Qingyuan,1.236680
Datong,1.236548
Yichang,1.236190
Chuzhou,1.236057
Yingtan,1.235125
Pu'er,1.233276
Hezhou,1.232040
Jilin,1.231997
Weifang,1.230776
Xianning,1.224584
Zhongwei,1.224282
Zhaoqing,1.224278
Dongying,1.221134
Yan'an,1.221134
Huludao,1.219278
Shizuishan,1.218145
Ma'anshan,1.217379
Jingdezhen,1.216397
Xinxiang,1.215309
Jian,1.214583
Baotou,1.213996
Shaoguan,1.209981
Hulunbuir,1.207648
Anqing,1.207310
Garze,1.206005
Dezhou,1.204301
Diqing,1.204193
Linyi,1.204006
Sansha,1.199320
Ya'an,1.198835
Zaozhuang,1.198217
Jingzhou,1.195163
Yichun,1.192665
Xinzhou,1.191318
Huanggang,1.189972
Rizhao,1.188762
Xiangyang,1.188073
Chifeng,1.186152
Xiaogan,1.184148
Huangshi,1.182747
Weicu,1.180914
Jiuquan,1.179658
Handan,1.178823
Zibo,1.177574
Laiwu,1.177453
Zhuzhou,1.177414
Benxi,1.174681
Liangshanzhou,1.174681
Jinzhou,1.173275
Nanchong,1.173016
Meishan,1.167367
Lu'an,1.166952
Wuzhong,1.166478
Hengshui,1.166391
Baoji,1.161347
Yangjiang,1.160653
Tongling,1.158870
