city,distance
New Taipei,5.479880
Shanghai,4.601118
Taoyuan,4.341573
Beijing,3.332264
Taichung,3.268048
Keelung,3.165954
Hsinchu,3.081868
Kaohsiung,3.066598
Hong Kong,2.966608
Yilan,2.951723
Hualien,2.914637
Nantou,2.764439
Pingdong,2.690662
Tainan,2.688826
Guangzhou,2.586916
Chiayi,2.527810
Taidong,2.412786
Miaoli,2.394575
Shenzhen,2.386029
Changhua,2.338489
Hangzhou,2.308253
Suzhou,2.295467
Nanjing,2.256696
Tianjin,2.231823
Chengdou,2.160636
Shamen,2.154239
Yunlin,2.101744
Shijiazhuang,2.047746
Hefei,2.043158
Huai'an,2.038496
Kinmen,2.033757
Penghu,2.008811
Qingdao,2.008811
Fuzhou,1.992707
Xi'an,1.992707
Wuhan,1.987123
Jiaxing,1.983669
Dalian,1.975601
Macau,1.975601
Changsha,1.975601
Chongqing,1.969650
Harbin,1.963564
Ningde,1.957335
Wuxi,1.948244
Kunming,1.916471
Nanning,1.893270
Dongguan,1.885025
Chaozhou,1.885025
Changzhou,1.881611
Ningbo,1.880491
Shenyang,1.838898
Yangzhou,1.838898
Sanya,1.817528
Wenzhou,1.817528
Wuhu,1.817528
Xiuqian,1.817528
Zhengzhou,1.806027
Zhuhai,1.806027
Zhoushan,1.785066
Nantong,1.768207
Jinhua,1.752729
Lanzhou,1.752729
Nanchang,1.736977
Quanzhou,1.736977
Huzhou,1.726012
Changchun,1.719890
Huangshan,1.719890
Jinan,1.719890
Kaifeng,1.719890
Zhenjiang,1.719890
Hezhou,1.701182
Huizhou,1.701182
Taiyuan,1.701182
Shaoxing,1.696989
Guilin,1.680458
Dongying,1.680458
Datong,1.680458
Yan'an,1.680458
Haikou,1.657154
Baoding,1.657154
Shantou,1.630413
Foshan,1.630413
Guiyang,1.598835
Laiwu,1.598835
Baotou,1.598835
Taizhou,1.598835
Zhongshan,1.598835
Zibo,1.598835
Langfang,1.583388
Chuzhou,1.559885
Mianyang,1.559885
Chizhou,1.559885
Neijiang,1.559885
Qinzhou,1.559885
Taizhou,1.559885
Daqing,1.559885
Xining,1.559885
Xuzhou,1.559885
Yichang,1.559885
Zhangzhou,1.559885
Deyang,1.559885
Qinhuangdao,1.543637
Yancheng,1.519962
Hohhot,1.508104
Jiangmen,1.508104
Chifeng,1.508104
Dali,1.508104
