city,distance
Shanghai,6.115162
Wuxi,3.995463
Yangzhou,3.811785
Nanjing,3.779115
Suzhou,3.681566
Nantong,3.228078
Yancheng,3.114264
Beijing,2.943906
Zhenjiang,2.943906
Changzhou,2.862366
Huai'an,2.658042
Hangzhou,2.531229
Xuzhou,2.412113
Hong Kong,2.258373
Jiaxing,2.245566
Xiuqian,2.218499
Ningbo,2.189174
Lianyungang,2.173514
Hefei,2.157088
Tianjin,2.157088
Shamen,2.140031
Qingdao,2.121536
Linyi,2.102157
Rizhao,2.081489
Chengdou,2.059311
Shaoxing,2.059311
Huzhou,2.035337
Wuhan,2.035337
Dezhou,2.009189
Shenzhen,2.009189
Guangzhou,2.008740
Huangshan,1.980346
Jinan,1.980346
Zaozhuang,1.980346
Zhoushan,1.974751
Jinhua,1.948063
Xi'an,1.948063
Kunming,1.911212
Sanya,1.897167
Chuzhou,1.867965
Taipei,1.867965
Yantai,1.867965
Changsha,1.867965
Chongqing,1.822790
Nanchang,1.815016
Nanning,1.815016
Shijiazhuang,1.815016
Wuhu,1.815016
Bangbu,1.815016
Zhengzhou,1.815016
Dalian,1.767461
Wenzhou,1.749546
Datong,1.745290
Dongying,1.745290
Guilin,1.745290
Guiyang,1.745290
Jining,1.745290
Lijiang,1.745290
Chizhou,1.745290
Shenyang,1.745290
Changchun,1.745290
Tai'an,1.745290
Taizhou,1.745290
Taoyuan,1.745290
Weihai,1.745290
Yichang,1.745290
Macau,1.710510
Fuzhou,1.699206
Harbin,1.699114
Haikou,1.637735
Heze,1.637735
Baoding,1.637735
Honghe,1.637735
Huainan,1.637735
Huangshi,1.637735
Jian,1.637735
Jinzhong,1.637735
Jiujiang,1.637735
Kaohsiung,1.637735
Laiwu,1.637735
Dehong,1.637735
Lishui,1.637735
Lu'an,1.637735
Luoyang,1.637735
Ma'anshan,1.637735
Deyang,1.637735
Ningde,1.637735
Puyang,1.637735
Qinhuangdao,1.637735
Quanzhou,1.637735
Sanmenxia,1.637735
Binzhou,1.637735
Taiyuan,1.637735
Tianshui,1.637735
Dandong,1.637735
Xingtai,1.637735
Xining,1.637735
Xuancheng,1.637735
Daqing,1.637735
Yichun,1.637735
Zhangjiakou,1.637735
Dali,1.637735
Zhuhai,1.616900
Shangrao,1.607495
Urumqi,1.603457
Lanzhou,1.594582
Zhangjiajie,1.588163
Hohhot,1.518779
Lhasa,1.518511
Nanping,1.515807
Ngawa,1.508822
Dongguan,1.508392
Yinchuan,1.493930
Quzhou,1.492658
Langfang,1.489990
Beihai,1.478389
Yingtan,1.468705
Jingdezhen,1.442299
Foshan,1.435712
Anqing,1.429542
Liuzhou,1.426214
Xiangxi,1.425434
Diqing,1.425173
Mianyang,1.415409
New Taipei,1.406362
Weifang,1.404227
Baotou,1.400481
Jieyang,1.399526
Tangshan,1.398235
Jiuquan,1.390935
Zibo,1.387817
Yanbian,1.387466
Taichung,1.377576
Shantou,1.373305
Zhongshan,1.369285
Zhuzhou,1.368465
Chengde,1.366673
Kaifeng,1.365548
Baoji,1.365548
Xiangyang,1.363420
Tongling,1.362125
Hulunbuir,1.359934
Ganzhou,1.359491
Ordos,1.356797
Jinzhou,1.355426
Longyan,1.349776
Leshan,1.348807
Garze,1.348807
Jilin,1.346348
Yichun,1.340747
Nantou,1.338640
Pingdong,1.337034
Shaoguan,1.337034
Zhanjiang,1.336494
Xiuzhou,1.336102
Zhangzhou,1.332075
Hezhou,1.329222
Wanning,1.328061
Panjin,1.325701
Suihua,1.325103
Haixi,1.324502
Baoshan,1.323897
Fuyang,1.322064
Xishuangbanna,1.322064
Huizhou,1.320200
Cangzhou,1.319420
Huaibei,1.318304
Xinzhou,1.317665
Changde,1.314411
Shangqiu,1.313706
Xianyang,1.311737
Hualien,1.310374
Handan,1.308995
Xinyu,1.308995
Sanming,1.308298
Putian,1.305467
Qionghai,1.302559
Shiyan,1.300326
Tainan,1.299571
Jiangmen,1.299571
Anshan,1.294924
Liaocheng,1.294924
Jiaozuo,1.294924
Pingxiang,1.292523
Mudanjiang,1.288394
Yuncheng,1.288394
Yunlin,1.285836
Qiandongnan,1.280525
Qingyuan,1.277763
Chiayi,1.273962
Xinxiang,1.272989
Fuzhou,1.272007
Changzhi,1.269002
Yibin,1.269002
Xiangtan,1.267980
Hengyang,1.267980
Weinan,1.264852
Tongling,1.263218
Huludao,1.262875
Huanggang,1.262711
Qiqihar,1.259411
Alty,1.257149
Bozhou,1.255999
Weicu,1.254835
Xinyang,1.253657
Nyingchi,1.253538
Anshun,1.252465
Nanyang,1.251258
Jingzhou,1.251258
Jiayuguan,1.250036
Yilan,1.247546
Chifeng,1.243687
Yueyang,1.243687
Baishan,1.242366
Anyang,1.239669
Hsinchu,1.239669
Chongzuo,1.238292
Zhaoqing,1.236894
Luzhou,1.232575
Sansha,1.231091
Yingkou,1.231091
Penghu,1.231091
Ya'an,1.229583
Kashgar,1.228051
Xianning,1.227108
Ili(Yili),1.226493
Keelung,1.226493
Shuozhou,1.224910
Yan'an,1.224910
Zunyi,1.224910
Chaozhou,1.223299
Fushun,1.223299
Huaihua,1.216562
Taidong,1.213001
Turpan,1.213001
Nagqu,1.209297
Kinmen,1.207387
Hengshui,1.206227
Linfen,1.205436
Benxi,1.205436
Liangshanzhou,1.203442
Tongliao,1.201403
Nanchong,1.201403
Meizhou,1.201403
Bayingolin,1.199317
Keramay,1.199317
Chenzhou,1.199317
Qiannan,1.197182
Shaoyang,1.194994
Ezhou,1.194994
Jiamusi,1.194994
Zhongwei,1.192751
Shannan,1.192751
Xilingol,1.190941
Loudi,1.190450
Enshi,1.190450
Haibei,1.188087
Zhangye,1.188087
Xiaogan,1.186508
Ulanqab,1.184058
Jingmen,1.183162
Fangchenggang,1.175209
Gannan,1.175209
Qinzhou,1.175209
Yulin,1.175209
Liaoyang,1.175209
Yuxi,1.173325
Daxinganling,1.172386
Zhoukou,1.172386
Tieling,1.169467
Meishan,1.169467
Xuchang,1.166444
Heyuan,1.166444
Baise,1.163309
Dazhou,1.163309
Pingdingshan,1.163309
Zhumadian,1.163309
Guang'an,1.163224
Qujing,1.160052
Bayannur,1.160052
Jincheng,1.156664
Yangjiang,1.153131
Ankang,1.153131
Pu'er,1.153131
Zigong,1.153131
Lingshui,1.149440
Miaoli,1.149440
Chaoyang,1.149440
Yongzhou,1.149440
Wuzhou,1.145575
Suizhou,1.145575
Yangquan,1.143125
Neijiang,1.142629
Fuxin,1.142199
Hanzhong,1.141517
Shizuishan,1.141517
Luohe,1.141517
Wuwei,1.141009
Hechi,1.137245
Suining,1.137245
Heihe,1.132732
Baoting,1.132732
Siping,1.127946
Ziyang,1.123379
Dingxi,1.123180
Hinggan,1.122851
Changji,1.122851
Jiyuan,1.122851
Jixi,1.122851
Lincang,1.117399
Hotan,1.117399
Songyuan,1.117399
Wenchang,1.117399
Liaoyuan,1.117399
Guigang,1.114912
Alxa,1.111532
Yulin,1.111532
Hebi,1.111532
Bortala,1.111532
Changhua,1.111532
Lvliang,1.111532
Haidong,1.111532
Aksu,1.111532
Wenshan,1.107657
Qianxinan,1.105176
Baiyin,1.105176
Wuhai,1.105176
Jinchang,1.105176
Guangyuan,1.102294
Shangluo,1.098334
Panzhihua,1.098234
Danzhou,1.098234
Tongren,1.090576
Shuangyashan,1.090576
Kumul(Hami),1.090576
Baicheng,1.090576
Shanwei,1.090576
Bijie,1.082022
Maoming,1.082022
Hegang,1.082022
Tonghua,1.082022
Laibin,1.081475
Pingliang,1.072312
Golog,1.072312
Tongchuan,1.070920
Zhaotong,1.061051
Liupanshui,1.061051
Yunfu,1.060697
Ngari,1.047586
Qitaihe,1.047586
Bazhong,1.047586
Dongfang,1.047586
Linxia,1.047586
Longnan,1.040322
Qingyang,1.036498
Huangnan,1.032838
Guyuan,1.030723
Dingan,1.030723
Ledong,1.027025
Wuzhong,1.026675
Wuzhishan,1.023484
Chengmai,1.011071
Qamdo,1.010642
Yushuzhou,1.007857
Nujiang,1.007857
Tacheng,0.986319
Kezilsu,0.986131
Changjiang,0.971031
Qiongzhong,0.886956
