city,distance
Beijing,6.096671
Tianjin,4.321130
Qinhuangdao,4.247190
Shanghai,3.476323
Langfang,3.135369
Shijiazhuang,2.990123
Shenyang,2.732640
Huludao,2.712348
Chengde,2.571651
Shamen,2.553367
Baoding,2.483284
Changchun,2.472355
Harbin,2.437881
Jinzhou,2.425765
Dalian,2.373550
Zhangjiakou,2.344754
Jinan,2.313724
Wuhan,2.261925
Chongqing,2.222865
Hangzhou,2.222865
Hong Kong,2.222865
Nanjing,2.222865
Taiyuan,2.201600
Cangzhou,2.178940
Guangzhou,2.178940
Panjin,2.178940
Dezhou,2.154649
Xi'an,2.154649
Zhengzhou,2.128418
Hohhot,2.099841
Qingdao,2.099841
Suzhou,2.099841
Xuzhou,2.099841
Bangbu,2.068357
Wuxi,2.068357
Dandong,2.033166
Hengshui,2.033166
Yingkou,2.033166
Chengdou,2.016385
Daqing,1.993058
Shenzhen,1.993058
Siping,1.993058
Sanya,1.946073
Anshan,1.946073
Tai'an,1.946073
Tonghua,1.946073
Weihai,1.946073
Baotou,1.946073
Zibo,1.946073
Dongying,1.888672
Nanchang,1.888672
Binzhou,1.888672
Qiqihar,1.888672
Tieling,1.888672
Changsha,1.888672
Xingtai,1.888672
Xinzhou,1.888672
Yantai,1.888672
Hulunbuir,1.813289
Jilin,1.813289
Jining,1.813289
Jinzhong,1.813289
Baishan,1.813289
Kunming,1.813289
Liaoyuan,1.813289
Ningbo,1.813289
Changzhi,1.813289
Sanmenxia,1.813289
Chifeng,1.813289
Weifang,1.813289
Wenzhou,1.813289
Daxinganling,1.813289
Yan'an,1.813289
Yancheng,1.813289
Taipei,1.773053
Jiaxing,1.740831
Hefei,1.730552
Urumqi,1.700038
Guilin,1.697468
Bayingolin,1.697468
Changzhou,1.697468
Hezhou,1.697468
Huaihua,1.697468
Hualien,1.697468
Huzhou,1.697468
Jiamusi,1.697468
Diqing,1.697468
Jiujiang,1.697468
Jixi,1.697468
Kaifeng,1.697468
Lanzhou,1.697468
Lhasa,1.697468
Liaoyang,1.697468
