city,distance
Taipei,5.825710
Shanghai,4.358056
New Taipei,3.949278
Hong Kong,3.717905
Beijing,3.487864
Hsinchu,3.253792
Taichung,3.164869
Kaohsiung,2.902689
Nantou,2.776810
Chiayi,2.664235
Tainan,2.661395
Hualien,2.632127
Keelung,2.550795
Miaoli,2.547250
Guangzhou,2.529126
Shenzhen,2.465953
Yilan,2.461701
Pingdong,2.421478
Macau,2.371882
Hangzhou,2.303140
Taidong,2.303140
Shamen,2.263585
Changhua,2.234653
Suzhou,2.227042
Nanjing,2.211311
Dongguan,2.203173
Yunlin,2.203173
Chengdou,2.186297
Tianjin,2.119459
Wuxi,2.119459
Wuhan,2.085915
Chongqing,2.073870
Ningbo,2.048221
Fuzhou,2.020108
Zhengzhou,2.020108
Xi'an,1.971854
Jiaxing,1.937091
Qingdao,1.934107
Shenyang,1.934107
Changsha,1.934107
Dalian,1.912945
Nanchang,1.912945
Changzhou,1.864290
Zhongshan,1.864290
Zhuhai,1.835652
Jinan,1.802896
Kunming,1.802896
Penghu,1.802896
Xuzhou,1.802896
Guilin,1.764362
Haikou,1.764362
Hefei,1.764362
Huizhou,1.764362
Liuzhou,1.764362
Quanzhou,1.764362
Sanya,1.764362
Chaozhou,1.764362
Wenzhou,1.764362
Changchun,1.764362
Zhoushan,1.747259
Nantong,1.731104
Guiyang,1.717049
Shijiazhuang,1.717049
Huzhou,1.690640
Shaoxing,1.662785
Foshan,1.654517
Kinmen,1.654517
Lijiang,1.654517
Linyi,1.654517
Taiyuan,1.654517
Taizhou,1.654517
Urumqi,1.654517
Weihai,1.654517
Wuhu,1.654517
Xining,1.654517
Yangzhou,1.654517
Yantai,1.654517
Zhaoqing,1.654517
Langfang,1.617680
Jinhua,1.615680
Zhenjiang,1.590720
Baoding,1.581585
Qinhuangdao,1.576211
Huangshan,1.575681
Harbin,1.557549
Hohhot,1.557549
Ankang,1.557549
Jiangmen,1.557549
Jiuquan,1.557549
Anqing,1.557549
Lanzhou,1.557549
Lishui,1.557549
Luoyang,1.557549
Mianyang,1.557549
Nanning,1.557549
Ngawa,1.557549
Pingdingshan,1.557549
Putian,1.557549
Datong,1.557549
Rizhao,1.557549
Shantou,1.557549
Shiyan,1.557549
Taizhou,1.557549
Xiuqian,1.557549
Xuancheng,1.557549
Yancheng,1.557549
Yiyang,1.557549
