city,distance
Beijing,6.496207
Shanghai,4.261653
Langfang,2.837021
Tangshan,2.835223
Jinan,2.819419
Qinhuangdao,2.785246
Qingdao,2.696164
Cangzhou,2.660912
Guangzhou,2.660102
Hangzhou,2.645313
Chengdou,2.581602
Shijiazhuang,2.551503
Nanjing,2.539338
Shenyang,2.528961
Dalian,2.509695
Shenzhen,2.486171
Xi'an,2.473353
Hong Kong,2.455268
Suzhou,2.442791
Baoding,2.435133
Zhengzhou,2.404456
Shamen,2.397486
Dezhou,2.375853
Wuhan,2.345119
Chongqing,2.335423
Harbin,2.315287
Taiyuan,2.313561
Yantai,2.299470
Kunming,2.279205
Tai'an,2.241374
Changsha,2.239270
Sanya,2.237154
Hefei,2.226380
Changchun,2.217519
Chengde,2.210724
Taipei,2.184603
Wuxi,2.166873
Zhangjiakou,2.103952
Xuzhou,2.094318
Ningbo,2.091039
Xinzhou,2.091039
Hohhot,2.077559
Chifeng,2.063450
Changzhou,2.048639
Zibo,2.048639
Jiaxing,2.040944
Hengshui,2.033040
Binzhou,2.029005
Huludao,2.029005
Urumqi,2.029005
Kaohsiung,2.024912
Jinzhong,2.012269
Lanzhou,2.007925
Weifang,2.007925
Jinzhou,1.994473
Zaozhuang,1.994473
Jining,1.985127
Weihai,1.970476
Haikou,1.960245
Lijiang,1.954978
Handan,1.949603
Guilin,1.938511
Xiangyang,1.938511
Fuzhou,1.920921
Foshan,1.908479
Datong,1.908479
Linyi,1.908479
Nanchang,1.908479
Baotou,1.902017
Guiyang,1.888563
Yangzhou,1.888563
Luoyang,1.874323
Zhenjiang,1.874323
Jilin,1.866872
Dongying,1.866872
Kaifeng,1.866872
Anshan,1.866872
Rizhao,1.866872
Nantong,1.851229
Taoyuan,1.851229
Xingtai,1.851229
Nanning,1.842995
Hulunbuir,1.834457
Ordos,1.834457
Panjin,1.834457
Wenzhou,1.834457
Jiaozuo,1.825587
Bangbu,1.825587
Zhangjiajie,1.825587
Zhuhai,1.825587
Lhasa,1.816354
Yinchuan,1.816354
Anyang,1.806722
Huai'an,1.796649
Dandong,1.796649
Huangshan,1.786088
Xinxiang,1.786088
Yingkou,1.786088
Keramay,1.774981
Macau,1.774981
Dongguan,1.774981
Qiqihar,1.774981
Taizhou,1.774981
Jinhua,1.763259
Shaoxing,1.763259
Xinyang,1.763259
Xiuqian,1.763259
Chuzhou,1.750839
Jiujiang,1.750839
Heze,1.750839
Fushun,1.750839
Huzhou,1.737619
Liaocheng,1.737619
Tongliao,1.737619
Xilingol,1.737619
Zhoushan,1.731555
Mudanjiang,1.723473
Yancheng,1.723473
Yulin,1.723473
New Taipei,1.708240
Shangqiu,1.708240
Xianyang,1.708240
Fuyang,1.708240
Baoji,1.691711
Ngawa,1.691711
Siping,1.691711
Changzhi,1.691711
Taizhou,1.691711
Tieling,1.691711
Ulanqab,1.691711
Benxi,1.691711
Xining,1.691711
Yan'an,1.691711
Liaoyang,1.673608
Nanyang,1.673608
Puyang,1.673608
Ganzhou,1.673608
Beihai,1.673608
Dali,1.673608
Daqing,1.673608
Wuhu,1.673608
Yueyang,1.673608
Laiwu,1.653547
Liuzhou,1.653547
Quanzhou,1.653547
Shangrao,1.653547
Shiyan,1.653547
Wuhai,1.653547
Diqing,1.653547
Xishuangbanna,1.653547
Yangquan,1.653547
Deyang,1.653547
Lianyungang,1.630979
Lishui,1.630979
Lu'an,1.630979
Nanping,1.630979
Jiamusi,1.630979
Baoshan,1.630979
Jian,1.630979
Xiangxi,1.630979
Xiuzhou,1.630979
Yanbian,1.630979
Yichang,1.630979
Yuncheng,1.630979
Zhongshan,1.630979
Nantou,1.605068
Taichung,1.605068
Tonghua,1.605068
Hualien,1.605068
Chaoyang,1.605068
Huanggang,1.605068
Enshi,1.574455
Fuxin,1.574455
Lvliang,1.574455
Mianyang,1.574455
Baicheng,1.574455
Jingzhou,1.574455
Tongchuan,1.574455
Wanning,1.574455
Weinan,1.574455
Xianning,1.574455
Leshan,1.574455
Xuancheng,1.574455
Hegang,1.574455
Yunfu,1.574455
Linfen,1.574455
Zhangzhou,1.574455
Zhumadian,1.574455
Nagqu,1.536670
Huizhou,1.536670
Pu'er,1.536670
Qionghai,1.536670
Songyuan,1.536670
Hsinchu,1.536670
Jiayuguan,1.536670
Loudi,1.536670
Changji,1.536670
Chaozhou,1.536670
Yichun,1.536670
Yingtan,1.536670
Ma'anshan,1.536670
Huaihua,1.536670
Changde,1.486394
Hengyang,1.486394
Pingdong,1.486394
Putian,1.486394
Quzhou,1.486394
Sanming,1.486394
Jiyuan,1.486394
Hinggan,1.486394
Shizuishan,1.486394
Shuozhou,1.486394
Suihua,1.486394
Liaoyuan,1.486394
Tainan,1.486394
Jiangmen,1.486394
Ankang,1.486394
Chizhou,1.486394
Longyan,1.486394
Tongren,1.486394
Turpan,1.486394
Nanchong,1.486394
Haidong,1.486394
Weicu,1.486394
Dehong,1.486394
Xiangtan,1.486394
Jiuquan,1.486394
Xinyu,1.486394
Baishan,1.486394
Xuchang,1.486394
Anqing,1.486394
Bozhou,1.486394
Yibin,1.486394
Yiyang,1.486394
Jincheng,1.486394
Daxinganling,1.486394
Zhangye,1.486394
Huaibei,1.486394
Zhongwei,1.486394
Zhuzhou,1.486394
Chenzhou,1.486394
Ziyang,1.486394
Honghe,1.407662
Shantou,1.407662
Shanwei,1.407662
Shaoguan,1.407662
Baiyin,1.407662
Gannan,1.407662
Shuangyashan,1.407662
Suizhou,1.407662
Bayannur,1.407662
Pingdingshan,1.407662
Taidong,1.407662
Pingliang,1.407662
Bortala,1.407662
Haibei,1.407662
Pingxiang,1.407662
Tianshui,1.407662
Tongling,1.407662
Jingdezhen,1.407662
Hezhou,1.407662
Qiannan,1.407662
Qianxinan,1.407662
Dazhou,1.407662
Anshun,1.407662
Hanzhong,1.407662
Ili(Yili),1.407662
Hebi,1.407662
Chiayi,1.407662
Baoting,1.407662
Qingyang,1.407662
Ledong,1.407662
Kashgar,1.407662
Xiaogan,1.407662
Lincang,1.407662
Guangyuan,1.407662
Luzhou,1.407662
Laibin,1.407662
Ya'an,1.407662
Yangjiang,1.407662
Heihe,1.407662
Heyuan,1.407662
Liangshanzhou,1.407662
Yichun,1.407662
Jinchang,1.407662
Jixi,1.407662
Kinmen,1.407662
Qujing,1.407662
Yuxi,1.407662
Zhanjiang,1.407662
Zhaoqing,1.407662
Meishan,1.407662
Changhua,1.407662
Zunyi,1.407662
Meizhou,1.388609
Jieyang,1.372203
Luohe,1.365638
Qiandongnan,1.356885
Garze,1.356885
Sanmenxia,1.337120
Ningde,1.330457
Yongzhou,1.310457
Nyingchi,1.310457
Huainan,1.301901
Alty,1.296743
Keelung,1.292642
Alxa,1.292603
Huangshi,1.292603
Neijiang,1.287114
Bayingolin,1.282405
Suining,1.271434
Kumul(Hami),1.271093
Zhoukou,1.258363
Yilan,1.255439
Zigong,1.253884
Qinzhou,1.248874
Shangluo,1.247740
Haixi,1.243762
Wuzhong,1.238365
Shannan,1.237765
Guang'an,1.237537
Ezhou,1.230554
Chongzuo,1.226565
Wenchang,1.226565
Jingmen,1.224009
Bijie,1.220063
Lingshui,1.217427
Panzhihua,1.213072
Qamdo,1.213072
Shaoyang,1.197250
Wuzhou,1.197250
Fuzhou,1.197250
Guigang,1.197250
Maoming,1.189383
Baise,1.188155
Huangnan,1.188155
Wuwei,1.183944
Yunlin,1.178097
Hotan,1.178008
Miaoli,1.178008
Fangchenggang,1.178008
Dingxi,1.174897
Linxia,1.172829
Bazhong,1.166509
Qitaihe,1.166509
Aksu,1.163935
Danzhou,1.153962
Wenshan,1.153887
Hechi,1.153195
Longnan,1.153195
Yulin,1.146308
Zhaotong,1.137307
Penghu,1.137307
Yulin,1.137307
Guyuan,1.137307
Tacheng,1.132412
Sansha,1.131977
Chengmai,1.125377
Dongfang,1.117459
Yushuzhou,1.117459
Golog,1.117459
Wuzhishan,1.114889
Dingan,1.113816
Liupanshui,1.098060
Ngari,1.093538
Nujiang,1.090633
Kezilsu,1.050742
Changjiang,1.037508
Qiongzhong,0.973717
