city,distance
Shenyang,5.940635
Changchun,3.937871
Beijing,3.900803
Siping,3.769645
Harbin,3.301357
Shanghai,3.235639
Dalian,3.113599
Jilin,2.866127
Fushun,2.787064
Tianjin,2.743332
Jinzhou,2.696041
Panjin,2.696041
Huludao,2.644361
Anshan,2.644361
Xi'an,2.587111
Benxi,2.522518
Chaoyang,2.522518
Qinhuangdao,2.522518
Yingkou,2.522518
Fuxin,2.357599
Guangzhou,2.357599
Tangshan,2.357599
Yichun,2.357599
Yinchuan,2.357599
Chengde,2.241289
Chifeng,2.241289
Chongqing,2.241289
Daqing,2.241289
Hulunbuir,2.241289
Jining,2.241289
Liaoyang,2.241289
Liaoyuan,2.241289
Qingdao,2.241289
Qiqihar,2.241289
Zhengzhou,2.241289
Chengdou,2.066968
Dandong,2.066968
Daxinganling,2.066968
Hangzhou,2.066968
Cangzhou,2.066968
Huzhou,2.066968
Jiamusi,2.066968
Lvliang,2.066968
Nanjing,2.066968
Baoding,2.066968
Shijiazhuang,2.066968
Songyuan,2.066968
Suihua,2.066968
Suzhou,2.066968
Tai'an,2.066968
Tongliao,2.066968
Wuhan,2.066968
Xiangtan,2.066968
Yanbian,2.066968
Yantai,2.066968
Jinan,1.722012
Shenzhen,1.712860
Hong Kong,1.712443
Langfang,1.701206
Shamen,1.699280
Jiaxing,1.678314
Mudanjiang,1.660012
Wuxi,1.652887
Baishan,1.649767
Hohhot,1.643528
Taiyuan,1.632320
Tonghua,1.630690
Changzhou,1.604675
Ningbo,1.603861
Changsha,1.574352
Zhangjiakou,1.556662
Sanya,1.547806
Zhuhai,1.542913
Zhoushan,1.533924
Kunming,1.533435
Xianyang,1.529410
Quanzhou,1.527230
Taipei,1.523618
Nantong,1.521459
Urumqi,1.515797
Xuzhou,1.509736
Yichang,1.509736
Hefei,1.503415
Haikou,1.498212
Lanzhou,1.496810
Weifang,1.496810
Ma'anshan,1.495138
Foshan,1.494318
Dongguan,1.489890
Weinan,1.489002
Baoji,1.485944
Heihe,1.485512
Nanchang,1.474986
Xuchang,1.472349
Datong,1.468581
Shaoxing,1.468432
Wenzhou,1.458250
Guiyang,1.456841
Zhongwei,1.452798
Yangzhou,1.450617
Fuzhou,1.450044
Guilin,1.445497
Shizuishan,1.444165
Shuangyashan,1.432377
Lijiang,1.432360
Jinhua,1.431573
Taoyuan,1.428579
Baicheng,1.428185
Xilingol,1.425830
Luoyang,1.424834
Nanning,1.422545
Changde,1.417000
Ordos,1.417000
Zhenjiang,1.411943
Jixi,1.406035
Baotou,1.404327
Lianyungang,1.404277
Liuzhou,1.404277
Dezhou,1.404277
Yiyang,1.404277
Yan'an,1.403031
Lhasa,1.400540
Hinggan,1.400137
Huangshan,1.400082
Jinzhong,1.399962
Xining,1.395840
Kaifeng,1.392667
Sanming,1.390126
Garze,1.390126
Zaozhuang,1.387911
Weihai,1.383247
Qingyuan,1.374141
Xinzhou,1.374069
Taizhou,1.373076
Wuzhong,1.372113
Ngawa,1.369947
Macau,1.369580
Handan,1.357474
Qitaihe,1.357341
Zibo,1.355818
Heze,1.355702
Hegang,1.352349
Taizhou,1.350493
Sanmenxia,1.346402
Hengshui,1.341014
Jiujiang,1.336831
Yancheng,1.333990
Lishui,1.333798
Mianyang,1.333798
Nanping,1.333798
New Taipei,1.333798
Xingtai,1.333798
