city,distance
Shanghai,4.293776
Hefei,4.280201
Fuyang,4.238869
Beijing,3.793007
Nanjing,3.591883
Shangqiu,3.547243
Suzhou,3.452114
Huaibei,3.129520
Bangbu,3.055242
Hangzhou,3.015213
Xuzhou,2.927836
Huainan,2.879613
Xiuzhou,2.879613
Nanchang,2.827551
Zhengzhou,2.827551
Heze,2.770759
Luohe,2.770759
Tongling,2.707970
Zhoukou,2.707970
Kaifeng,2.637284
Wuxi,2.637284
Huzhou,2.555638
Chuzhou,2.457552
Guangzhou,2.457552
Lu'an,2.457552
Shenzhen,2.457552
Zhumadian,2.457552
Changsha,2.331435
Huanggang,2.331435
Jinan,2.331435
Jinhua,2.331435
Jining,2.331435
Jiujiang,2.331435
Langfang,2.331435
Liaocheng,2.331435
Pingdingshan,2.331435
Qingdao,2.331435
Tianjin,2.331435
Wuhu,2.331435
Xi'an,2.331435
Xuancheng,2.331435
Dongguan,2.143397
Hong Kong,2.143397
Huai'an,2.143397
Huangshan,2.143397
Jian,2.143397
Jiaozuo,2.143397
Jiaxing,2.143397
Kunming,2.143397
Mianyang,2.143397
Anqing,2.143397
Ningbo,2.143397
Shenyang,2.143397
Shijiazhuang,2.143397
Tai'an,2.143397
Taizhou,2.143397
Wenzhou,2.143397
Xilingol,2.143397
Xinyang,2.143397
Xiuqian,2.143397
Yangzhou,2.143397
Yingtan,2.143397
Zaozhuang,2.143397
Zhenjiang,2.143397
Zhuhai,2.143397
Wuhan,1.866572
Shamen,1.863411
Changzhou,1.828099
Lanzhou,1.819353
Chizhou,1.775502
Zhoushan,1.736834
Chengdou,1.723240
Nantong,1.720870
Luoyang,1.689718
Sanya,1.676533
Shaoxing,1.653342
Baoding,1.641465
Qinhuangdao,1.635678
Taipei,1.623836
Chongqing,1.618184
Xuchang,1.583538
Dalian,1.581663
Taiyuan,1.581044
Ganzhou,1.579369
Tangshan,1.564588
Harbin,1.559708
Shangrao,1.545798
Zhangjiakou,1.539205
Anyang,1.535408
Foshan,1.533860
Taizhou,1.533439
Macau,1.529080
Lianyungang,1.526309
Weinan,1.526309
Chengde,1.525175
Lanzhou,1.523098
Fuzhou,1.520040
Changchun,1.518284
Ma'anshan,1.516878
Guilin,1.516713
Xinxiang,1.511741
Puyang,1.506094
Hohhot,1.492605
Nanping,1.490773
Yancheng,1.484851
Yichun,1.476862
Lijiang,1.468947
Yantai,1.458766
Sanmenxia,1.457767
Guiyang,1.457582
Taoyuan,1.456397
Urumqi,1.453824
Hengshui,1.443409
Nanyang,1.439631
Haikou,1.438495
Chifeng,1.437204
Xianyang,1.436295
Dezhou,1.433570
Nanning,1.432848
Zhangjiajie,1.430563
Jingdezhen,1.420608
Datong,1.419753
Fuzhou,1.416296
Weifang,1.409051
Yinchuan,1.408900
Baoji,1.397894
Huludao,1.397034
Ezhou,1.393721
Quanzhou,1.391341
Zhongshan,1.391081
Baotou,1.390104
Rizhao,1.389224
Lhasa,1.386393
Xinyu,1.385880
Jinzhong,1.385827
Dali,1.385333
Deyang,1.384946
Zhuzhou,1.384307
Xining,1.381961
Hulunbuir,1.381788
Xiangtan,1.381771
Linyi,1.380387
Weihai,1.369446
Huizhou,1.369051
Shaoguan,1.369051
Shaoyang,1.369051
Heyuan,1.369051
Diqing,1.369051
Yiyang,1.369051
Zibo,1.369051
Zunyi,1.369051
Pingxiang,1.367849
Ngawa,1.365866
Xiangxi,1.364739
Xinzhou,1.360450
Hebi,1.357751
Xingtai,1.356063
Quzhou,1.352606
Yueyang,1.346579
Lishui,1.345993
Handan,1.344180
Tianshui,1.341164
Wuwei,1.341164
Jinzhou,1.341164
Beihai,1.340879
Ordos,1.337826
Jilin,1.336108
Hengyang,1.335927
Yichang,1.334148
Jiangmen,1.332349
Kaohsiung,1.331497
Yan'an,1.324273
Changde,1.318124
Huangshi,1.317952
Dandong,1.315593
Weicu,1.314558
Shiyan,1.313499
Xiangyang,1.313177
Dongying,1.310265
Fushun,1.307440
Qingyuan,1.301196
Ulanqab,1.300666
Qiqihar,1.300359
Liuzhou,1.297818
Anshan,1.297542
Xiaogan,1.297459
Guangyuan,1.293238
