city,distance
Xi'an,6.708261
Yan'an,4.442076
Xianyang,3.293064
Yulin,3.216287
Beijing,2.929997
Shanghai,2.929997
Tianjin,2.929997
Weinan,2.801790
Chengdou,2.639037
Wuhan,2.639037
Chongqing,2.400644
Jiaozuo,2.400644
Jinzhong,2.400644
Lijiang,2.400644
Linfen,2.400644
Shamen,2.400644
Shangluo,2.400644
Xiangxi,2.400644
Zhangjiajie,2.400644
Baoji,2.296153
Lanzhou,2.020399
Zhengzhou,2.012567
Nanjing,1.983511
Hangzhou,1.969700
Guangzhou,1.962267
Hanzhong,1.944605
Luoyang,1.918617
Xining,1.916826
Shenzhen,1.911988
Ankang,1.899466
Lhasa,1.859791
Yinchuan,1.847353
Taiyuan,1.819358
Suzhou,1.807298
Sanmenxia,1.805383
Hong Kong,1.791488
Tianshui,1.784192
Qingdao,1.774430
Ordos,1.773414
Urumqi,1.773318
Kunming,1.766514
Shijiazhuang,1.765359
Changsha,1.764197
Jiuquan,1.759483
Jinan,1.732791
Shiyan,1.729279
Shenyang,1.723049
Dalian,1.721618
Hefei,1.718724
Wuxi,1.715786
Jiayuguan,1.693881
Nanchang,1.690538
Xuzhou,1.690538
Ngawa,1.687135
Guiyang,1.683669
Harbin,1.669129
Yuncheng,1.661407
Guilin,1.657420
Sanya,1.655394
Zhongwei,1.621869
Fuzhou,1.611728
Garze,1.600948
Guangyuan,1.598142
Haixi,1.598142
Ningbo,1.598142
Jiaxing,1.595288
Diqing,1.590992
Qingyang,1.586421
Lvliang,1.583476
Changzhou,1.580234
Nanning,1.577051
Hohhot,1.573804
Bangbu,1.573804
Baoding,1.573804
Taipei,1.569648
Kaifeng,1.549027
Nanyang,1.549027
Mianyang,1.545149
Dali,1.543544
Leshan,1.541442
Pingliang,1.537088
Yangzhou,1.532894
Haikou,1.528581
Changchun,1.519570
Wenzhou,1.514854
Shangqiu,1.509984
Zhuhai,1.509984
Shaoxing,1.504948
Macau,1.488707
Dingxi,1.488707
Xinzhou,1.488540
Langfang,1.486418
Yantai,1.476762
Xinyang,1.470389
Tai'an,1.463952
Datong,1.463952
Jinhua,1.463711
Baotou,1.462174
Zhoushan,1.461641
Weifang,1.456694
Xinxiang,1.456694
Zhangye,1.456694
Qinhuangdao,1.451333
Nantong,1.450319
Huzhou,1.449297
Dongguan,1.449297
Anyang,1.449297
Xiangyang,1.449297
Huangshan,1.441472
Guyuan,1.441472
Yichang,1.441472
Tangshan,1.440915
Nagqu,1.433161
Xingtai,1.433161
Handan,1.433161
Zhenjiang,1.433161
Deyang,1.430591
Jining,1.424291
Anqing,1.424291
Taoyuan,1.424291
Xianning,1.423424
Liangshanzhou,1.419675
Jincheng,1.418251
Linyi,1.418251
New Taipei,1.418251
Hengshui,1.418251
Yangquan,1.418251
Wuwei,1.414773
Dazhou,1.414773
Wuzhong,1.409586
Jilin,1.404492
Bayingolin,1.404492
Pingdingshan,1.404492
Heze,1.404492
Taizhou,1.404492
Foshan,1.404492
Zhangzhou,1.399251
Quanzhou,1.398633
Cangzhou,1.394489
Luohe,1.393299
Nyingchi,1.393299
Weihai,1.393299
Wuhu,1.393299
Jingzhou,1.383828
Jiyuan,1.380996
Changde,1.380996
Lianyungang,1.380996
Shizuishan,1.380996
Jiujiang,1.380996
Yibin,1.380996
Zhangjiakou,1.380996
Huanggang,1.376873
Huaihua,1.370046
Xiaogan,1.369082
