city,distance
Changchun,5.528995
Beijing,4.091136
Jilin,4.068260
Shenyang,4.045055
Yanbian,3.733897
Dalian,3.227985
Baishan,3.128046
Liaoyuan,3.073064
Shanghai,2.949408
Fushun,2.878365
Tianjin,2.798634
Dandong,2.706866
Siping,2.706866
Tangshan,2.706866
Harbin,2.597077
Songyuan,2.597077
Chengdou,2.456642
Guangzhou,2.456642
Hangzhou,2.456642
Jinan,2.456642
Qinhuangdao,2.456642
Benxi,2.248766
Huludao,2.248766
Kunming,2.248766
Langfang,2.248766
Mudanjiang,2.248766
Nanchang,2.248766
Panjin,2.248766
Qingdao,2.248766
Shaoxing,2.248766
Bangbu,2.248766
Taiyuan,2.248766
Yantai,2.248766
Anshan,1.813715
Suzhou,1.776415
Hong Kong,1.748146
Shenzhen,1.744154
Tieling,1.741781
Jinzhou,1.736580
Liaoyang,1.730661
Nanjing,1.729479
Zhengzhou,1.710873
Wuhan,1.697259
Xi'an,1.695700
Yingkou,1.695219
Baoding,1.694916
Shijiazhuang,1.690363
Shamen,1.664399
Daqing,1.619273
Chongqing,1.607077
Hohhot,1.604914
Shuangyashan,1.599845
Jiaxing,1.597880
Baicheng,1.594618
Zhangjiakou,1.586109
Changsha,1.576960
Wuxi,1.574815
Chengde,1.571215
Sanya,1.569691
Taipei,1.551817
Qiqihar,1.545423
Foshan,1.533505
Fuxin,1.533096
Changzhou,1.530990
Ningbo,1.530248
Hefei,1.519163
Chaoyang,1.513273
Hulunbuir,1.504351
Urumqi,1.495598
Cangzhou,1.492124
Tongliao,1.484104
Guiyang,1.482602
Lanzhou,1.482082
Leshan,1.477374
Fuzhou,1.475563
Ngawa,1.474400
Hinggan,1.472795
Tai'an,1.472078
Guilin,1.470855
Jinzhong,1.470427
Lijiang,1.466537
Zhoushan,1.466456
Weihai,1.462205
Datong,1.459565
Nantong,1.455059
Taoyuan,1.449913
Yinchuan,1.448098
Nanning,1.447097
Jiamusi,1.446979
Nyingchi,1.446979
Zhenjiang,1.446979
Haikou,1.436293
Jiujiang,1.435107
Zhuhai,1.434649
Linyi,1.431959
Yangzhou,1.431959
Dali,1.428597
Baotou,1.428248
Huzhou,1.426365
Lhasa,1.424331
Xuzhou,1.420703
Xining,1.419471
Luoyang,1.418018
Yichun,1.415003
Chifeng,1.415003
Dezhou,1.414848
Suihua,1.411593
Dongguan,1.408502
Jining,1.403444
Zibo,1.402049
Weifang,1.397944
Xinzhou,1.396962
Taizhou,1.395459
Wenzhou,1.395459
Baoji,1.395459
Fuzhou,1.392205
Macau,1.389865
Handan,1.379813
Yichang,1.379033
Deyang,1.375241
Ordos,1.373119
Jinhua,1.372636
Jixi,1.372262
Yancheng,1.372262
Hegang,1.372262
Quanzhou,1.363022
Hengshui,1.362811
Chuzhou,1.361743
Shangrao,1.355123
Mianyang,1.354541
Zhongshan,1.354399
Weicu,1.353452
Xingtai,1.346376
Dongying,1.344100
Huangshan,1.343658
Anqing,1.343470
Xilingol,1.343331
Zaozhuang,1.342168
Zhangjiajie,1.342168
Xiuzhou,1.340800
Jiangmen,1.332081
Jiaozuo,1.331985
Xinxiang,1.331558
Anyang,1.330268
Heihe,1.323958
Kaifeng,1.322194
Taizhou,1.318766
Garze,1.317762
Daxinganling,1.316324
Huainan,1.311073
Ya'an,1.309206
Huai'an,1.307800
Beihai,1.304883
Jiayuguan,1.304883
Qamdo,1.304883
Qitaihe,1.304883
Rizhao,1.304883
Ankang,1.304883
Wuzhou,1.304883
Xianyang,1.304883
Yingtan,1.304883
Jieyang,1.304883
Zhongwei,1.304883
Zhoukou,1.304883
Diqing,1.304021
Taichung,1.302363
Yichun,1.301851
Ulanqab,1.301238
Qingyuan,1.300941
Xishuangbanna,1.299523
Lianyungang,1.298380
Yan'an,1.296038
Liaocheng,1.295645
Nanping,1.294847
Baoshan,1.292821
Huizhou,1.292475
Yuxi,1.292425
Xiangyang,1.290570
Jian,1.290389
Zhaoqing,1.287223
Binzhou,1.285459
Kaohsiung,1.284141
Yangquan,1.282806
Nanchong,1.278475
Changde,1.274536
Puyang,1.274359
Liuzhou,1.273683
Wuhu,1.272946
Meishan,1.271768
Shaoguan,1.271428
Jiuquan,1.269181
Yiyang,1.264233
Xiangtan,1.262628
Xiangxi,1.261204
Xinyang,1.261204
Lvliang,1.260895
Honghe,1.259814
Shizuishan,1.259596
Guangyuan,1.259596
Chiayi,1.259596
Ili(Yili),1.259596
Yuncheng,1.259596
Zhuzhou,1.259596
Qujing,1.259541
New Taipei,1.259529
Jingdezhen,1.257941
Neijiang,1.255280
Changzhi,1.253436
Sanming,1.252752
Liangshanzhou,1.249679
Jingzhou,1.249370
Nanyang,1.248718
Shuozhou,1.245978
Linfen,1.245773
Ganzhou,1.245558
Qiannan,1.243810
Qionghai,1.243810
Loudi,1.243810
Sanmenxia,1.243810
Ma'anshan,1.243810
Suining,1.243810
Jiyuan,1.243810
Wanning,1.243810
Xianning,1.243810
Xuchang,1.243810
Zhangzhou,1.243810
Hualien,1.243810
Heze,1.242024
Lishui,1.241521
Baise,1.241521
Weinan,1.241521
Xuancheng,1.241521
Shantou,1.235739
Meizhou,1.233593
Yueyang,1.232486
Ziyang,1.232086
Xinyu,1.230635
Yulin,1.230230
Bayannur,1.226743
Zigong,1.223653
Laiwu,1.222886
Yangjiang,1.217075
Shangqiu,1.216758
Pingxiang,1.216397
Luohe,1.215431
Yibin,1.211331
Qiandongnan,1.208493
Fuyang,1.208493
Zhanjiang,1.208493
Luzhou,1.201713
Pingdong,1.200983
Zunyi,1.200983
Gannan,1.199403
Huanggang,1.197795
Chizhou,1.196837
Quzhou,1.196158
Chizhou,1.194741
Pingdingshan,1.194489
Keramay,1.191056
Dehong,1.189288
Hezhou,1.189288
Ningde,1.187484
Bozhou,1.187484
Wuhai,1.185643
Nantou,1.185643
Shiyan,1.185643
Hebi,1.183761
Anshun,1.181838
Dazhou,1.181606
Xiaogan,1.179872
Huaibei,1.178116
Pu'er,1.177696
Heyuan,1.175399
Yongzhou,1.171526
Longyan,1.167026
Hanzhong,1.167026
Jincheng,1.167026
Tainan,1.162274
Hengyang,1.162274
Alxa,1.157236
Shanwei,1.156653
Taidong,1.154598
Changhua,1.154400
Huaihua,1.151874
Panzhihua,1.150452
Bayingolin,1.149055
Turpan,1.149055
Zhumadian,1.149055
Maoming,1.146913
Chenzhou,1.146419
Keelung,1.146137
Xiuqian,1.146137
Wenshan,1.146034
Tianshui,1.143110
Lu'an,1.143110
Alty,1.143110
Enshi,1.139965
Kumul(Hami),1.139965
Guang'an,1.137073
Hsinchu,1.125982
Chaozhou,1.124969
Changji,1.122062
Qinzhou,1.122062
Yilan,1.117934
Haibei,1.117934
Putian,1.117934
Haixi,1.117934
Zhaotong,1.117376
Yunfu,1.115320
Bazhong,1.114428
Wuzhong,1.113572
Tongling,1.108947
Haidong,1.106342
Jingmen,1.106342
Chongzuo,1.106342
Pingliang,1.106342
