city,distance
Beijing,4.778555
Shenyang,4.272331
Shanghai,3.905096
Hulunbuir,3.667654
Chifeng,3.558438
Hohhot,3.371095
Hinggan,3.299964
Sanya,3.181616
Tianjin,3.138230
Changchun,3.092389
Dalian,3.092389
Nanyang,3.092389
Harbin,2.874295
Nanjing,2.874295
Siping,2.874295
Fuxin,2.643467
Hangzhou,2.643467
Jinan,2.643467
Changsha,2.538661
Guangzhou,2.538661
Anshan,2.538661
Huludao,2.538661
Jinzhou,2.538661
Shenzhen,2.538661
Xilingol,2.538661
Chongqing,2.404309
Daqing,2.404309
Guilin,2.404309
Baoding,2.404309
Ordos,2.404309
Qiqihar,2.404309
Shijiazhuang,2.404309
Songyuan,2.404309
Tai'an,2.404309
Wuhan,2.404309
Changzhou,2.204835
Chaoyang,2.204835
Chengdou,2.204835
Haikou,2.204835
Hanzhong,2.204835
Beihai,2.204835
Jilin,2.204835
Baotou,2.204835
Jining,2.204835
Lanzhou,2.204835
Lingshui,2.204835
Nanchang,2.204835
Panjin,2.204835
Qingdao,2.204835
Qinhuangdao,2.204835
Tangshan,2.204835
Baicheng,2.204835
Tieling,2.204835
Ulanqab,2.204835
Weifang,2.204835
Xuzhou,2.204835
Yulin,2.204835
Suzhou,2.083524
Chengde,1.982007
Fushun,1.878397
Hong Kong,1.862642
Langfang,1.849355
Jiaxing,1.842117
Zhengzhou,1.836141
Wuxi,1.811529
Xi'an,1.803218
Shamen,1.786255
Liaoyang,1.770969
Benxi,1.761972
Ningbo,1.752808
Dandong,1.747937
Yingkou,1.733874
Taiyuan,1.729749
Xiangyang,1.721284
Zhangjiakou,1.679794
Pingdingshan,1.676224
Zhoushan,1.669615
Nantong,1.654857
Kunming,1.652779
Wanning,1.646497
Taipei,1.641381
Daxinganling,1.626203
Huzhou,1.617842
Luoyang,1.612087
Hefei,1.604892
Shaoxing,1.592316
Qionghai,1.584977
Yantai,1.584444
Urumqi,1.578615
Cangzhou,1.574746
Yangzhou,1.571390
Foshan,1.565069
Guiyang,1.564144
Fuzhou,1.556311
Jinhua,1.549067
Yanbian,1.545676
Mudanjiang,1.544614
Datong,1.538526
Lijiang,1.535958
Bayannur,1.531714
Taoyuan,1.527805
Zhenjiang,1.527587
Yinchuan,1.525789
Nanning,1.524678
Xinyang,1.523881
Huangshan,1.512261
Zhuhai,1.510866
Wenzhou,1.505742
Lhasa,1.499428
Jinzhong,1.498765
Xining,1.494042
Hezhou,1.490104
Suihua,1.489686
Dezhou,1.488922
Taizhou,1.480803
Baishan,1.480218
Weihai,1.479623
Macau,1.476737
Xinzhou,1.469127
Dongguan,1.466299
Tonghua,1.464842
Ngawa,1.464416
Zibo,1.460977
Ma'anshan,1.460750
Zhuzhou,1.454818
Yichang,1.454643
Taizhou,1.454571
Xiangtan,1.452018
Handan,1.450172
Shiyan,1.441238
Changzhi,1.441238
Wuhai,1.439975
Yancheng,1.435444
Xiangxi,1.433221
Hengshui,1.431403
Jiujiang,1.426638
Xuchang,1.424134
Liuzhou,1.417967
Heihe,1.413478
Jiamusi,1.413478
Xingtai,1.413283
Yueyang,1.413206
Dongying,1.410776
Luohe,1.409512
Changde,1.409512
Shangluo,1.409512
Xinxiang,1.409512
Alxa,1.409387
Zaozhuang,1.408648
Zhangjiajie,1.408648
Ankang,1.404308
Hengyang,1.401480
Shangrao,1.399318
Linyi,1.398371
Jiaozuo,1.397436
Anyang,1.395545
Yan'an,1.394386
Dali,1.389695
Lianyungang,1.387940
Quanzhou,1.387901
Kaifeng,1.386662
Yichun,1.383979
Leshan,1.382427
Baoji,1.381968
Zhongshan,1.378961
Huai'an,1.378955
Bangbu,1.375415
Wuhu,1.371450
Huizhou,1.370191
Jingmen,1.367097
Diqing,1.366687
Xuancheng,1.363377
Guangyuan,1.357999
Nanping,1.356614
Jiangmen,1.355833
Xianning,1.352219
Baoting,1.350702
Chuzhou,1.349280
Jiuquan,1.348260
Binzhou,1.346312
Liaocheng,1.345809
Kaohsiung,1.344867
Yangquan,1.343403
Ganzhou,1.342096
Jiyuan,1.339851
Anqing,1.339851
Kumul(Hami),1.339851
Liaoyuan,1.335081
Mianyang,1.334202
Loudi,1.332396
Jian,1.331780
Chizhou,1.328797
Yiyang,1.325490
Qingyuan,1.323586
Hegang,1.323245
Jixi,1.322357
Rizhao,1.318817
New Taipei,1.317897
Jingzhou,1.316435
Fangchenggang,1.315065
Quzhou,1.311486
Huanggang,1.310140
Zhaoqing,1.309389
Wuzhishan,1.308457
Yuncheng,1.308239
Xianyang,1.306200
Lishui,1.305267
Jingdezhen,1.305166
Xiaogan,1.303084
Shuozhou,1.303067
Shuangyashan,1.302812
Huangshi,1.301388
Chongzuo,1.301220
Suizhou,1.300212
Zhumadian,1.300212
Laiwu,1.299878
Heze,1.298743
Tianshui,1.298230
Ngari,1.296370
Shaoguan,1.293049
Yingtan,1.292960
Deyang,1.292601
Lvliang,1.291734
Wenchang,1.289885
Puyang,1.289528
Meizhou,1.289528
Yichun,1.287006
Ledong,1.284136
Taichung,1.282045
Ili(Yili),1.279426
Qitaihe,1.279197
Zhongwei,1.276739
Chenzhou,1.275633
Jieyang,1.275368
Linfen,1.275368
Huaihua,1.274363
Weinan,1.273979
Sanming,1.273737
Garze,1.273737
Gannan,1.272839
Baoshan,1.272571
Shangqiu,1.271143
Zhangzhou,1.271143
Xiuzhou,1.269970
Xishuangbanna,1.266735
Yibin,1.265221
Shantou,1.264447
Fuyang,1.262125
Qiandongnan,1.262125
Zhanjiang,1.262125
Jiayuguan,1.261355
Dehong,1.260483
Liangshanzhou,1.260483
Keramay,1.260483
Guang'an,1.256615
Pingdong,1.253936
Zunyi,1.253936
Ningde,1.252570
Nanchong,1.250461
Wuwei,1.249755
Qinzhou,1.249043
Shaoyang,1.248260
Ezhou,1.246658
Sanmenxia,1.245007
Xiuqian,1.242970
Dongfang,1.241513
Dingan,1.241513
Fuzhou,1.240767
Dingxi,1.239679
Turpan,1.239566
Dazhou,1.239566
Yulin,1.239566
Zhoukou,1.239566
Ya'an,1.239228
Bozhou,1.239228
Linxia,1.237376
Nantou,1.237223
Yangjiang,1.236873
Shizuishan,1.236074
Hebi,1.235174
Hualien,1.235174
Anshun,1.233081
Pingxiang,1.233081
Zhangye,1.232598
Nyingchi,1.221859
Yongzhou,1.221859
Baiyin,1.220413
Enshi,1.219890
Suining,1.219586
Lu'an,1.218445
Xinyu,1.217361
Jincheng,1.216965
Luzhou,1.216965
Longyan,1.216965
Huainan,1.214418
Chiayi,1.214418
Wuzhong,1.212664
Tainan,1.211798
Tongling,1.209636
Haixi,1.207466
Taidong,1.203457
Huaibei,1.202993
Chengmai,1.201924
Qiongzhong,1.201603
Meishan,1.200774
Tongchuan,1.199338
Neijiang,1.199117
Heyuan,1.198806
Weicu,1.197436
Bayingolin,1.197436
Keelung,1.194267
Alty,1.190981
Honghe,1.187568
Wuzhou,1.186073
Zigong,1.183239
Baise,1.179537
Longnan,1.179399
Shanwei,1.176254
Hsinchu,1.172401
Changhua,1.172196
Jinchang,1.170974
Changji,1.168151
Ziyang,1.165337
Putian,1.164745
Maoming,1.164477
Yilan,1.163677
Chaozhou,1.163677
Haibei,1.163677
Qujing,1.158952
Shanwei,1.156653
Yunlin,1.149093
Tongren,1.148736
Qianxinan,1.148611
Hechi,1.144822
Shannan,1.142906
Kashgar,1.142906
Bijie,1.142906
Bazhong,1.142047
Nagqu,1.139998
Qamdo,1.136769
Panzhihua,1.136769
Yunfu,1.131923
Yuxi,1.130875
Pu'er,1.130875
Pingliang,1.129991
Qiannan,1.122864
Guigang,1.122864
Haidong,1.122677
Changjiang,1.121250
Huangnan,1.114860
Hotan,1.105922
Miaoli,1.105922
Laibin,1.105298
Penghu,1.105173
Sansha,1.105173
Qingyang,1.088650
Kinmen,1.086032
Bortala,1.069974
Zhaotong,1.069974
Aksu,1.069974
Guyuan,1.069974
Liupanshui,1.064475
Wenshan,1.052388
Yushuzhou,1.052388
Lincang,1.052388
Golog,1.052388
Nujiang,1.028562
Tacheng,0.976863
Kezilsu,0.895839
