city,distance
Shanghai,5.041530
Hefei,4.604412
Chizhou,4.177804
Nanjing,3.679587
Huangshan,3.577330
Wuhu,3.563891
Anqing,3.088111
Xuancheng,2.939168
Hong Kong,2.911009
Beijing,2.850851
Chuzhou,2.818524
Huzhou,2.818524
Hangzhou,2.784423
Suzhou,2.748276
Ma'anshan,2.668387
Lu'an,2.623623
Wuhan,2.623623
Wuxi,2.623623
Bozhou,2.520354
Bangbu,2.387883
Jinan,2.387883
Nanchang,2.387883
Dezhou,2.302035
Shenzhen,2.302035
Chengdou,2.191014
Fuyang,2.191014
Fuzhou,2.191014
Huai'an,2.191014
Huainan,2.191014
Huanggang,2.191014
Jiaxing,2.191014
Nanchong,2.191014
Ningbo,2.191014
Shangrao,2.191014
Shijiazhuang,2.191014
Yancheng,2.191014
Zhengzhou,2.191014
Chongqing,2.024134
Dalian,2.024134
Ganzhou,2.024134
Harbin,2.024134
Heyuan,2.024134
Huaibei,2.024134
Cangzhou,2.024134
Jinhua,2.024134
Jiujiang,2.024134
Kunming,2.024134
Langfang,2.024134
Nanping,2.024134
Quanzhou,2.024134
Quzhou,2.024134
Shaoxing,2.024134
Changsha,2.024134
Tai'an,2.024134
Taipei,2.024134
Tianjin,2.024134
Wenzhou,2.024134
Xi'an,2.024134
Xishuangbanna,2.024134
Xiuqian,2.024134
Yinchuan,2.024134
Zhoushan,2.024134
Zhuhai,2.024134
Shamen,1.991606
Changzhou,1.951320
Guangzhou,1.877409
Nantong,1.829630
Sanya,1.779593
Qingdao,1.769035
Zhenjiang,1.728652
Yangzhou,1.728142
Shenyang,1.622496
Taizhou,1.619207
Macau,1.614347
Guilin,1.600570
Taizhou,1.587895
Lanzhou,1.562242
Xuzhou,1.556245
Changchun,1.549729
Lijiang,1.547468
Xiuzhou,1.544150
Taoyuan,1.533547
Guiyang,1.524599
Yantai,1.522140
Urumqi,1.518655
Haikou,1.513710
Taiyuan,1.511138
Lianyungang,1.508821
Nanning,1.507459
Zhangjiajie,1.504930
Anshan,1.497018
Jingdezhen,1.495713
New Taipei,1.478144
Shangqiu,1.473451
Xinyang,1.445864
Hohhot,1.442485
Lhasa,1.442243
Baoding,1.436078
Ngawa,1.433500
Dongguan,1.433112
Qinhuangdao,1.431646
Yichang,1.424636
Xianning,1.418928
Luoyang,1.417303
Zhangjiakou,1.413936
Weihai,1.413746
Lishui,1.411625
Xining,1.406162
Beihai,1.406002
Yingtan,1.397241
Kaohsiung,1.395690
Jining,1.385204
Jingzhou,1.379578
Dali,1.379478
Zibo,1.379380
Leshan,1.376980
Tangshan,1.376888
Huangshi,1.373547
Kaifeng,1.373089
Jian,1.371010
Xiangyang,1.370140
Foshan,1.367348
Xiaogan,1.364922
Xinxiang,1.362434
Weifang,1.361935
Liuzhou,1.358730
Xiangxi,1.358022
Diqing,1.357785
Linyi,1.357548
Huizhou,1.355414
Ningde,1.350192
Zaozhuang,1.350192
