city,distance
Guiyang,4.673595
Xiangxi,4.655832
Chongqing,4.391223
Qiandongnan,4.329888
Huaihua,3.909194
Shanghai,3.036365
Chengdou,2.970972
Beijing,2.898900
Loudi,2.818043
Zhangjiajie,2.818043
Wuhan,2.725019
Changsha,2.613783
Guilin,2.613783
Kunming,2.613783
Qiannan,2.613783
Guangzhou,2.471585
Hangzhou,2.471585
Quzhou,2.471585
Shamen,2.471585
Shaoyang,2.471585
Tianjin,2.471585
Zhuzhou,2.471585
Anshun,2.261280
Dalian,2.261280
Fuzhou,2.261280
Hechi,2.261280
Hengyang,2.261280
Honghe,2.261280
Jiaxing,2.261280
Leshan,2.261280
Liupanshui,2.261280
Nanjing,2.261280
Nanning,2.261280
Ningbo,2.261280
Shenzhen,2.261280
Suining,2.261280
Xi'an,2.261280
Yibin,2.261280
Yingtan,2.261280
Yueyang,2.261280
Beihai,2.261280
Zunyi,2.031315
Changde,1.852298
Suzhou,1.807594
Qianxinan,1.745538
Lijiang,1.745364
Ngawa,1.711752
Xiangtan,1.692405
Lhasa,1.676012
Bijie,1.666386
Guang'an,1.645831
Yichang,1.643676
Hong Kong,1.624625
Dali,1.616132
Dazhou,1.612108
Liuzhou,1.608829
Weifang,1.607427
Zhengzhou,1.604054
Wuxi,1.599270
Yiyang,1.598974
Nanchang,1.594925
Sanya,1.593510
Hefei,1.586091
Jinhua,1.574063
Luzhou,1.563193
Nanchong,1.562025
Zhuhai,1.557102
Changzhou,1.554093
Jinan,1.552359
Neijiang,1.548577
Shangrao,1.544122
Foshan,1.539315
Qingdao,1.529592
Deyang,1.522822
Zigong,1.522198
Enshi,1.514423
Anyang,1.508228
Urumqi,1.502806
Mianyang,1.497482
Chenzhou,1.495878
Xianning,1.495878
Shenyang,1.492058
Shijiazhuang,1.490187
Taiyuan,1.488291
Zhoushan,1.487639
Baise,1.484725
Fuzhou,1.484421
Langfang,1.478373
Weicu,1.477650
Huizhou,1.476353
Nantong,1.475912
Haikou,1.474261
Pingxiang,1.461730
Qujing,1.461730
Garze,1.452659
Yuxi,1.451908
Hohhot,1.449021
