city,distance
Urumqi,6.792376
Kumul(Hami),3.577330
Shanghai,3.464920
Bayingolin,3.355555
Alty,3.250782
Jiuquan,3.152915
Beijing,3.131890
Ili(Yili),2.818524
Kashgar,2.668387
Keramay,2.574657
Changji,2.459013
Jiayuguan,2.459013
Aksu,2.459013
Lanzhou,2.387883
Taiyuan,2.387883
Chengdou,2.302035
Tacheng,2.302035
Xi'an,2.302035
Xining,2.302035
Chongqing,2.191014
Guangzhou,2.191014
Nanjing,2.191014
Tianjin,2.191014
Haikou,2.024134
Jinan,2.024134
Kunming,2.024134
Luoyang,2.024134
Nanyang,2.024134
Qinhuangdao,2.024134
Shamen,2.024134
Shijiazhuang,2.024134
Tianshui,2.024134
Wuwei,2.024134
Wuxi,2.024134
Yangzhou,2.024134
Zhengzhou,2.024134
Zhongwei,2.024134
Yinchuan,1.978530
Suzhou,1.951268
Hangzhou,1.879119
Hotan,1.843252
Wuhan,1.839606
Bortala,1.824414
Changsha,1.761115
Jiaxing,1.737967
Sanya,1.732966
Shenzhen,1.720509
Hohhot,1.713974
Hong Kong,1.707170
Haixi,1.700209
Shenyang,1.692940
Qingdao,1.669291
Zhangye,1.665330
Changzhou,1.659123
Ningbo,1.658252
Dalian,1.632121
Kezilsu,1.623196
Harbin,1.610129
Guiyang,1.584872
Zhoushan,1.583602
Ganzhou,1.572052
Nantong,1.570320
Lhasa,1.555018
Changchun,1.555018
Gannan,1.537684
Guilin,1.537684
Hefei,1.537684
Huzhou,1.536952
Langfang,1.536672
Jinzhong,1.528662
Jinchang,1.518149
Nanning,1.518149
Taizhou,1.518149
Wenzhou,1.518149
Shaoxing,1.513896
Baoding,1.504065
Dongguan,1.495675
Shangqiu,1.495675
Baoji,1.495675
Fuzhou,1.495675
Baotou,1.495675
Xishuangbanna,1.495675
Zhuhai,1.495675
Taipei,1.489120
Chifeng,1.485464
Jinhua,1.474750
Mudanjiang,1.469058
Cangzhou,1.469058
Tai'an,1.469058
Wuzhong,1.469058
Zhenjiang,1.453926
Huangshan,1.441352
Tangshan,1.439266
Hulunbuir,1.436110
Foshan,1.436110
Lijiang,1.436110
Linyi,1.436110
Haibei,1.436110
Nanchang,1.436110
Ordos,1.436110
Xuzhou,1.436110
Yichang,1.436110
Zhongshan,1.436110
Alxa,1.426832
Xianyang,1.425082
Leshan,1.420020
Xinzhou,1.419952
Zhangjiakou,1.417758
Ngawa,1.417273
Taizhou,1.412748
Macau,1.409046
Hezhou,1.406827
Yiyang,1.406827
Zibo,1.406827
Chengde,1.405846
Jinzhou,1.392104
Diqing,1.392104
Luzhou,1.392104
Mianyang,1.392104
Dongying,1.392104
Taoyuan,1.392104
Yanbian,1.392104
Yantai,1.392104
Yibin,1.392104
Yueyang,1.392104
Yuncheng,1.392104
Zhaoqing,1.392104
Weinan,1.389936
Ngari,1.371827
Yancheng,1.371404
Datong,1.363817
Shangrao,1.338393
Dali,1.334512
Xiangyang,1.330449
Qionghai,1.328646
Lianyungang,1.327980
Deyang,1.325409
Zhangjiajie,1.324964
Jining,1.322811
Jiujiang,1.322811
Kaifeng,1.322811
Kaohsiung,1.322811
Keelung,1.322811
Jingdezhen,1.322811
Huai'an,1.322811
Meizhou,1.322811
Beihai,1.322811
Dingxi,1.322811
Jieyang,1.322811
Panjin,1.322811
Pingdingshan,1.322811
Dandong,1.322811
Haidong,1.322811
Jincheng,1.322811
Rizhao,1.322811
Sanmenxia,1.322811
Jilin,1.322811
Ankang,1.322811
Suining,1.322811
Benxi,1.322811
Taichung,1.322811
Huizhou,1.322811
Hanzhong,1.322811
Huludao,1.322811
Weihai,1.322811
Jiaozuo,1.322811
Wuhu,1.322811
Hinggan,1.322811
Xiuqian,1.322811
Yan'an,1.322811
Jiamusi,1.322811
Yulin,1.322811
Jian,1.322811
Yunfu,1.322811
Yushuzhou,1.322811
Jingzhou,1.322811
Zhoukou,1.322811
Zhumadian,1.322811
Zhuzhou,1.322811
Zigong,1.322811
Qingyang,1.314749
Xuancheng,1.305476
Lvliang,1.303474
Yangquan,1.293195
Linxia,1.293002
Shizuishan,1.292479
Quanzhou,1.291251
Linfen,1.287321
Baiyin,1.283035
Dezhou,1.279337
Nagqu,1.275227
Nanping,1.274220
Chizhou,1.273737
Garze,1.271939
Weicu,1.268711
Weifang,1.265500
Ya'an,1.263967
Huangnan,1.262618
Zhangzhou,1.262384
Quzhou,1.257822
Anyang,1.257279
Lishui,1.252101
Bangbu,1.250769
Handan,1.250624
Jiangmen,1.249914
Xinxiang,1.247094
Chuzhou,1.241711
Yingtan,1.240771
Wanning,1.239219
Changzhi,1.238247
Hengshui,1.236640
Nanchong,1.235299
Xingtai,1.230194
Liangshanzhou,1.229904
Hengyang,1.229904
Meishan,1.229036
Shuozhou,1.226614
Wenchang,1.225862
Qingyuan,1.222457
Ma'anshan,1.221045
Xilingol,1.220579
Zaozhuang,1.219619
Baoshan,1.215285
Yuxi,1.214935
Neijiang,1.213631
Anqing,1.212703
Qiqihar,1.212604
Wuhai,1.210326
Liuzhou,1.210308
Xiangxi,1.209747
Xinyang,1.209361
Ningde,1.203529
Fushun,1.202717
Shangluo,1.202591
Daqing,1.199968
Longyan,1.199703
Anshan,1.199167
Shaoguan,1.196362
New Taipei,1.195981
Guang'an,1.195774
Ziyang,1.191937
Yingkou,1.186659
Honghe,1.186074
Qujing,1.185832
Ulanqab,1.185727
Xiangtan,1.184896
Longnan,1.183880
Zunyi,1.182811
Guyuan,1.180474
Tongliao,1.180325
Dazhou,1.177872
Pingliang,1.176200
Danzhou,1.175810
Binzhou,1.172611
Lu'an,1.171990
Shantou,1.171990
Xuchang,1.170594
Zhanjiang,1.170155
Nyingchi,1.170056
Pu'er,1.170056
Heze,1.170056
Tongchuan,1.169803
Guangyuan,1.168227
Liaocheng,1.167561
Nantou,1.163873
Tongling,1.163838
Shiyan,1.156722
Xianning,1.153137
Jiyuan,1.149643
Yichun,1.148196
Yangjiang,1.148116
Nantou,1.146650
Chengmai,1.146146
Pingdong,1.145472
Chaoyang,1.145152
Suihua,1.136703
Luohe,1.136197
Changde,1.136197
Lingshui,1.135440
Fuyang,1.134466
Anshun,1.134172
Dingan,1.134157
Huaibei,1.131696
Puyang,1.129299
Xiuzhou,1.125848
Hualien,1.125848
Enshi,1.124859
