city,distance
Hohhot,4.870229
Datong,4.627828
Beijing,4.527690
Shaoxing,3.781129
Shenzhen,3.610654
Zhangjiakou,3.318275
Lijiang,3.268489
Shanghai,3.119979
Xilingol,3.099390
Baotou,3.011058
Hong Kong,2.854083
Tianjin,2.644759
Ordos,2.600778
Guangzhou,2.552653
Wuhan,2.499265
Changde,2.438933
Nanjing,2.438933
Zaozhuang,2.438933
Taiyuan,2.368943
Dali,2.284427
Hulunbuir,2.284427
Jiaozuo,2.284427
Jinan,2.284427
Shijiazhuang,2.284427
Changsha,2.175058
Chifeng,2.175058
Harbin,2.175058
Alxa,2.175058
Nanning,2.175058
Suzhou,2.175058
Taipei,2.175058
Xi'an,2.175058
Xuzhou,2.175058
Yichang,2.175058
Yinchuan,2.175058
Hangzhou,2.132800
Shuozhou,2.107632
Xinzhou,2.060665
Kaifeng,2.010508
Kunming,2.010508
Linfen,2.010508
Lvliang,2.010508
Qingdao,2.010508
Qinhuangdao,2.010508
Shenyang,2.010508
Changzhou,2.010508
Changchun,2.010508
Tongliao,2.010508
Wuhai,2.010508
Baicheng,2.010508
Xingtai,2.010508
Chaoyang,2.010508
Yanbian,2.010508
Yulin,2.010508
Zhengzhou,2.010508
Jinzhong,2.006319
Diqing,1.930742
Ningbo,1.861884
Langfang,1.810532
Chengdou,1.809050
Jiaxing,1.798075
Bayannur,1.780776
Jinhua,1.776041
Dongguan,1.769790
Baoding,1.765437
Shamen,1.732352
Dalian,1.696451
Liangshanzhou,1.684115
Tangshan,1.676823
Chongqing,1.670341
Hinggan,1.662440
Taizhou,1.635172
Huizhou,1.631655
Chengde,1.631634
Sanya,1.629991
Wuxi,1.622168
Zhuhai,1.615627
Urumqi,1.611775
Dongying,1.586467
Zhoushan,1.578145
Hefei,1.575573
Foshan,1.570375
New Taipei,1.557042
Nanchang,1.556473
Yantai,1.555861
Cangzhou,1.546508
Macau,1.542388
Jining,1.537050
Guiyang,1.536282
Wenzhou,1.535768
Lanzhou,1.535724
Fuzhou,1.528725
Guilin,1.523673
Tai'an,1.521542
Weicu,1.515155
Zhongshan,1.509665
Taoyuan,1.501212
Nantong,1.495392
Luoyang,1.489424
Bangbu,1.488759
Haikou,1.486615
Huludao,1.485835
Zhangjiajie,1.480392
Xiangxi,1.476369
Lhasa,1.473805
Ngari,1.470428
Yangzhou,1.469701
Xining,1.468601
Huzhou,1.465101
Dezhou,1.463654
Weihai,1.454920
Weifang,1.445570
Changzhi,1.441521
Ngawa,1.439966
Yan'an,1.437419
Handan,1.426191
Xishuangbanna,1.425525
Zibo,1.424364
Jinzhou,1.418078
Jilin,1.417108
Shantou,1.413171
Xinxiang,1.412328
Jiangmen,1.411277
Lishui,1.411131
Wuhu,1.409783
Yancheng,1.409783
Hengshui,1.408034
Jiujiang,1.403423
Zhenjiang,1.401237
Quzhou,1.400287
Heyuan,1.394286
Dandong,1.394052
Shizuishan,1.393334
Yiyang,1.384458
Xianning,1.381744
Zhongwei,1.381359
Huangshan,1.377978
Qiqihar,1.376958
Linyi,1.376059
Xianyang,1.375377
Anyang,1.373323
Baishan,1.371344
Taizhou,1.367352
Fushun,1.364223
Shanwei,1.363873
Jiuquan,1.363661
Wuzhong,1.363661
Zhangye,1.363661
Zhaoqing,1.362934
Quanzhou,1.361199
Daqing,1.360687
Baoji,1.360173
Anshan,1.359657
Qingyuan,1.359103
Panjin,1.355979
Beihai,1.353570
Shaoguan,1.353111
Shangrao,1.350709
Huai'an,1.349391
Liuzhou,1.344408
Jingzhou,1.344402
Yingkou,1.343600
Weinan,1.342612
Chongzuo,1.341356
Lianyungang,1.339365
Huanggang,1.337837
Yuncheng,1.336164
Nanping,1.335605
Xiangyang,1.335438
Xiaogan,1.330481
Huangshi,1.328712
Zhuzhou,1.327633
Binzhou,1.325619
Xiangtan,1.325300
Jiayuguan,1.325242
Songyuan,1.324868
Kaohsiung,1.324217
Yangquan,1.322798
Liaocheng,1.319168
Mudanjiang,1.317076
Enshi,1.314129
Mianyang,1.313876
Jian,1.311533
Shiyan,1.307626
Taichung,1.305908
Ganzhou,1.302253
Pingdingshan,1.301782
Rizhao,1.300442
Shangqiu,1.300442
Dazhou,1.300442
Chizhou,1.300442
Baoshan,1.300442
Chuzhou,1.300442
Jincheng,1.300442
Xuancheng,1.300442
Xuchang,1.300442
Jingdezhen,1.300442
Qinzhou,1.300429
Xinyang,1.299840
Yangjiang,1.297295
Jieyang,1.293856
Yueyang,1.292891
Zhanjiang,1.290301
Keelung,1.289294
Ningde,1.288427
Jinchang,1.287680
Baise,1.287338
Hengyang,1.283069
Jingmen,1.282530
Yingtan,1.282239
Benxi,1.281595
Meizhou,1.280848
Leshan,1.280541
Fangchenggang,1.280351
Heze,1.279476
Jiamusi,1.277312
Suihua,1.276929
Daxinganling,1.276004
Hsinchu,1.275126
Chaozhou,1.272611
Ezhou,1.271711
Puyang,1.270532
Yichun,1.270444
Ankang,1.268627
Garze,1.264622
Qiandongnan,1.264622
Anqing,1.264514
Siping,1.264514
Qionghai,1.261097
Meishan,1.261097
Pu'er,1.261097
Jixi,1.261097
Ma'anshan,1.261097
Baiyin,1.261097
Tianshui,1.261097
Wanning,1.261097
Haixi,1.261097
Yibin,1.261097
Yuxi,1.261097
Kashgar,1.261097
Guang'an,1.261097
Zhumadian,1.261097
Ili(Yili),1.260723
Xiuzhou,1.260034
Fuxin,1.259445
Tieling,1.259427
Huaihua,1.258214
Zhangzhou,1.252680
Yilan,1.252281
Jiyuan,1.251681
Luohe,1.251273
Bozhou,1.250509
Dehong,1.250509
Hualien,1.245557
Fuyang,1.243921
Nanyang,1.243921
Guigang,1.241110
Chenzhou,1.239942
Deyang,1.239227
Pingdong,1.235966
Zunyi,1.235966
Gannan,1.234293
Yulin,1.233455
Xiuqian,1.233450
Nanchong,1.232590
Panzhihua,1.227925
Sanmenxia,1.227290
Hezhou,1.226700
Keramay,1.225455
Loudi,1.224924
Liaoyang,1.221675
Ya'an,1.221675
Wuzhou,1.221090
Nantou,1.219725
Tonghua,1.217734
Hebi,1.217734
Hechi,1.216865
Anshun,1.215700
Pingxiang,1.215700
Hanzhong,1.212222
Suizhou,1.207925
Yongzhou,1.204790
Nyingchi,1.204790
Heihe,1.204789
Tainan,1.202404
Luzhou,1.200032
Longyan,1.200032
Laibin,1.199816
Yunfu,1.199648
Yichun,1.198465
Huainan,1.197555
Chiayi,1.197555
Laiwu,1.195008
Maoming,1.194930
Huaibei,1.194074
Guyuan,1.192138
Lu'an,1.187432
Taidong,1.186895
Sanming,1.184668
Qianxinan,1.183598
Honghe,1.181382
Qujing,1.181142
Bayingolin,1.181039
Turpan,1.181039
Zigong,1.180237
Alty,1.174759
Kumul(Hami),1.171438
Shangluo,1.167001
Nujiang,1.161485
Zhoukou,1.160617
Fuzhou,1.158062
Shaoyang,1.153449
Changji,1.152540
Wuwei,1.148317
Putian,1.148185
Haibei,1.148185
Miaoli,1.139772
Tongchuan,1.139431
Tongling,1.138707
Xinyu,1.133515
Wenchang,1.133515
Danzhou,1.131214
Qamdo,1.130051
Neijiang,1.129276
Bijie,1.127959
Shannan,1.127959
Changhua,1.126907
Xiuzhou,1.125848
Liaoyuan,1.121981
Shuangyashan,1.121981
Qitaihe,1.119086
Qiannan,1.108433
Hegang,1.106158
Wenshan,1.102624
Lincang,1.102624
Huangnan,1.100632
Ziyang,1.100632
Pingliang,1.099671
Nagqu,1.092120
Hotan,1.091921
Tongren,1.082033
Bazhong,1.082033
Baoting,1.070568
Longnan,1.070568
Qingyang,1.070568
Linxia,1.070568
Yunlin,1.069872
Lingshui,1.058698
Liupanshui,1.058698
Kinmen,1.056862
Zhaotong,1.056862
Penghu,1.056862
Aksu,1.056862
Bortala,1.056862
Suining,1.052903
Sansha,1.039701
Chengmai,1.039701
Dongfang,1.039701
Golog,1.039701
Yushuzhou,1.039701
Haidong,1.039701
Dingxi,1.039701
Dingan,1.016440
Tacheng,0.989460
Kezilsu,0.966865
Wuzhishan,0.940332
Ledong,0.927706
Changjiang,0.887802
Qiongzhong,0.840675
