city,distance
Shanghai,4.936771
Beijing,4.303880
Turpan,3.817853
Changji,3.727033
Alty,3.593111
Ili(Yili),3.411673
Bayingolin,3.165167
Keramay,3.116795
Chengdou,3.111530
Kashgar,3.065294
Xi'an,2.979245
Yinchuan,2.791723
Kumul(Hami),2.779023
Shijiazhuang,2.739214
Aksu,2.729988
Lanzhou,2.706249
Guangzhou,2.696467
Chongqing,2.650168
Hangzhou,2.593524
Tacheng,2.562667
Tianjin,2.556260
Hotan,2.529752
Jiuquan,2.529752
Zhengzhou,2.529752
Wuhan,2.522891
Bortala,2.494405
Taiyuan,2.448074
Nanjing,2.431499
Changsha,2.377566
Suzhou,2.344985
Sanya,2.326547
Shamen,2.304151
Shenzhen,2.304151
Hohhot,2.292445
Haixi,2.267887
Kunming,2.267887
Xining,2.267887
Shenyang,2.254972
Jinan,2.227679
Qingdao,2.213208
Dalian,2.148339
Harbin,2.110398
Haikou,2.089568
Hong Kong,2.089568
Luoyang,2.089568
Ningbo,2.089568
Guiyang,2.067218
Jiayuguan,2.067218
Jiaxing,2.043571
Lhasa,2.016716
Changchun,2.016716
Wuxi,2.005995
Gannan,1.987658
Guilin,1.987658
Hefei,1.987658
Jinchang,1.955137
Nanning,1.955137
Taizhou,1.955137
Wenzhou,1.955137
Changzhou,1.935424
Dongguan,1.918021
Fuzhou,1.918021
Baotou,1.918021
Baoji,1.918021
Shangqiu,1.918021
Xishuangbanna,1.918021
Zhangye,1.918021
Zhuhai,1.918021
Cangzhou,1.874469
Huzhou,1.874469
Kezilsu,1.874469
Mudanjiang,1.874469
Nantong,1.874469
Tai'an,1.874469
Wuzhong,1.874469
Yangzhou,1.874469
Zhongwei,1.874469
Zhoushan,1.833427
Haibei,1.821156
Hulunbuir,1.821156
Foshan,1.821156
Langfang,1.821156
Lijiang,1.821156
Linyi,1.821156
Nanchang,1.821156
Ordos,1.821156
Xuzhou,1.821156
Yichang,1.821156
Zhongshan,1.821156
Jinzhou,1.750966
Luzhou,1.750966
Mianyang,1.750966
Diqing,1.750966
Nanyang,1.750966
Ngawa,1.750966
Qinhuangdao,1.750966
Taoyuan,1.750966
Dongying,1.750966
Yanbian,1.750966
Yantai,1.750966
Yibin,1.750966
Yueyang,1.750966
Yuncheng,1.750966
Zhaoqing,1.750966
Ganzhou,1.750966
Zibo,1.750966
Shaoxing,1.740638
Baoding,1.730352
Taipei,1.707965
Leshan,1.691468
Jinhua,1.689087
Zhenjiang,1.661827
Xianyang,1.658455
Huangshan,1.645420
Tangshan,1.645139
Huizhou,1.642732
Huludao,1.642732
Jiamusi,1.642732
Jian,1.642732
Jiaozuo,1.642732
Jieyang,1.642732
Jilin,1.642732
Jincheng,1.642732
Jingdezhen,1.642732
Jingzhou,1.642732
Huai'an,1.642732
Jining,1.642732
Jiujiang,1.642732
Kaifeng,1.642732
Kaohsiung,1.642732
Keelung,1.642732
Lianyungang,1.642732
Chifeng,1.642732
Macau,1.642732
Meizhou,1.642732
Hanzhong,1.642732
Ngari,1.642732
Panjin,1.642732
Pingdingshan,1.642732
Rizhao,1.642732
Sanmenxia,1.642732
Shangrao,1.642732
Ankang,1.642732
Suining,1.642732
Dingxi,1.642732
Taichung,1.642732
Beihai,1.642732
Tianshui,1.642732
Alxa,1.642732
Weihai,1.642732
Weinan,1.642732
Deyang,1.642732
Wuhu,1.642732
Wuwei,1.642732
Dandong,1.642732
Xiuqian,1.642732
Yan'an,1.642732
Haidong,1.642732
Yulin,1.642732
Yunfu,1.642732
Yushuzhou,1.642732
Zhangjiajie,1.642732
Benxi,1.642732
Hinggan,1.642732
Zhoukou,1.642732
Zhumadian,1.642732
Zhuzhou,1.642732
Zigong,1.642732
Zhangjiakou,1.617099
Taizhou,1.608247
Chengde,1.601620
Shizuishan,1.596212
Yancheng,1.554885
Jinzhong,1.553108
Datong,1.485767
Garze,1.485469
Ya'an,1.474606
Xuancheng,1.470677
Xingtai,1.462182
Nagqu,1.458639
Quanzhou,1.452650
Xinzhou,1.441021
Dezhou,1.439455
Dali,1.436291
Nanchong,1.435734
Nanping,1.431130
Chizhou,1.430521
Meishan,1.427281
Xinxiang,1.422229
Weifang,1.421962
Handan,1.418301
Quzhou,1.410478
Neijiang,1.406548
Lishui,1.403287
Bangbu,1.401615
Jiangmen,1.399578
Liangshanzhou,1.399519
Xiangtan,1.397846
Chuzhou,1.390250
Yingtan,1.389072
Xianning,1.388935
Hengshui,1.385626
Nyingchi,1.385579
Wanning,1.383383
Linxia,1.380971
Xiangxi,1.380417
Ziyang,1.377491
Ulanqab,1.366514
Zhangzhou,1.365910
Xilingol,1.365494
Qingyuan,1.365242
Shangluo,1.364639
Ma'anshan,1.364395
Zaozhuang,1.364292
Anshun,1.361513
Weicu,1.360356
Baiyin,1.359876
Qionghai,1.356529
Guyuan,1.356350
Qiqihar,1.355520
Anqing,1.353989
Anyang,1.351998
Liuzhou,1.351004
Hengyang,1.350947
Yangquan,1.348268
Fushun,1.348129
Wuhai,1.346897
Guangyuan,1.345922
Huanggang,1.344578
Ningde,1.342562
Xiangyang,1.342154
Daqing,1.339750
Anshan,1.338751
Xiaogan,1.337147
Huangshi,1.335361
New Taipei,1.333177
Shaoguan,1.332776
Changde,1.332744
Qiandongnan,1.328651
Shannan,1.327651
Xuchang,1.323584
Yingkou,1.323181
Tongchuan,1.322573
Lvliang,1.321207
Guang'an,1.320649
Dazhou,1.314698
Zunyi,1.312223
Binzhou,1.305739
Shiyan,1.304702
Linfen,1.304613
Shantou,1.303434
Lu'an,1.303434
Liaocheng,1.299480
Baoshan,1.299118
Yuxi,1.298718
Tongling,1.293359
Longyan,1.292823
Liaoyang,1.291885
Loudi,1.286641
Qingyang,1.284477
Pu'er,1.282741
Xinyang,1.280720
Yiyang,1.280200
Ezhou,1.277800
Qiannan,1.276532
Panzhihua,1.276245
Luohe,1.275094
Tieling,1.274437
Yichun,1.274070
Yangjiang,1.273175
Changzhi,1.272710
Nantou,1.272167
Chaoyang,1.271781
Jingmen,1.270744
Pingdong,1.270717
Zhanjiang,1.270228
Tongliao,1.267974
Shuangyashan,1.267632
Honghe,1.265793
Qujing,1.265517
Shuozhou,1.265022
Hezhou,1.264031
Bayannur,1.261926
Heze,1.260946
Suihua,1.259935
Fuyang,1.257187
Huaibei,1.253787
Huangnan,1.252276
Puyang,1.252258
Huainan,1.250265
Enshi,1.249692
Wenchang,1.249560
Pingliang,1.248549
Xiuzhou,1.246612
Hualien,1.246612
Siping,1.246412
Baishan,1.245426
Xinyu,1.245363
Sanming,1.244733
Lingshui,1.243426
Putian,1.242170
Tainan,1.236830
Chenzhou,1.233633
Huaihua,1.232445
Bazhong,1.232063
Pingxiang,1.230445
Heyuan,1.227640
Yunlin,1.224384
Longnan,1.222558
Fuxin,1.221837
Qinzhou,1.218484
Chiayi,1.213612
Suizhou,1.213417
Fuzhou,1.211838
Qamdo,1.209502
Shaoyang,1.208014
Shanwei,1.207205
Baise,1.206984
Dehong,1.206627
Bozhou,1.204770
Tongren,1.202015
Tonghua,1.200938
Hebi,1.200938
Fangchenggang,1.200839
Luzhou,1.200032
Danzhou,1.197595
Daxinganling,1.196935
Maoming,1.196599
Jiyuan,1.193425
Yilan,1.189616
Yongzhou,1.188347
Qianxinan,1.186714
Heihe,1.184684
Hsinchu,1.182452
Jixi,1.178969
Wuzhou,1.178848
Laiwu,1.178828
Yichun,1.178568
Penghu,1.174645
Sansha,1.174645
Chaozhou,1.172732
Taidong,1.170933
Songyuan,1.169388
Baoting,1.168399
Chengmai,1.166836
Guigang,1.166255
Changhua,1.159866
Yulin,1.159493
Hegang,1.156878
Liupanshui,1.156154
Dingan,1.154412
Kinmen,1.153045
Wenshan,1.150979
Bijie,1.149591
Baicheng,1.149014
Hechi,1.144821
Wuzhishan,1.136654
Laibin,1.129718
Ledong,1.123870
Zhaotong,1.122076
Liaoyuan,1.107707
Lincang,1.103200
Qitaihe,1.101718
Miaoli,1.100083
Dongfang,1.085795
Golog,1.084945
Changjiang,1.072644
Nujiang,1.060856
