city,distance
Sanya,6.151403
Qionghai,4.569430
Haikou,4.216134
Shanghai,3.974083
Beijing,2.966910
Guangzhou,2.753240
Lingshui,2.691234
Shenzhen,2.540727
Chongqing,2.443760
Hangzhou,2.319018
Wenchang,2.319018
Hong Kong,2.266985
Tianjin,2.206393
Dingan,2.132898
Suzhou,2.132898
Baoting,2.037253
Changzhou,2.037253
Chengdou,2.037253
Macau,2.037253
Nanchang,2.037253
Nanjing,2.037253
Shamen,2.037253
Xuzhou,2.037253
Zhanjiang,2.037253
Zhengzhou,2.037253
Changchun,1.892198
Changjiang,1.892198
Changsha,1.892198
Chengmai,1.892198
Danzhou,1.892198
Dongguan,1.892198
Guilin,1.892198
Hohhot,1.892198
Huizhou,1.892198
Jiaxing,1.892198
Lanzhou,1.892198
Liangshanzhou,1.892198
Lianyungang,1.892198
Liuzhou,1.892198
Meishan,1.892198
Ningbo,1.892198
Ordos,1.892198
Qingdao,1.892198
Sansha,1.892198
Wenzhou,1.892198
Wuhan,1.892198
Xi'an,1.892198
Yan'an,1.892198
Zhoushan,1.892198
Zhuhai,1.892198
Wuxi,1.826235
Nantong,1.667121
Foshan,1.644062
Wuzhishan,1.632605
Huzhou,1.629561
Harbin,1.613080
Kunming,1.609599
Shaoxing,1.603667
Guiyang,1.602417
Ledong,1.594916
Nanning,1.584153
Yangzhou,1.582444
Taipei,1.575893
Fuzhou,1.565606
Jinhua,1.559808
Weinan,1.559698
Shenyang,1.556154
Urumqi,1.556154
Jinan,1.546102
Zhenjiang,1.536532
Shijiazhuang,1.535357
Dongfang,1.529690
Dalian,1.529319
Huangshan,1.522496
Hefei,1.520656
Taiyuan,1.497625
Langfang,1.495860
Taizhou,1.490615
Dali,1.474352
Tongliao,1.465658
Baoding,1.464945
Taizhou,1.464038
Qinhuangdao,1.460333
Beihai,1.454332
Anqing,1.448722
Yancheng,1.444663
Zhongshan,1.439919
Lijiang,1.437145
Taoyuan,1.417714
Jiangmen,1.414720
Shangrao,1.408077
Yantai,1.407959
Tangshan,1.403403
Zhangjiajie,1.393222
Zhangjiakou,1.382946
Qingyuan,1.379646
Wuhu,1.379125
Xuancheng,1.371690
Chengde,1.371610
Leshan,1.368397
Zhaoqing,1.364229
Huai'an,1.362103
Baotou,1.362103
Quanzhou,1.355995
Shaoguan,1.346500
Jiujiang,1.345930
Longyan,1.339993
Diqing,1.339993
Yichang,1.339993
Yinchuan,1.339993
Luoyang,1.339546
Lhasa,1.339330
Nanping,1.337225
Chizhou,1.336693
Haixi,1.333505
Jingzhou,1.333505
Changde,1.333505
Nanchong,1.333505
Qiongzhong,1.333505
Handan,1.333505
Shantou,1.333505
Weihai,1.333505
Zaozhuang,1.333505
Ngawa,1.331786
Jilin,1.325030
Quzhou,1.319177
Tai'an,1.313017
Lishui,1.312885
Changzhi,1.312525
Mianyang,1.312525
Qiandongnan,1.312525
Rizhao,1.312525
Anyang,1.312525
Dongying,1.312525
Bangbu,1.311422
Kaifeng,1.311077
Cangzhou,1.310950
Xining,1.308158
Siping,1.305228
Chuzhou,1.301467
Yingtan,1.300434
Kaohsiung,1.299091
Maoming,1.291160
Jining,1.290001
Datong,1.285751
Yangjiang,1.285693
Jingdezhen,1.279689
Jieyang,1.279153
Zhangzhou,1.279153
Zhuzhou,1.279153
Ma'anshan,1.278782
Jian,1.277682
Ganzhou,1.275671
Huaibei,1.275671
Linfen,1.275671
Luohe,1.275671
Huaihua,1.275671
Dandong,1.275671
Nanyang,1.275671
Ningde,1.275671
Putian,1.275671
Qinzhou,1.275671
Huangshi,1.275671
Qiqihar,1.275671
Honghe,1.275671
Weifang,1.275671
Hulunbuir,1.275671
Chifeng,1.275671
Huainan,1.275671
Xuchang,1.275671
Deyang,1.275671
Yibin,1.275671
Yichun,1.275671
Jinzhong,1.275671
Yueyang,1.275671
Hengyang,1.275671
Guang'an,1.267307
Huludao,1.267090
Xiangxi,1.266395
Linyi,1.265983
Xianyang,1.256595
Huaibei,1.253787
Zunyi,1.252757
Xinxiang,1.252061
New Taipei,1.251319
Dezhou,1.250923
Panzhihua,1.250069
Dazhou,1.247218
Jiaozuo,1.246113
Pingdingshan,1.244124
Qianxinan,1.244124
Baoshan,1.244124
Shanwei,1.244124
Weicu,1.244124
Wuhai,1.244124
Ya'an,1.244124
Yunfu,1.244124
Chaozhou,1.244124
Jiuquan,1.244124
Zigong,1.244124
Luzhou,1.244124
Heyuan,1.239274
