city,distance
Kunming,6.120952
Dali,5.118497
Lijiang,4.061854
Shanghai,3.357559
Beijing,2.808924
Nanchang,2.629947
Yuxi,2.496401
Chengdou,2.464567
Diqing,2.430308
Baoshan,2.393120
Chongqing,2.255404
Xishuangbanna,2.255404
Guangzhou,2.195422
Hangzhou,2.195422
Panzhihua,2.195422
Leshan,2.122644
Shamen,2.122644
Wenshan,2.122644
Dalian,2.027896
Guiyang,2.027896
Haikou,2.027896
Nujiang,2.027896
Tianjin,2.027896
Xi'an,2.027896
Honghe,1.951400
Qujing,1.950745
Suzhou,1.916752
Dehong,1.884124
Fushun,1.884124
Guilin,1.884124
Hefei,1.884124
Hong Kong,1.884124
Huaihua,1.884124
Jinhua,1.884124
Baise,1.884124
Liangshanzhou,1.884124
Lincang,1.884124
Meishan,1.884124
Nanjing,1.884124
Ngawa,1.884124
Ningbo,1.884124
Pu'er,1.884124
Quanzhou,1.884124
Sanya,1.884124
Shaoxing,1.884124
Shenzhen,1.884124
Xinxiang,1.884124
Yantai,1.884124
Yibin,1.884124
Yichang,1.884124
Zhaotong,1.884124
Wuhan,1.849646
Changsha,1.819045
Jiaxing,1.710532
Wenzhou,1.709317
Qingdao,1.705457
Nanning,1.701519
Wuxi,1.684127
Changde,1.673723
Zhengzhou,1.659353
Changzhou,1.634103
Lhasa,1.629622
Meizhou,1.629622
Jinan,1.617437
Fuzhou,1.582516
Jiujiang,1.581379
Liupanshui,1.570426
Zhoushan,1.560792
Taipei,1.548004
Nantong,1.547888
Harbin,1.543110
Lanzhou,1.527423
Qianxinan,1.527423
Taiyuan,1.527423
Urumqi,1.521813
Huzhou,1.515457
Shenyang,1.509924
Anshun,1.503603
Zhuhai,1.503603
Shangrao,1.484808
Shijiazhuang,1.475139
Yangzhou,1.474624
Langfang,1.454611
Yangjiang,1.446054
Ulanqab,1.442247
Liuzhou,1.439388
Macau,1.439388
Qiandongnan,1.439388
Zhenjiang,1.434677
Hohhot,1.428748
Foshan,1.428748
Xining,1.428748
Zunyi,1.428748
Baoding,1.425360
Huangshan,1.422432
Yichun,1.421092
Qinhuangdao,1.420995
Yingtan,1.417148
Jian,1.407445
Beihai,1.404440
Dongguan,1.404440
Xuzhou,1.404440
Taizhou,1.394566
Jining,1.390286
Loudi,1.390286
Luoyang,1.390286
Zhongshan,1.390286
Deyang,1.377721
Anyang,1.374297
Ordos,1.374297
Changchun,1.374297
Qamdo,1.371430
Taizhou,1.371276
Jingdezhen,1.368931
Garze,1.368005
Tangshan,1.367033
Fuzhou,1.364927
Mianyang,1.356947
Huizhou,1.355854
Shantou,1.355854
Hengyang,1.355854
Taoyuan,1.355854
Yinchuan,1.355854
Yulin,1.355854
Zhuzhou,1.355854
Ganzhou,1.354279
Yancheng,1.354265
Zhangjiakou,1.347616
Chengde,1.336849
Xinyu,1.336655
Linyi,1.333945
Luzhou,1.333945
Nanchong,1.333945
Neijiang,1.333945
Xiangyang,1.333945
Xianyang,1.333945
Yulin,1.333945
Zhanjiang,1.333945
Hanzhong,1.333945
Qionghai,1.330265
Pingxiang,1.319875
Jinzhong,1.316140
Lianyungang,1.311902
Ya'an,1.311454
Chongzuo,1.309391
Zhangjiajie,1.308959
Xiangxi,1.307999
Kaohsiung,1.306722
Longyan,1.306722
Nyingchi,1.306722
Qiannan,1.306722
Chifeng,1.306722
Taichung,1.306722
Hulunbuir,1.306722
Tongren,1.306722
Weifang,1.306722
Weihai,1.306722
Zigong,1.306722
Zhangzhou,1.300011
Wuhu,1.296508
Xuancheng,1.289935
Weinan,1.285048
Baoji,1.282770
Cangzhou,1.279160
Liaocheng,1.270188
Liaoyang,1.270188
Jieyang,1.270188
Jilin,1.270188
Maoming,1.270188
Mudanjiang,1.270188
Pingdingshan,1.270188
Fuyang,1.270188
Qingyuan,1.270188
Bijie,1.270188
Quzhou,1.270188
Fangchenggang,1.270188
Wuzhou,1.270188
Xiangtan,1.270188
Dongying,1.270188
Xiuqian,1.270188
Heyuan,1.270188
Yan'an,1.270188
Jiangmen,1.270188
Huai'an,1.270188
Yilan,1.270188
Yueyang,1.270188
Jiaozuo,1.270188
Jingzhou,1.270188
Nanping,1.267739
Handan,1.267739
Enshi,1.267739
Shangqiu,1.267739
Yunfu,1.267739
Zaozhuang,1.267739
Tai'an,1.262032
Chizhou,1.258939
Hechi,1.258250
Datong,1.255157
Suining,1.242378
Wanning,1.240628
Lishui,1.237798
Huludao,1.237368
Bangbu,1.236497
Yingkou,1.236438
Ziyang,1.234076
Baotou,1.231928
Chuzhou,1.227644
Wenchang,1.227241
Dezhou,1.221946
Guang'an,1.214700
Jinzhou,1.212248
Putian,1.212248
Nanyang,1.212248
Hezhou,1.212248
Shangluo,1.212248
Huangshi,1.212248
Tainan,1.212248
Huanggang,1.212248
Anqing,1.212248
Tonghua,1.212248
Tongling,1.212248
Turpan,1.212248
Bayingolin,1.212248
Laibin,1.212248
Laiwu,1.212248
Dingxi,1.212248
Wuhai,1.212248
Dandong,1.212248
Bozhou,1.212248
Benxi,1.212248
Kaifeng,1.212248
Xianning,1.212248
Jiayuguan,1.212248
Baiyin,1.212248
Lu'an,1.212248
Xuchang,1.212248
Yanbian,1.212248
Ningde,1.212248
Dazhou,1.212248
Ma'anshan,1.212248
Hegang,1.212248
Yuncheng,1.212248
Zhaoqing,1.212248
Bazhong,1.212248
Zhumadian,1.212248
Zibo,1.212248
Daqing,1.212248
Guangyuan,1.208678
Xinzhou,1.208581
Gannan,1.208503
New Taipei,1.207031
Shaoguan,1.197675
Sanming,1.195478
Hengshui,1.182935
Rizhao,1.180978
Hebi,1.180402
Xiaogan,1.180402
Fushun,1.177571
Danzhou,1.177078
Jingmen,1.175500
Jiuquan,1.171992
Anshan,1.171782
Xingtai,1.170532
Xilingol,1.168230
Qiqihar,1.160923
Nagqu,1.156113
Ankang,1.148744
Shannan,1.148115
Chengmai,1.147351
Panjin,1.145975
Huainan,1.144687
Lingshui,1.136622
Dingan,1.135337
Nantou,1.134644
Pingdong,1.133489
Shiyan,1.132302
Tongchuan,1.130202
Puyang,1.130202
Huaibei,1.130202
Qinzhou,1.130202
Suizhou,1.130202
Shanwei,1.130202
Sanmenxia,1.130202
Suihua,1.130202
Haixi,1.124469
Jincheng,1.124348
Binzhou,1.124215
Yangquan,1.122185
Zhongwei,1.118179
Xiuzhou,1.114271
Hualien,1.114271
Xinyang,1.112779
Shaoyang,1.111822
Ledong,1.105783
Tianshui,1.105547
Changzhi,1.099645
Yiyang,1.099192
Chaoyang,1.098951
Yunlin,1.096478
Tongliao,1.096107
Kinmen,1.095844
Shuozhou,1.093900
Heze,1.090851
Tieling,1.089331
Jiamusi,1.089278
Chiayi,1.087831
Chenzhou,1.086112
Changji,1.080590
Siping,1.079957
Bayannur,1.079047
Lvliang,1.078125
Ili(Yili),1.077191
Luohe,1.076391
Hinggan,1.076245
Alty,1.075549
Baishan,1.075285
Linfen,1.074313
Guigang,1.071028
Chaozhou,1.066840
Baoting,1.066666
Hsinchu,1.062728
Fuxin,1.061459
Sansha,1.056418
Penghu,1.056418
Dongfang,1.056156
Changjiang,1.056156
Kashgar,1.054178
Yongzhou,1.053707
Keelung,1.053031
Haibei,1.052086
Keramay,1.051339
Zhoukou,1.050895
Wuzhishan,1.048131
Qingyang,1.043301
Taidong,1.043070
Daxinganling,1.042615
Yichun,1.035993
Alxa,1.033943
Linxia,1.025740
Zhangye,1.024594
Ngari,1.022967
Aksu,1.011886
Songyuan,1.011330
Kumul(Hami),1.011330
Jixi,1.008754
Baicheng,1.006065
Pingliang,1.005396
Jiyuan,1.002439
Wuwei,0.998696
Shizuishan,0.997214
Miaoli,0.995722
Heihe,0.993952
Wuzhong,0.990503
Qiongzhong,0.990125
Longnan,0.984421
Changhua,0.981643
Golog,0.977446
Liaoyuan,0.974255
Shuangyashan,0.974255
Hotan,0.971588
Haidong,0.967149
Bortala,0.967149
Jinchang,0.964023
Guyuan,0.963589
Huangnan,0.958117
Tacheng,0.954810
Qitaihe,0.943992
Yushuzhou,0.926149
Kezilsu,0.846702
