city,distance
Beijing,5.536789
Tianjin,4.527749
Jinan,3.778504
Dezhou,3.722472
Shanghai,3.419136
Langfang,3.175490
Shijiazhuang,3.107588
Hengshui,3.100471
Baoding,2.876851
Qingdao,2.826064
Nanjing,2.747161
Tai'an,2.734985
Qinhuangdao,2.579686
Binzhou,2.562988
Dongying,2.545707
Jining,2.545707
Xuzhou,2.448367
Zibo,2.426119
Zaozhuang,2.402668
Tangshan,2.351431
Yantai,2.351431
Changsha,2.331435
Chuzhou,2.323166
Hangzhou,2.323166
Liaocheng,2.323166
Bangbu,2.292702
Xi'an,2.292702
Handan,2.259577
Weifang,2.259577
Weihai,2.223162
Xingtai,2.223162
Zhengzhou,2.223162
Zhenjiang,2.223162
Chengdou,2.182557
Lianyungang,2.182557
Linyi,2.182557
Zhangjiakou,2.182557
Hefei,2.136406
Taiyuan,2.136406
Guangzhou,2.082511
Hong Kong,2.082511
Jiaxing,2.082511
Puyang,2.082511
Urumqi,2.082511
Wuxi,2.082511
Yancheng,2.082511
Hohhot,2.016915
Laiwu,2.016915
Lanzhou,2.016915
Luoyang,2.016915
Ningbo,2.016915
Changchun,2.016915
Yangzhou,2.016915
Bozhou,1.931180
Benxi,1.931180
Jian,1.931180
Jinzhou,1.931180
Jiujiang,1.931180
Changzhou,1.931180
Dalian,1.931180
Nanping,1.931180
Panjin,1.931180
Chengde,1.931180
Wuhan,1.931180
Xiuzhou,1.931180
Shenzhen,1.878967
Shenyang,1.865708
Shamen,1.862209
Foshan,1.800352
Fuzhou,1.800352
Changsha,1.800352
Harbin,1.800352
Huai'an,1.800352
Huaibei,1.800352
Huludao,1.800352
Jingzhou,1.800352
Jinzhong,1.800352
Kaifeng,1.800352
Changzhi,1.800352
Nanchang,1.800352
Ningde,1.800352
Qiqihar,1.800352
Rizhao,1.800352
Sanya,1.800352
Anqing,1.800352
Shangqiu,1.800352
Bayingolin,1.800352
Tieling,1.800352
Tongling,1.800352
Chizhou,1.800352
Xinxiang,1.800352
Xinzhou,1.800352
Daqing,1.800352
Yingkou,1.800352
Chaoyang,1.800352
Zhongshan,1.800352
Zhoushan,1.800352
Chongqing,1.790744
Kunming,1.734957
Taipei,1.722401
Guiyang,1.637548
Guilin,1.623229
Datong,1.609490
Lijiang,1.606681
Taoyuan,1.597762
Yinchuan,1.595557
Nanning,1.594342
Haikou,1.581238
Zhuhai,1.579246
Baotou,1.571493
Lhasa,1.566752
Hulunbuir,1.560873
Xining,1.560873
Nantong,1.560847
Ngawa,1.528566
Huzhou,1.527876
Macau,1.525149
Chifeng,1.525149
Wenzhou,1.512713
Shaoxing,1.505090
Ordos,1.505008
Jilin,1.502834
Heze,1.480750
Dandong,1.476929
Yichang,1.472039
Xilingol,1.469297
Zhangjiajie,1.467906
Jinhua,1.466392
Huangshan,1.456243
Jiaozuo,1.455735
Anyang,1.453684
Dali,1.447337
Fushun,1.443492
Quanzhou,1.440106
Baoji,1.438958
Anshan,1.438380
Leshan,1.435258
Yangquan,1.431809
Yanbian,1.429398
Taizhou,1.422969
Diqing,1.422398
Dongguan,1.421743
Xianyang,1.421500
Ulanqab,1.419087
Yan'an,1.412905
Xiangyang,1.406409
Kaohsiung,1.399171
Shangrao,1.397194
Mudanjiang,1.388105
Mianyang,1.387244
Weinan,1.386528
Liuzhou,1.386378
Wuhu,1.385505
Taizhou,1.381437
Beihai,1.381046
Jiuquan,1.381046
New Taipei,1.373115
Fangchenggang,1.373115
Xiangxi,1.371606
Xinyang,1.371606
Yuncheng,1.359198
Tongliao,1.356997
Jingdezhen,1.355881
Shuozhou,1.353616
Turpan,1.347497
Jiamusi,1.346546
Ganzhou,1.344089
Meizhou,1.339012
Changde,1.339012
Yueyang,1.337707
Changji,1.336006
Yulin,1.335051
Ma'anshan,1.333714
Siping,1.332331
Taichung,1.330946
Bayannur,1.330946
Lvliang,1.329543
Ili(Yili),1.328123
Huizhou,1.328123
Fuyang,1.326735
Hinggan,1.326685
Huainan,1.325886
Baishan,1.325227
Zhongwei,1.325227
Linfen,1.323751
Jieyang,1.323751
Hengyang,1.322747
Baoshan,1.320737
Zhangzhou,1.319199
Alty,1.318392
Xuchang,1.317640
Luohe,1.317640
Xiuqian,1.316808
Xishuangbanna,1.314452
Zhuzhou,1.314452
Yibin,1.312823
Nanyang,1.309490
Qiandongnan,1.309490
Garze,1.309490
Zhanjiang,1.309490
Yichun,1.307784
Fuxin,1.304289
Deyang,1.304289
Pingdong,1.300677
Zunyi,1.300677
Xuancheng,1.298923
Gannan,1.298824
Huanggang,1.296939
Nanchong,1.296939
Quzhou,1.295019
Pingdingshan,1.293064
Sanmenxia,1.291072
Xiangtan,1.291072
Keramay,1.289042
Dehong,1.286971
Hezhou,1.286971
Liaoyang,1.284859
Ya'an,1.284859
Qionghai,1.282703
Shantou,1.282703
Shiyan,1.282703
