city,distance
Qingdao,5.183915
Jinan,4.475728
Beijing,4.157040
Shanghai,3.959697
Zibo,3.884422
Yantai,3.423739
Dongying,2.835298
Tianjin,2.794305
Weihai,2.777108
Guiyang,2.722305
Linyi,2.722305
Rizhao,2.672248
Tai'an,2.672248
Hong Kong,2.581030
Nanjing,2.499838
Baotou,2.453306
Wuhan,2.453306
Hangzhou,2.436660
Xuzhou,2.436660
Shenyang,2.419357
Jining,2.382501
Xi'an,2.382501
Binzhou,2.342052
Guangzhou,2.320191
Dezhou,2.272377
Suzhou,2.272377
Dalian,2.245970
Heze,2.245970
Zhongshan,2.245970
Chengdou,2.217483
Harbin,2.217483
Laiwu,2.217483
Wuxi,2.186482
Cangzhou,2.186482
Shijiazhuang,2.152367
Zaozhuang,2.114285
Lanzhou,2.070948
Liaocheng,2.070948
Qinhuangdao,2.070948
Chongqing,2.020265
Shamen,2.020265
Zhuhai,2.020265
Dongguan,1.958473
Baoding,1.958473
Jiaxing,1.958473
Kunming,1.958473
Nantong,1.958473
Shenzhen,1.958473
Yancheng,1.958473
Zhengzhou,1.958473
Dandong,1.877535
Datong,1.877535
Fuzhou,1.877535
Huai'an,1.877535
Huludao,1.877535
Kaifeng,1.877535
Lianyungang,1.877535
Nanchang,1.877535
Sanya,1.877535
Changchun,1.877535
Tangshan,1.877535
Wenzhou,1.877535
Xingtai,1.877535
Yinchuan,1.877535
Changzhou,1.764709
Ningbo,1.763724
Enshi,1.753642
Handan,1.753642
Baoshan,1.753642
Hefei,1.753642
Hohhot,1.753642
Huaibei,1.753642
Huainan,1.753642
Huangshan,1.753642
Hulunbuir,1.753642
Jian,1.753642
Jiangmen,1.753642
Jiaozuo,1.753642
Chifeng,1.753642
Jinzhou,1.753642
Langfang,1.753642
Dazhou,1.753642
Linfen,1.753642
Maoming,1.753642
Miaoli,1.753642
Chengde,1.753642
Pingdingshan,1.753642
Shaoxing,1.753642
Shiyan,1.753642
Alxa,1.753642
Taiyuan,1.753642
Taizhou,1.753642
Tianshui,1.753642
Tongliao,1.753642
Xilingol,1.753642
Yangzhou,1.753642
Anshan,1.753642
Zhangjiajie,1.753642
Zhaoqing,1.753642
Zhoushan,1.679516
Huzhou,1.627137
Anshun,1.617938
Zhangjiakou,1.595918
Changsha,1.586656
Taipei,1.573626
Qiandongnan,1.571741
Jinhua,1.557587
Zunyi,1.548803
Daqing,1.547100
Ordos,1.539646
Zhenjiang,1.534377
Leshan,1.522958
Mudanjiang,1.515421
Urumqi,1.504316
Bangbu,1.503122
Qiannan,1.499327
Taizhou,1.488587
Macau,1.484478
Guilin,1.479286
Foshan,1.479202
Lijiang,1.465530
Taoyuan,1.458106
Xianyang,1.455514
Nanning,1.455257
Haikou,1.444332
Lhasa,1.432237
Jinzhong,1.431632
Yanbian,1.428726
Xining,1.427322
Luoyang,1.425853
Weinan,1.418870
Baoji,1.416093
Shangqiu,1.415115
Qiqihar,1.406830
Chuzhou,1.406534
Shangrao,1.406267
Fushun,1.405210
Xinzhou,1.404566
Ngawa,1.400259
Putian,1.397779
Jilin,1.378635
Wuhu,1.377388
Qianxinan,1.376923
Yichang,1.372882
Hengshui,1.372116
Xuancheng,1.369972
Bayannur,1.368346
Xianning,1.367580
Jiujiang,1.365680
Quanzhou,1.354316
Xiuzhou,1.346902
Liaoyang,1.344210
Yan'an,1.340594
Benxi,1.339021
Xinxiang,1.338465
