city,distance
Yantai,4.922131
Shanghai,4.790806
Qingdao,4.688688
Beijing,4.309638
Jinan,3.375471
Dalian,2.885454
Weifang,2.809816
Tianjin,2.753727
Rizhao,2.583113
Nanjing,2.526309
Tai'an,2.511002
Guangzhou,2.386413
Linyi,2.386413
Dongying,2.342977
Hangzhou,2.342977
Harbin,2.342977
Suzhou,2.311532
Dehong,2.267315
Lianyungang,2.267315
Wuhan,2.267315
Yancheng,2.267315
Chengdou,2.238288
Xi'an,2.238288
Changzhou,2.206706
Dezhou,2.206706
Wuxi,2.206706
Cangzhou,2.171963
Hohhot,2.171963
Hong Kong,2.171963
Zibo,2.171963
Dandong,2.133190
Huangshan,2.133190
Shenyang,2.133190
Shenzhen,2.133190
Hefei,2.089082
Huai'an,2.089082
Shamen,2.089082
Chongqing,2.037520
Jining,2.037520
Shijiazhuang,2.037520
Tangshan,2.037520
Zhengzhou,2.037520
Jiaxing,2.018118
Fuzhou,1.974684
Haikou,1.974684
Kunming,1.974684
Laiwu,1.974684
Liaocheng,1.974684
Luoyang,1.974684
Nantong,1.974684
Ningbo,1.974684
Qinhuangdao,1.974684
Qinzhou,1.974684
Quanzhou,1.974684
Quzhou,1.974684
Sanya,1.974684
Binzhou,1.974684
Xuzhou,1.974684
Zhenjiang,1.974684
Zhoushan,1.974684
Changchun,1.974684
Langfang,1.892428
Bangbu,1.892428
Nanchang,1.892428
New Taipei,1.892428
Panjin,1.892428
Taizhou,1.892428
Taoyuan,1.892428
Weinan,1.892428
Baotou,1.892428
Yangzhou,1.892428
Ganzhou,1.766627
Guiyang,1.766627
Baoshan,1.766627
Changsha,1.766627
Hengshui,1.766627
Huaihua,1.766627
Huanggang,1.766627
Hulunbuir,1.766627
Huzhou,1.766627
Jiuquan,1.766627
Lanzhou,1.766627
Lijiang,1.766627
Meishan,1.766627
Mudanjiang,1.766627
Baoding,1.766627
Qionghai,1.766627
Sanmenxia,1.766627
Shaoxing,1.766627
Taiyuan,1.766627
Taizhou,1.766627
Urumqi,1.766627
Wenzhou,1.766627
Xilingol,1.766627
Xinxiang,1.766627
Xuchang,1.766627
Yanbian,1.766627
Yinchuan,1.766627
Yingkou,1.766627
Yulin,1.766627
Zaozhuang,1.766627
Zhangjiajie,1.766627
Zhanjiang,1.766627
Zhuhai,1.766627
Taipei,1.690149
Jinhua,1.671661
Zhangjiakou,1.617911
Chengde,1.602417
Macau,1.587740
Guilin,1.574411
Nanning,1.508073
Foshan,1.505843
Daqing,1.499822
Shangrao,1.498596
Datong,1.486452
Wuhu,1.465845
Huludao,1.461567
Xuancheng,1.457449
Lhasa,1.449925
Jinzhong,1.449305
Xining,1.444888
Xinzhou,1.421573
Nanping,1.418601
Chizhou,1.418002
Ngawa,1.417161
Anshan,1.414737
