city,distance
Xi'an,7.005563
Shanghai,3.263825
Sanmenxia,3.182600
Beijing,3.118197
Luoyang,2.960586
Haikou,2.895544
Zhengzhou,2.797422
Nanjing,2.663827
Yuncheng,2.629238
Shijiazhuang,2.572634
Xianyang,2.572634
Baoji,2.508753
Ankang,2.485400
Yan'an,2.460794
Yulin,2.345571
Chengdou,2.310912
Lanzhou,2.310912
Taiyuan,2.310912
Chongqing,2.272838
Wuxi,2.272838
Xinxiang,2.272838
Suzhou,2.230416
Xuzhou,2.230416
Handan,2.182241
Hanzhong,2.182241
Jinzhong,2.182241
Wuhan,2.182241
Fuyang,2.126039
Hangzhou,2.126039
Linfen,2.126039
Tianjin,2.126039
Tianshui,2.126039
Xingtai,2.126039
Bangbu,2.126039
Dazhou,2.057716
Jinan,2.057716
Tongchuan,2.057716
Baoding,2.057716
Guangzhou,1.986933
Chuzhou,1.968554
Changsha,1.968554
Anshan,1.968554
Hohhot,1.968554
Hong Kong,1.968554
Kaifeng,1.968554
Lhasa,1.968554
Shamen,1.968554
Shangluo,1.968554
Shangqiu,1.968554
Shiyan,1.968554
Tai'an,1.968554
Taizhou,1.968554
Changzhou,1.968554
Weihai,1.968554
Xinzhou,1.968554
Chaoyang,1.968554
Yinchuan,1.968554
Xining,1.940356
Shenzhen,1.935398
Dongying,1.832792
Fuzhou,1.832792
Guiyang,1.832792
Harbin,1.832792
Hebi,1.832792
Hefei,1.832792
Huangshan,1.832792
Jiaozuo,1.832792
Jiaxing,1.832792
Jilin,1.832792
Jingzhou,1.832792
Jiujiang,1.832792
Lvliang,1.832792
Nagqu,1.832792
Nanchong,1.832792
Nanning,1.832792
Qingdao,1.832792
Sanya,1.832792
Beihai,1.832792
Tangshan,1.832792
Urumqi,1.832792
Xiangxi,1.832792
Xiuzhou,1.832792
Yangquan,1.832792
Yichang,1.832792
Zibo,1.832792
Kunming,1.786479
Jiuquan,1.779288
Shenyang,1.742038
Dalian,1.740575
Jiayuguan,1.712229
Nanchang,1.708813
Ngawa,1.705336
Guilin,1.674983
Qionghai,1.655723
Zhongwei,1.638682
Garze,1.617328
Haixi,1.614464
Ningbo,1.614464
Guangyuan,1.614464
Qingyang,1.602504
Ordos,1.596191
Lijiang,1.586250
Taipei,1.582800
Nanyang,1.564357
Mianyang,1.560401
Pingliang,1.552181
Yangzhou,1.547904
Zhoushan,1.540229
Changchun,1.534320
Langfang,1.533368
Wenzhou,1.529512
Nantong,1.527662
Zhuhai,1.524547
Shaoxing,1.519414
Wanning,1.519111
Macau,1.502861
Dingxi,1.502861
Wenchang,1.499088
Huzhou,1.496064
Qinhuangdao,1.496060
Yantai,1.490689
Zhangjiajie,1.490689
Xinyang,1.484195
Jinhua,1.477391
Leshan,1.477391
Weifang,1.470242
Zhangye,1.470242
Zhenjiang,1.466027
Dongguan,1.462708
Anyang,1.462708
Baotou,1.462708
Xiangyang,1.462708
Guyuan,1.454738
Jining,1.437241
Anqing,1.437241
Taoyuan,1.437241
Linyi,1.427550
Deyang,1.427550
Wuwei,1.427550
Datong,1.427550
Danzhou,1.424913
Jincheng,1.417083
Pingdingshan,1.417083
Foshan,1.417083
Heze,1.417083
Bayingolin,1.417083
Zhanjiang,1.416616
Zhangjiakou,1.414945
Luohe,1.405689
Cangzhou,1.405689
Nyingchi,1.405689
Dali,1.405689
Wuhu,1.405689
Chengde,1.403080
Jiyuan,1.401409
Xuchang,1.393338
Lianyungang,1.393168
Shizuishan,1.393168
Changde,1.393168
Yibin,1.393168
Chengmai,1.381580
Mudanjiang,1.379239
Neijiang,1.379239
Diqing,1.379239
Haibei,1.379239
Jian,1.379239
Daqing,1.379239
Huai'an,1.379239
Wuzhong,1.379239
Huangshi,1.379239
Taizhou,1.378127
Lingshui,1.366053
Dingan,1.364197
Luzhou,1.363501
Ma'anshan,1.363501
Nanping,1.363501
Huizhou,1.363501
Sansha,1.363501
Kumul(Hami),1.363501
Haidong,1.363501
Tieling,1.363501
Binzhou,1.363501
Dezhou,1.363501
Ya'an,1.363501
Yueyang,1.363501
Hulunbuir,1.363501
Zhuzhou,1.363501
Bozhou,1.361949
Jinzhou,1.353234
Liuzhou,1.345345
Gannan,1.345345
Quanzhou,1.345345
Bayannur,1.345345
Bazhong,1.345345
Yancheng,1.345345
Yiyang,1.345345
Baiyin,1.345345
Chifeng,1.345345
New Taipei,1.323771
Putian,1.323771
Rizhao,1.323771
Alty,1.323771
Shaoguan,1.323771
Hsinchu,1.323771
Dandong,1.323771
Guang'an,1.323771
Wuhai,1.323771
Changji,1.323771
Jinchang,1.323771
Xishuangbanna,1.323771
Huludao,1.323771
Ledong,1.321750
Zhumadian,1.308565
Huainan,1.307836
Shangrao,1.307280
Shannan,1.306607
Hengshui,1.304911
Zhoukou,1.304491
Puyang,1.300257
Zaozhuang,1.299018
Qingyuan,1.296958
Longnan,1.296958
Alxa,1.296958
Pingdong,1.296958
Shantou,1.296958
Lu'an,1.296958
Turpan,1.296958
Ili(Yili),1.296958
Changzhi,1.296958
Xianning,1.296958
Xiaogan,1.296958
Xiuqian,1.296958
Yuxi,1.296958
Anshun,1.296958
Enshi,1.296958
Zhongshan,1.296958
Honghe,1.296958
Zunyi,1.296958
Xuancheng,1.275858
Linxia,1.270095
Baoting,1.266244
Meishan,1.260961
Loudi,1.260961
Pingxiang,1.260961
Suining,1.260961
Taichung,1.260961
Kashgar,1.260961
Ulanqab,1.260961
Hualien,1.260961
Weicu,1.260961
Heyuan,1.260961
Ningde,1.260961
Qiandongnan,1.260961
Xiangtan,1.260961
Fangchenggang,1.260961
Xilingol,1.260961
Keramay,1.260961
Hengyang,1.260961
Fuxin,1.260961
Daxinganling,1.260961
Fuzhou,1.260961
Yushuzhou,1.260961
Huanggang,1.260961
Kaohsiung,1.260961
Qujing,1.260961
Qiannan,1.260961
Liupanshui,1.258623
Changjiang,1.251461
Dongfang,1.251461
Yingkou,1.250077
Chizhou,1.245526
Liaoyang,1.243743
Zhangzhou,1.240540
Wuzhishan,1.240210
Chenzhou,1.239794
Siping,1.239794
Yanbian,1.237663
Quzhou,1.230304
Lishui,1.224830
Liaocheng,1.221196
Yingtan,1.213986
Liangshanzhou,1.210836
Huaibei,1.210569
Qiqihar,1.210546
Panjin,1.207749
Shuozhou,1.205980
Shanwei,1.203840
Tongling,1.203840
Fushun,1.203840
Bortala,1.203840
Keelung,1.203840
Meizhou,1.203840
Heihe,1.203840
Laiwu,1.203840
Kezilsu,1.203840
