city,distance
Haikou,6.370429
Qionghai,4.180135
Sanya,4.005287
Beijing,3.330654
Shanghai,3.283139
Wanning,2.922137
Lingshui,2.839998
Chengdou,2.745543
Guangzhou,2.745543
Wuhan,2.745543
Zhanjiang,2.745543
Chongqing,2.632659
Dongguan,2.632659
Hong Kong,2.488457
Shenzhen,2.488457
Changsha,2.275394
Chengmai,2.275394
Danzhou,2.275394
Dongfang,2.275394
Huzhou,2.275394
Kunming,2.275394
Langfang,2.275394
Lijiang,2.275394
Maoming,2.275394
Nanjing,2.275394
Pingdingshan,2.275394
Suzhou,1.892266
Hangzhou,1.867672
Tianjin,1.836982
Dingan,1.836044
Shamen,1.825643
Nanning,1.814740
Weinan,1.782719
Ledong,1.759975
Nanchang,1.745034
Zhuhai,1.745034
Zhengzhou,1.734430
Xi'an,1.728912
Guilin,1.698739
Jiaxing,1.691004
Fuzhou,1.678075
Wuxi,1.665194
Baoting,1.662914
Beihai,1.646383
Foshan,1.641314
Changjiang,1.637510
Ningbo,1.618300
Wuzhishan,1.618300
Changzhou,1.616272
Qingdao,1.584725
Urumqi,1.584725
Leshan,1.577178
Ngawa,1.573790
Guiyang,1.571837
Harbin,1.557831
Wenzhou,1.557831
Baoding,1.548443
Jinan,1.547096
Shijiazhuang,1.544642
Zhoushan,1.544517
Qinhuangdao,1.543292
Hefei,1.542467
Hohhot,1.542467
Diqing,1.534994
Nantong,1.531880
Baotou,1.525411
Shenyang,1.525411
Taipei,1.506184
Yangjiang,1.495801
Dalian,1.495117
Taiyuan,1.494563
Dali,1.490782
Liuzhou,1.484060
Macau,1.484060
Meishan,1.484060
Qiongzhong,1.484060
Zhaoqing,1.484060
Tangshan,1.479850
Shaoxing,1.478138
Deyang,1.461321
Yangzhou,1.460088
Yichang,1.459837
Jinhua,1.457852
Lanzhou,1.457852
Luoyang,1.457852
Changchun,1.457852
Siping,1.457852
Taoyuan,1.457852
Zhangjiakou,1.457122
Xianning,1.453843
Chengde,1.444543
Jiangmen,1.442451
Huizhou,1.441822
Mianyang,1.437971
Zhongshan,1.437811
Huangshan,1.425398
Jieyang,1.425398
Ordos,1.425398
Shaoguan,1.425398
Weihai,1.425398
Zhangzhou,1.425398
Chuzhou,1.425398
Zhuzhou,1.425398
Zhenjiang,1.420914
Nanyang,1.418065
Jingzhou,1.412561
Anqing,1.407173
Huanggang,1.405315
Xiangyang,1.402668
Xiaogan,1.397200
Garze,1.396591
Huangshi,1.395250
Jiaozuo,1.390209
Ya'an,1.386985
Yantai,1.384832
Hulunbuir,1.382037
Jiujiang,1.382037
Jiuquan,1.382037
Chaozhou,1.382037
Lianyungang,1.382037
Luzhou,1.382037
Baoshan,1.382037
Qianxinan,1.382037
Qingyuan,1.382037
Quzhou,1.382037
Shantou,1.382037
Shanwei,1.382037
Taizhou,1.382037
Weicu,1.382037
Wuhai,1.382037
Xianyang,1.382037
Xinxiang,1.382037
Xuzhou,1.382037
Yinchuan,1.382037
Yunfu,1.382037
Hengyang,1.382037
Zigong,1.382037
Taizhou,1.381559
Luohe,1.381394
Cangzhou,1.377418
Liangshanzhou,1.374918
Xiangtan,1.361892
Shiyan,1.361814
Xuchang,1.357919
Tai'an,1.357578
Nanchong,1.352541
Datong,1.349626
Xiangxi,1.345343
Yancheng,1.341995
Lhasa,1.335521
Ezhou,1.332532
Yulin,1.331814
Huludao,1.329080
Yueyang,1.327692
Neijiang,1.326608
Jingmen,1.324860
Jinzhong,1.318932
Guang'an,1.316286
Xining,1.315273
Linfen,1.313718
Linxia,1.313718
Mudanjiang,1.313718
Honghe,1.313718
Ningde,1.313718
Hegang,1.313718
Pu'er,1.313718
Puyang,1.313718
Qiandongnan,1.313718
Guyuan,1.313718
Quanzhou,1.313718
Qujing,1.313718
Sansha,1.313718
Shannan,1.313718
Jian,1.313718
Haibei,1.313718
Suining,1.313718
Huai'an,1.313718
Tongliao,1.313718
Turpan,1.313718
Jiayuguan,1.313718
Chenzhou,1.313718
Hotan,1.313718
Jilin,1.313718
Xinzhou,1.313718
Guangyuan,1.313718
Yibin,1.313718
Baicheng,1.313718
Yiyang,1.313718
Jincheng,1.313718
Zhangjiajie,1.313718
Jingdezhen,1.313718
Ganzhou,1.313718
Heyuan,1.313718
Hebi,1.313718
Changzhi,1.313718
Ziyang,1.313718
Zunyi,1.313718
Dezhou,1.311304
Shangrao,1.310368
Xishuangbanna,1.308372
Qinzhou,1.308046
Enshi,1.301993
Jining,1.301501
Yuxi,1.301177
Changde,1.300022
Handan,1.298221
Haixi,1.298221
Zaozhuang,1.298221
Weifang,1.296770
Xinyang,1.294910
Dazhou,1.294627
Chifeng,1.289816
Wuhu,1.285258
Zibo,1.279679
Xuancheng,1.278799
Jinzhou,1.274603
Hengshui,1.266483
Baise,1.265140
Suizhou,1.262666
Kaifeng,1.256185
Loudi,1.256118
Dandong,1.255159
Xingtai,1.252277
Dongying,1.250308
Xilingol,1.249643
Nanping,1.248793
Chizhou,1.248329
Qiqihar,1.241285
Linyi,1.240555
Lu'an,1.240291
Anyang,1.238331
Fangchenggang,1.233812
Fushun,1.230927
Daqing,1.228047
Baoji,1.227629
Lishui,1.227540
Anshan,1.227208
Bangbu,1.226260
Panjin,1.224211
Yanbian,1.220664
Yingtan,1.216648
Kaohsiung,1.215472
Yingkou,1.214112
Ulanqab,1.213137
Ma'anshan,1.211742
Panzhihua,1.210082
Yan'an,1.208616
Huaihua,1.204411
Hezhou,1.203961
Meizhou,1.203840
Guigang,1.201191
Longyan,1.199935
Binzhou,1.199411
Tongren,1.198400
Meizhou,1.198200
Nyingchi,1.197161
Yangquan,1.197101
Chongzuo,1.195029
Liaocheng,1.194127
Putian,1.191935
Zhoukou,1.190357
Dehong,1.188881
Wuzhou,1.188133
New Taipei,1.181453
Shaoyang,1.181068
Zhumadian,1.180789
Rizhao,1.177863
Chaoyang,1.170697
Bazhong,1.170291
Yuncheng,1.169099
Shuozhou,1.164968
Benxi,1.163257
Heze,1.161510
Jiamusi,1.159726
Sanming,1.159030
Pingxiang,1.155269
Ankang,1.154539
Taichung,1.153441
Wenshan,1.152910
Yulin,1.151190
Huaibei,1.149246
Bayannur,1.148136
Huainan,1.148097
Yichun,1.148097
Lvliang,1.147092
Ili(Yili),1.146035
Tieling,1.144964
Hinggan,1.144964
Baishan,1.143878
Zhongwei,1.143878
Yongzhou,1.143380
Sanmenxia,1.142662
Xiuqian,1.142283
Shangqiu,1.139385
Fuyang,1.139325
Bozhou,1.139325
Hanzhong,1.136597
Fuxin,1.128245
Anshun,1.127480
Nantou,1.126018
Pingdong,1.125541
Gannan,1.124153
Zhaotong,1.123911
Laiwu,1.121733
Suihua,1.121012
Keramay,1.116818
Xiuzhou,1.113677
Liaoyang,1.113677
Changji,1.111934
Tonghua,1.110401
Hualien,1.110401
Daxinganling,1.106978
Lincang,1.104973
Xinyu,1.104968
Keelung,1.104055
Bayingolin,1.100551
Liupanshui,1.100551
Kashgar,1.100551
Shizuishan,1.100551
Qiannan,1.100551
Chiayi,1.100551
Aksu,1.100551
Shangluo,1.100551
Jiyuan,1.100551
Alty,1.099705
Tainan,1.098245
Hechi,1.095208
Wuzhong,1.092488
Yunlin,1.088421
Alxa,1.087030
Taidong,1.084702
Laibin,1.081377
Fuzhou,1.080545
Tianshui,1.076619
Kumul(Hami),1.071777
Songyuan,1.071777
Jixi,1.068884
Qamdo,1.062759
Qingyang,1.062759
Nujiang,1.062496
Yilan,1.060859
Hsinchu,1.059407
Yichun,1.059407
Heihe,1.052279
Bijie,1.050776
Penghu,1.048937
Zhangye,1.039944
Wuwei,1.038223
Baiyin,1.035266
Nagqu,1.033073
Kinmen,1.031679
Liaoyuan,1.030228
Shuangyashan,1.030228
Pingliang,1.020586
Jinchang,1.018794
Changhua,1.013649
Huangnan,1.012200
Dingxi,1.007371
Miaoli,1.004828
Haidong,1.002317
Tongchuan,1.001156
Golog,0.999413
Qitaihe,0.996449
Ngari,0.988809
Longnan,0.986717
Tacheng,0.979199
Bortala,0.975062
Yushuzhou,0.963191
Kezilsu,0.872873
