city,distance
Kunming,6.343658
Honghe,4.617888
Shanghai,3.401097
Chongqing,3.290334
Baise,3.164214
Qujing,3.164214
Beijing,3.015213
Weicu,3.015213
Chengdou,2.827551
Lijiang,2.827551
Yuxi,2.827551
Bangbu,2.555638
Dali,2.555638
Dongguan,2.555638
Qianxinan,2.555638
Shamen,2.555638
Nanning,2.074693
Xishuangbanna,2.072701
Baoshan,2.055703
Guangzhou,2.013267
Diqing,1.999013
Suzhou,1.930863
Hangzhou,1.908535
Guiyang,1.886049
Shenzhen,1.873482
Wuhan,1.869479
Changsha,1.838224
Nanjing,1.830002
Tianjin,1.826385
Xi'an,1.823941
Chongzuo,1.821502
Dehong,1.788012
Pu'er,1.779154
Wenzhou,1.726241
Hechi,1.724025
Qingdao,1.722304
Jiaxing,1.721761
Hong Kong,1.720306
Wuxi,1.695010
Changde,1.689945
Hefei,1.680308
Fangchenggang,1.677493
Changzhou,1.677493
Zhengzhou,1.675297
Lhasa,1.644998
Meizhou,1.644998
Zhaotong,1.644998
Ningbo,1.643492
Jinan,1.632582
Panzhihua,1.626031
Haikou,1.622660
Guilin,1.619223
Anshun,1.616202
Sanya,1.615716
Liupanshui,1.608492
Lincang,1.604743
Leshan,1.603900
Beihai,1.602926
Ngawa,1.600396
Fuzhou,1.597011
Liangshanzhou,1.597011
Huaihua,1.588906
Zhoushan,1.570135
Taipei,1.561871
Nantong,1.557077
Harbin,1.556889
Dalian,1.548298
Nanchang,1.546428
Lanzhou,1.540922
Taiyuan,1.540922
Xuzhou,1.537098
Urumqi,1.535213
Yibin,1.529284
Huzhou,1.524264
Shenyang,1.523115
Nujiang,1.516682
Zhuhai,1.516682
Langfang,1.508040
Jinhua,1.502919
Shaoxing,1.501584
Shijiazhuang,1.487726
Deyang,1.484233
Yangzhou,1.482961
Baoding,1.476624
Qinhuangdao,1.471939
Chuzhou,1.468523
Huizhou,1.463060
Qinzhou,1.463060
Taizhou,1.463060
Tongren,1.463060
Guang'an,1.462438
Yichang,1.460737
Mianyang,1.460151
Liuzhou,1.451370
Macau,1.451370
Qiandongnan,1.451370
Zhangzhou,1.450526
Quanzhou,1.449862
Zunyi,1.443097
Zhenjiang,1.442567
Hohhot,1.440553
Foshan,1.440553
Xining,1.440553
Dazhou,1.435751
Qiannan,1.430908
Huangshan,1.430188
Garze,1.417503
Yantai,1.415845
Tangshan,1.414118
Suining,1.412527
Huainan,1.409766
Ya'an,1.407608
Xiuzhou,1.407139
Jining,1.401462
Loudi,1.401462
Luoyang,1.401462
Zhongshan,1.401462
Luzhou,1.396824
Nanchong,1.395892
Zhangjiakou,1.393351
Ordos,1.385216
Anyang,1.385216
Changchun,1.385216
Neijiang,1.385142
Chengde,1.381844
Taizhou,1.378483
Longyan,1.368376
Jingdezhen,1.366481
Hengyang,1.366481
Shantou,1.366481
Taoyuan,1.366481
Yinchuan,1.366481
Yulin,1.366481
Zhuzhou,1.366481
Xiangxi,1.366409
Meishan,1.364423
Zigong,1.364000
Yancheng,1.361293
Zhanjiang,1.359771
Wuhai,1.357800
Enshi,1.357753
Bayannur,1.355238
Linyi,1.344230
Hanzhong,1.344230
Xiangyang,1.344230
Xianyang,1.344230
Yingtan,1.344230
Yulin,1.344230
Shangrao,1.328761
Cangzhou,1.320295
Ziyang,1.318852
Lianyungang,1.318497
Chifeng,1.316590
Nyingchi,1.316590
Taichung,1.316590
Hulunbuir,1.316590
Weifang,1.316590
Weihai,1.316590
Yichun,1.316590
Kaohsiung,1.316590
Ganzhou,1.316590
Zhangjiajie,1.315524
Wuhu,1.304763
Tai'an,1.302055
Xuancheng,1.296311
Zaozhuang,1.294749
Datong,1.294739
Lingshui,1.293583
Putian,1.293583
Xinyu,1.293583
Baotou,1.293583
Jilin,1.293583
Zhaoqing,1.293583
Dezhou,1.291756
Guangyuan,1.289885
Yiyang,1.289480
Hezhou,1.289480
Fuyang,1.287505
Maoming,1.279510
Jiaozuo,1.279510
Mudanjiang,1.279510
Pingdingshan,1.279510
Qingyuan,1.279510
Qionghai,1.279510
Quzhou,1.279510
Bijie,1.279510
Heyuan,1.279510
Jian,1.279510
Jieyang,1.279510
Huai'an,1.279510
Wuzhou,1.279510
Xiangtan,1.279510
Xiuqian,1.279510
Liaocheng,1.279510
Yan'an,1.279510
Jingzhou,1.279510
Jiangmen,1.279510
Yilan,1.279510
Dongying,1.279510
Yueyang,1.279510
Liaoyang,1.279510
Jiujiang,1.279510
Huludao,1.275818
Jinzhong,1.266465
Nanping,1.265487
Ankang,1.265465
Chizhou,1.265010
Huaibei,1.257203
Ulanqab,1.248700
Xinzhou,1.245238
Lishui,1.243667
Bozhou,1.234599
Kaifeng,1.234599
Handan,1.231593
Zibo,1.230230
