city,distance
Shanghai,5.930800
Hangzhou,3.897551
Taizhou,3.883089
Ningbo,3.777392
Beijing,3.260198
Ningde,3.090678
Jinhua,3.006578
Fuzhou,2.957147
Shamen,2.947776
Jiaxing,2.857044
Shaoxing,2.818043
Lishui,2.767124
Hong Kong,2.701004
Guangzhou,2.649616
Suzhou,2.613783
Kunming,2.584094
Wuhan,2.547869
Nanjing,2.523785
Wuxi,2.460394
Shenzhen,2.454691
Huzhou,2.425024
Qingdao,2.358705
Quanzhou,2.344061
Chengdou,2.336533
Chongqing,2.321035
Zhoushan,2.313049
Sanya,2.270419
Changsha,2.222243
Jinan,2.222243
Xi'an,2.222243
Putian,2.166424
Tianjin,2.166424
Hefei,2.127848
Quzhou,2.113890
Nanchang,2.099286
Taipei,2.099286
Changzhou,2.083958
Shenyang,2.050758
Harbin,2.032645
Nantong,2.013314
Zhengzhou,2.013314
Haikou,1.970105
Dongguan,1.918538
Dalian,1.888222
Guilin,1.888222
Huangshi,1.888222
Taiyuan,1.888222
Urumqi,1.888222
Yangzhou,1.888222
Zhenjiang,1.888222
Zhuhai,1.888222
Huangshan,1.853581
Jining,1.853581
Macau,1.853581
Changchun,1.853581
Guiyang,1.812875
Bangbu,1.812875
Nanping,1.812875
Shangrao,1.812875
Taoyuan,1.812875
Zhangzhou,1.812875
Zhongshan,1.812875
Huizhou,1.762961
Lanzhou,1.762961
Lijiang,1.762961
Nanning,1.762961
Shantou,1.762961
Wuhu,1.762961
Xuancheng,1.762961
Xuzhou,1.762961
Taizhou,1.701129
Chaozhou,1.697105
Hohhot,1.697105
Jian,1.697105
Jiangmen,1.697105
Jiujiang,1.697105
Lhasa,1.697105
Linyi,1.697105
Qingyuan,1.697105
Anqing,1.697105
Shijiazhuang,1.697105
Tangshan,1.697105
Weifang,1.697105
Xiangxi,1.697105
Xianning,1.697105
Xiuzhou,1.697105
Foshan,1.697105
Yingtan,1.697105
Zhangjiakou,1.697105
Zibo,1.697105
Yancheng,1.641540
Fuyang,1.595233
Huai'an,1.595233
Chizhou,1.595233
Fuzhou,1.595233
Jiaozuo,1.595233
Jiayuguan,1.595233
Jilin,1.595233
Jingdezhen,1.595233
Jingmen,1.595233
Jinzhou,1.595233
Jiuquan,1.595233
Ganzhou,1.595233
Lianyungang,1.595233
Liuzhou,1.595233
Longyan,1.595233
Loudi,1.595233
Ma'anshan,1.595233
Mianyang,1.595233
Bozhou,1.595233
Dongying,1.595233
New Taipei,1.595233
Ngawa,1.595233
Ordos,1.595233
Pingxiang,1.595233
Qamdo,1.595233
Sanming,1.595233
Shaoguan,1.595233
Baishan,1.595233
Fushun,1.595233
Dezhou,1.595233
Tongling,1.595233
Chongzuo,1.595233
Wanning,1.595233
Weihai,1.595233
Datong,1.595233
Xiangtan,1.595233
Xiangyang,1.595233
Xining,1.595233
Xinzhou,1.595233
Xiuqian,1.595233
Xuchang,1.595233
Yangjiang,1.595233
Yantai,1.595233
Yichang,1.595233
Yichun,1.595233
Yinchuan,1.595233
Yongzhou,1.595233
Zaozhuang,1.595233
Zhangjiajie,1.595233
Zhanjiang,1.595233
Dali,1.595233
Zigong,1.595233
Zunyi,1.595233
Langfang,1.566930
Baoding,1.533040
Qinhuangdao,1.527991
Luoyang,1.479675
Tai'an,1.473653
Weicu,1.468115
Beihai,1.467362
Chuzhou,1.459120
Kaohsiung,1.456134
Leshan,1.433072
Chengde,1.431129
Diqing,1.414923
Xishuangbanna,1.404875
Baoshan,1.397045
Yuxi,1.396583
Xianyang,1.394095
Rizhao,1.393666
Baotou,1.390581
Jieyang,1.389640
Yanbian,1.377749
Taichung,1.367997
Cangzhou,1.365216
Lu'an,1.363784
Weinan,1.360442
Zhuzhou,1.359011
Honghe,1.358581
Jingzhou,1.358341
Qujing,1.358263
Baoji,1.357889
Kaifeng,1.356134
Huanggang,1.351640
