city,distance
Beijing,4.521733
Hohhot,4.292990
Yinchuan,4.199705
Bayannur,4.067017
Ordos,3.883876
Shizuishan,3.417891
Alxa,3.417891
Shanghai,3.358498
Baotou,3.295199
Tianjin,3.153431
Qianxinan,2.877742
Wuhan,2.877742
Xi'an,2.877742
Hong Kong,2.753971
Lanzhou,2.753971
Haikou,2.596570
Hulunbuir,2.596570
Zhangjiakou,2.596570
Zhengzhou,2.596570
Zhongwei,2.596570
Datong,2.365452
Hangzhou,2.365452
Jiayuguan,2.365452
Kashgar,2.365452
Kunming,2.365452
Mudanjiang,2.365452
Nanjing,2.365452
Shenyang,2.365452
Shijiazhuang,2.365452
Suzhou,2.365452
Taipei,2.365452
Ulanqab,2.365452
Wuzhong,2.365452
Xining,2.365452
Guiyang,1.938672
Guangzhou,1.837795
Langfang,1.809578
Yulin,1.809436
Chengdou,1.808098
Urumqi,1.797083
Xilingol,1.765564
Qingdao,1.765226
Baoding,1.764531
Jinan,1.762782
Jiuquan,1.759044
Qinhuangdao,1.757845
Shenzhen,1.745958
Anshun,1.739319
Shamen,1.731480
Jiaxing,1.710776
Dalian,1.695614
Taiyuan,1.694902
Harbin,1.687211
Wuxi,1.684363
Jinchang,1.676494
Tangshan,1.676005
Sanya,1.671638
Chongqing,1.669530
New Taipei,1.652243
Changsha,1.637051
Changzhou,1.634325
Ningbo,1.633481
Chengde,1.630860
Xianyang,1.626518
Changchun,1.622983
Guyuan,1.620264
Chifeng,1.612093
Huizhou,1.602014
Hinggan,1.589486
Weinan,1.580893
Baoji,1.577447
Zhangye,1.574988
Hefei,1.574851
Zhoushan,1.560995
Luoyang,1.560579
Nanchang,1.555768
Yantai,1.555157
Qionghai,1.553444
Nantong,1.548088
Jinhua,1.547447
Qujing,1.547447
Cangzhou,1.545813
Taoyuan,1.531198
Fuzhou,1.528045
Qiannan,1.526578
Guilin,1.522997
Kaifeng,1.522074
Tai'an,1.520869
Dongying,1.519895
Huzhou,1.515648
Lijiang,1.515284
Macau,1.512672
Tongliao,1.506796
Kezilsu,1.505883
Nanning,1.504227
Yichang,1.496388
Shaoxing,1.493223
Xianning,1.490091
Yan'an,1.486574
Huludao,1.485193
Zhuhai,1.484213
Haixi,1.480319
Yanbian,1.475304
Dali,1.474815
Yangzhou,1.474805
Lhasa,1.473173
Jinzhong,1.472533
Weifang,1.471511
Tianshui,1.470928
Xuzhou,1.469291
Shuozhou,1.468140
Dezhou,1.463030
Leshan,1.462300
Yueyang,1.462300
Pingliang,1.454086
Weihai,1.454052
Jining,1.450839
Jingzhou,1.446755
Xinzhou,1.445195
Xinxiang,1.443107
Haibei,1.439872
Ngawa,1.439363
Huanggang,1.439156
Gannan,1.438417
Xiangyang,1.436379
Jiaozuo,1.435210
Qiqihar,1.435124
Zhenjiang,1.434848
Wanning,1.432573
Xiaogan,1.430646
Huangshi,1.428602
Handan,1.425600
Wenzhou,1.425297
Aksu,1.425128
Zibo,1.423773
Wuwei,1.423645
Huangshan,1.422601
Jinzhou,1.417493
Jilin,1.416524
Wenchang,1.414752
Ngari,1.413062
Hengshui,1.407458
Hanzhong,1.403178
Jiujiang,1.402851
Dingxi,1.396212
Weicu,1.394866
Taizhou,1.394728
Hotan,1.394100
Shiyan,1.393568
Dandong,1.393486
Linxia,1.393291
Xingtai,1.389935
Baiyin,1.389610
Fushun,1.386854
Zaozhuang,1.385451
Zhangjiajie,1.385451
Linfen,1.384472
Pu'er,1.384472
Wuhu,1.384472
Bangbu,1.384472
Ankang,1.379523
Yancheng,1.377537
Yuncheng,1.377537
Anshan,1.375722
Linyi,1.375508
Anyang,1.372775
Taichung,1.372222
Taizhou,1.371433
Liupanshui,1.369268
Qiandongnan,1.369268
Baise,1.369268
Foshan,1.368076
Daxinganling,1.367851
Ezhou,1.362919
Quanzhou,1.360660
Daqing,1.360149
Jixi,1.355994
Panjin,1.355444
Jingmen,1.354895
Keelung,1.353890
Huai'an,1.348861
Danzhou,1.348504
Pingdingshan,1.346025
Diqing,1.344841
Dongguan,1.344256
Yingkou,1.343075
Shangluo,1.342942
Xuchang,1.341648
Zhanjiang,1.341071
Lianyungang,1.338843
Hsinchu,1.338275
Tieling,1.338048
Yangquan,1.338048
Bayingolin,1.338048
Xishuangbanna,1.337656
Fuxin,1.336997
Kaohsiung,1.335387
Nanping,1.335086
Shangqiu,1.332838
Enshi,1.330989
Baoshan,1.330555
Yuxi,1.330136
Sanmenxia,1.329215
Liaoyang,1.327403
Binzhou,1.325108
Turpan,1.324613
Xinyang,1.323588
Benxi,1.322342
Shangrao,1.322289
Liaocheng,1.318662
Ili(Yili),1.313489
Mianyang,1.313374
Yilan,1.313133
Liuzhou,1.312598
Jian,1.311028
Chengmai,1.309631
Beihai,1.307818
Hualien,1.305742
Tongchuan,1.302183
Wenshan,1.302175
Changji,1.299767
Nanyang,1.299767
Xiangxi,1.299348
Rizhao,1.298463
Zhongshan,1.296671
Lingshui,1.295671
Honghe,1.295619
Nagqu,1.294451
Dingan,1.294001
Luohe,1.291850
Changzhi,1.291105
Chaoyang,1.290148
Xuancheng,1.290074
Suizhou,1.289919
Chuzhou,1.288208
Jingdezhen,1.285228
Haidong,1.282987
Huangnan,1.281462
Heze,1.279000
