city,distance
Shanghai,5.070483
Beijing,4.305538
Guangzhou,3.280781
Changsha,3.241306
Yichang,3.117389
Xianning,3.090184
Shenzhen,2.996576
Nanjing,2.992287
Chengdou,2.937921
Hefei,2.913479
Jingzhou,2.909453
Hangzhou,2.901328
Huanggang,2.878880
Xiangyang,2.867792
Xiaogan,2.845028
Huangshi,2.836955
Chongqing,2.777307
Xi'an,2.761177
Shamen,2.724269
Shiyan,2.702062
Zhengzhou,2.697514
Hong Kong,2.664586
Nanchang,2.652327
Suzhou,2.602975
Ezhou,2.589167
Jingmen,2.560362
Yueyang,2.557387
Jiujiang,2.542237
Enshi,2.476311
Kunming,2.476311
Tianjin,2.474537
Qingdao,2.470968
Xinyang,2.450815
Ningbo,2.409582
Sanya,2.401261
Wuxi,2.397038
Zhuhai,2.361625
Suizhou,2.337825
Nanning,2.325371
Jinan,2.315115
Fuzhou,2.296488
Shenyang,2.265235
Xiangxi,2.265235
Guilin,2.262260
Lu'an,2.262260
Shijiazhuang,2.256236
Changzhou,2.256236
Jiaxing,2.253186
Dongguan,2.243882
Dalian,2.227819
Jinhua,2.207532
Haikou,2.204034
Wenzhou,2.204034
Guiyang,2.196929
Lanzhou,2.185988
Hengyang,2.158994
Luoyang,2.125169
Zhuzhou,2.111505
Urumqi,2.102055
Zhenjiang,2.102055
Zhongshan,2.097220
Lijiang,2.087317
Harbin,2.082242
Zhumadian,2.071832
Huangshan,2.061048
Yangzhou,2.061048
Shangrao,2.055506
Shaoxing,2.055506
Taiyuan,2.044099
Baoding,2.044099
Taipei,2.038224
Foshan,2.038224
Zhangjiajie,2.038224
Shaoguan,2.032227
Xuzhou,2.026103
Changchun,2.019844
Fangchenggang,2.019844
Hohhot,2.006896
Quanzhou,2.006896
Macau,2.000190
Kaifeng,1.993318
Xining,1.993318
Huaihua,1.986271
Nanyang,1.979036
Liuzhou,1.971603
Changde,1.956088
Jining,1.947975
Luohe,1.947975
Anqing,1.947975
Jingdezhen,1.939602
Ngawa,1.939602
Ankang,1.930948
Xinxiang,1.930948
Chenzhou,1.921993
Yinchuan,1.921993
Nantong,1.912709
Wuhu,1.912709
Taizhou,1.903067
Taoyuan,1.903067
Weifang,1.903067
Yantai,1.903067
Anyang,1.882576
Qinhuangdao,1.871642
Tai'an,1.871642
Xuchang,1.871642
Handan,1.860184
Xiangtan,1.860184
Zhoushan,1.860184
Huzhou,1.848139
Dali,1.848139
Lianyungang,1.848139
Tangshan,1.848139
Baoji,1.848139
Langfang,1.835434
Loudi,1.835434
Dazhou,1.835434
Ganzhou,1.835434
Fuyang,1.835434
Pingdingshan,1.821980
Liupanshui,1.807669
Qingyuan,1.807669
Yichun,1.807669
Yongzhou,1.807669
Zhangzhou,1.807669
Huizhou,1.792365
Shangqiu,1.792365
Xianyang,1.792365
Xingtai,1.792365
Yingtan,1.792365
Lhasa,1.775895
Weihai,1.775895
Jiaozuo,1.775895
Chuzhou,1.775895
Zhanjiang,1.775895
Jinzhong,1.758038
Ma'anshan,1.758038
Pingxiang,1.758038
Taizhou,1.758038
Yancheng,1.758038
Yiyang,1.758038
Yulin,1.758038
Bangbu,1.738496
Nanping,1.738496
Binzhou,1.738496
Quzhou,1.738496
Shantou,1.738496
Tongling,1.738496
Chengde,1.738496
Longyan,1.716859
Ordos,1.716859
Jian,1.716859
Jieyang,1.716859
