city,distance
Lanzhou,5.799897
Jinchang,3.855763
Jiuquan,3.823095
Zhangye,3.789622
Shanghai,3.290334
Xi'an,3.290334
Wuxi,2.968895
Beijing,2.884144
Dingxi,2.884144
Langfang,2.884144
Jiayuguan,2.786780
Taiyuan,2.786780
Tianshui,2.786780
Kumul(Hami),2.670552
Yinchuan,2.670552
Guangzhou,2.522286
Hong Kong,2.522286
Qiannan,2.522286
Shangqiu,2.522286
Shizuishan,2.522286
Wuhan,2.522286
Baoji,2.522286
Zhengzhou,2.522286
Zhongwei,2.522286
Xining,2.331427
Chengdou,2.303646
Chongqing,2.303646
Dazhou,2.303646
Fuzhou,2.303646
Guangyuan,2.303646
Haixi,2.303646
Hanzhong,2.303646
Alxa,2.303646
Baoding,2.303646
Lhasa,2.303646
Lvliang,2.303646
Nanjing,2.303646
Pingliang,2.303646
Baotou,2.303646
Sanmenxia,2.303646
Bayingolin,2.303646
Suzhou,2.303646
Turpan,2.303646
Urumqi,2.303646
Wuzhong,2.303646
Yulin,2.303646
Gannan,1.982108
Hangzhou,1.960175
Linxia,1.897426
Baiyin,1.857828
Haibei,1.852323
Ngawa,1.827990
Guiyang,1.800568
Hefei,1.796449
Tianjin,1.759536
Xianyang,1.750590
Bayannur,1.740661
Weinan,1.697851
Jiaxing,1.692911
Jinzhong,1.682870
Nagqu,1.677676
Qiandongnan,1.654932
Changsha,1.650273
Shamen,1.645615
Shenzhen,1.644260
Kunming,1.638037
Qingdao,1.638037
Changzhou,1.631440
Ningbo,1.617186
Jinan,1.610673
Longnan,1.610673
Shenyang,1.603094
Yan'an,1.586970
Xuzhou,1.578055
Qingyang,1.568783
Kaifeng,1.565384
Haidong,1.558944
Shijiazhuang,1.558944
Zigong,1.558944
Foshan,1.558830
Hohhot,1.553965
Xinzhou,1.552060
Sanya,1.548455
Bangbu,1.548455
Zhoushan,1.546108
Taipei,1.537211
Nantong,1.533445
Luoyang,1.533436
Jinhua,1.525081
Nyingchi,1.515247
Mianyang,1.513092
Nanchong,1.510881
Huzhou,1.501609
Ili(Yili),1.501399
Guyuan,1.492398
Datong,1.485239
Harbin,1.481338
Dalian,1.481338
Guilin,1.481338
Xiangyang,1.481338
Shaoxing,1.479594
Ordos,1.479331
Ankang,1.467751
Yangzhou,1.461509
Heze,1.458927
Tangshan,1.454283
Shannan,1.446239
Nanchang,1.442311
Nanning,1.442311
Weifang,1.442311
Xilingol,1.442311
Zhongshan,1.442311
Macau,1.440018
Qinhuangdao,1.439994
Dongguan,1.429837
Taizhou,1.428750
Shangluo,1.426412
Shiyan,1.425613
Aksu,1.424208
