city,distance
Yinchuan,5.357378
Keramay,4.186779
Hohhot,3.921933
Jiuquan,3.624335
Baotou,3.442626
Jiayuguan,3.391887
Shanghai,3.338400
Wuhai,3.338400
Zhongwei,3.281714
Jinchang,3.156241
Lanzhou,3.156241
Bayannur,3.007972
Zhangye,2.921008
Ordos,2.702128
Shizuishan,2.702128
Suzhou,2.702128
Xi'an,2.702128
Yulin,2.702128
Chengdou,2.550434
Hangzhou,2.550434
Ulanqab,2.550434
Dalian,2.327103
Linfen,2.327103
Nanjing,2.327103
Pu'er,2.327103
Urumqi,2.327103
Weifang,2.327103
Wuhan,2.327103
Wuhu,2.327103
Wuwei,2.327103
Xining,2.327103
Bangbu,2.327103
Wuzhong,2.035412
Tianjin,2.028587
Zhengzhou,1.951282
Guyuan,1.767629
Guangzhou,1.762424
Chongqing,1.745980
Hong Kong,1.734823
Langfang,1.723292
Jiaxing,1.705545
Xilingol,1.699439
Hulunbuir,1.692039
Haixi,1.689049
Qingdao,1.683022
Baoding,1.682389
Jinan,1.680799
Wuxi,1.679292
Taiyuan,1.678698
Xianyang,1.678698
Shijiazhuang,1.677903
Qinhuangdao,1.676310
Shenzhen,1.665497
Shamen,1.657551
Shenyang,1.655072
Datong,1.644266
Kunming,1.641966
Changzhou,1.629551
Ningbo,1.628711
Xishuangbanna,1.620126
Haibei,1.617255
Zhangjiakou,1.607254
Kumul(Hami),1.603614
Tangshan,1.601725
Harbin,1.596611
Yan'an,1.585932
Tianshui,1.578373
Pingliang,1.571676
Turpan,1.571008
Shiyan,1.568783
Changsha,1.566111
Chengde,1.560444
Sanya,1.558941
Chifeng,1.556784
Zhoushan,1.556639
Changchun,1.553231
Qianxinan,1.545501
Nantong,1.543804
Taipei,1.541309
Gannan,1.541000
Hinggan,1.535691
Weinan,1.526396
Baoji,1.523183
Shaoxing,1.523087
Yichang,1.519122
Huzhou,1.511541
Leshan,1.510786
Hefei,1.509091
Ngawa,1.507677
Baiyin,1.505589
Jinzhong,1.496619
Guiyang,1.496619
Dingxi,1.492661
Nanchang,1.491560
Yantai,1.490997
Lhasa,1.489324
Linxia,1.489324
Cangzhou,1.482407
Yangzhou,1.470916
Dongying,1.470634
Yuncheng,1.468983
Fuzhou,1.466059
Guilin,1.461412
Haikou,1.460562
Tai'an,1.459451
Tongliao,1.458367
Zibo,1.455271
Xuzhou,1.451371
Jinhua,1.451339
Lijiang,1.447984
Lvliang,1.447842
Taoyuan,1.440736
Nanning,1.437955
Huangshan,1.436980
Bayingolin,1.436980
Tieling,1.436980
Yangquan,1.436980
Changji,1.432606
Zhenjiang,1.431167
Huludao,1.426568
Zhuhai,1.425664
Wenzhou,1.413241
Alty,1.412371
Luoyang,1.409239
Huizhou,1.406898
Dezhou,1.406108
Deyang,1.404148
Yuxi,1.403838
Weihai,1.397813
Jining,1.394844
Kaifeng,1.392922
Mianyang,1.392922
Nanyang,1.392922
Sanmenxia,1.392922
Foshan,1.392922
Xiangyang,1.392922
Xinyang,1.392922
Hotan,1.392922
Zhangjiajie,1.392922
Taizhou,1.391249
