city,distance
Shanghai,4.908385
Beijing,4.597277
Jilin,4.420597
Shenyang,3.656868
Harbin,3.581577
Yanbian,3.090315
Dalian,3.058436
Siping,3.054083
Baishan,2.839281
Songyuan,2.783245
Tonghua,2.783245
Tianjin,2.749722
Guangzhou,2.684014
Hangzhou,2.635444
Shenzhen,2.547905
Tieling,2.542844
Jinan,2.527336
Nanjing,2.516711
Qinhuangdao,2.516711
Zhengzhou,2.477503
Qingdao,2.440988
Chengdou,2.394149
Liaoyuan,2.349384
Suzhou,2.341420
Wuhan,2.324997
Shamen,2.316522
Shijiazhuang,2.298994
Daqing,2.289921
Tangshan,2.280625
Hong Kong,2.261309
Weifang,2.259577
Shuangyashan,2.251258
Xi'an,2.251258
Huludao,2.240922
Baicheng,2.240922
Chongqing,2.196288
Jiaxing,2.196288
Mudanjiang,2.196288
Anshan,2.196288
Sanya,2.171610
Qiqihar,2.144968
Wuxi,2.130786
Jinzhou,2.100377
Ningbo,2.083982
Panjin,2.083982
Taiyuan,2.083982
Hulunbuir,2.066655
Tongliao,2.028634
Hinggan,2.007562
Yantai,2.007562
Taipei,1.984772
Changzhou,1.984772
Fushun,1.959899
Fuzhou,1.959899
Jiamusi,1.959899
Nyingchi,1.959899
Dandong,1.959899
Urumqi,1.959899
Zhenjiang,1.959899
Hefei,1.932445
Changsha,1.932445
Linyi,1.932445
Yangzhou,1.932445
Kunming,1.901692
Langfang,1.901692
Lhasa,1.901692
Lijiang,1.901692
Nantong,1.901692
Chifeng,1.901692
Benxi,1.901692
Xuzhou,1.901692
Chengde,1.901692
Yichun,1.901692
Guilin,1.866559
Guiyang,1.866559
Liaoyang,1.866559
Nanchang,1.866559
Shaoxing,1.866559
Baoji,1.866559
Taizhou,1.866559
Wenzhou,1.866559
Fuxin,1.866559
Zhuhai,1.866559
Zhoushan,1.829498
Haikou,1.825287
Hegang,1.825287
Huzhou,1.825287
Chaoyang,1.825287
Jixi,1.825287
Lanzhou,1.825287
Baotou,1.825287
Nanning,1.825287
Foshan,1.825287
Ordos,1.825287
Suihua,1.825287
Taoyuan,1.825287
Yancheng,1.825287
Baoding,1.775919
Jinhua,1.774697
Luoyang,1.774697
Anqing,1.774697
Tai'an,1.774697
Cangzhou,1.774697
Weihai,1.774697
Bangbu,1.774697
Yichang,1.774697
Datong,1.774697
Dezhou,1.774697
Huai'an,1.707978
Daxinganling,1.707978
Jiayuguan,1.707978
Jieyang,1.707978
Kaifeng,1.707978
Handan,1.707978
Macau,1.707978
Qamdo,1.707978
Qitaihe,1.707978
Rizhao,1.707978
Beihai,1.707978
Ankang,1.707978
Taizhou,1.707978
Chuzhou,1.707978
Weifang,1.707978
Wuzhou,1.707978
Xianyang,1.707978
Xiuzhou,1.707978
Yingkou,1.707978
Yingtan,1.707978
Zaozhuang,1.707978
Zhangjiakou,1.707978
Zhongwei,1.707978
Zhoukou,1.707978
Zibo,1.707978
Huangshan,1.642255
Jingdezhen,1.604836
Jining,1.604836
Jinzhong,1.604836
Chiayi,1.604836
Jiyuan,1.604836
Dongguan,1.604836
Hualien,1.604836
Leshan,1.604836
Ganzhou,1.604836
Diqing,1.604836
