city,distance
Shanghai,6.534175
Suzhou,4.204410
Changzhou,3.621484
Nanjing,3.535000
Beijing,2.976701
Hangzhou,2.955745
Yangzhou,2.768557
Taizhou,2.754162
Zhenjiang,2.727098
Jiaxing,2.555777
Nantong,2.497746
Huzhou,2.412598
Ningbo,2.301850
Guangzhou,2.268121
Chengdou,2.265040
Shamen,2.260368
Hong Kong,2.242711
Wuhan,2.210004
Hefei,2.206378
Shenzhen,2.197143
Huai'an,2.173907
Xuzhou,2.171897
Xi'an,2.131176
Chongqing,2.117175
Tianjin,2.107485
Yancheng,2.105015
Shaoxing,2.094934
Huangshan,2.065366
Qingdao,2.053849
Wuhu,2.050899
Jinhua,2.029364
Zhoushan,2.016509
Zhengzhou,2.009525
Jinan,2.006079
Wenzhou,1.988175
Lianyungang,1.972958
Shenyang,1.956828
Bangbu,1.939647
Sanya,1.939647
Chuzhou,1.935168
Xuancheng,1.916427
Dalian,1.906507
Kunming,1.906507
Taizhou,1.890843
Taipei,1.865769
Quzhou,1.856106
Jiuquan,1.849787
Fuzhou,1.836608
Changsha,1.836608
Linyi,1.822623
Dongying,1.815290
Jining,1.815290
Nanchang,1.815290
Taoyuan,1.807709
Ma'anshan,1.791713
Tai'an,1.791713
Dongguan,1.774439
Lu'an,1.765246
Xiuqian,1.765246
Harbin,1.755629
Lijiang,1.755629
Macau,1.755629
Changchun,1.755629
Guilin,1.745544
Luoyang,1.745544
Shangrao,1.745544
Guiyang,1.734933
Xiuzhou,1.723732
Chizhou,1.711861
Shijiazhuang,1.711861
Lishui,1.699222
Nanning,1.699222
Anqing,1.685692
Zaozhuang,1.685692
Zunyi,1.685692
Lhasa,1.671116
Taiyuan,1.671116
Nanping,1.655294
Yinchuan,1.655294
Zhongshan,1.655294
Zhuhai,1.655294
Tongling,1.637958
Weifang,1.637958
Weihai,1.637958
Xiangxi,1.637958
Yantai,1.634898
Urumqi,1.630879
Haikou,1.625177
Lanzhou,1.621699
Dezhou,1.618738
Huainan,1.618738
Datong,1.618738
Quanzhou,1.618738
Shangqiu,1.618738
Tangshan,1.618738
Weinan,1.618738
Zibo,1.618738
Zhangjiajie,1.615060
Jiujiang,1.597103
Langfang,1.597103
Pingxiang,1.597103
Qinhuangdao,1.597103
Rizhao,1.597103
Wuwei,1.597103
Xiangyang,1.597103
Hohhot,1.572250
Huanggang,1.572250
Bozhou,1.572250
Jingdezhen,1.572250
Kaifeng,1.572250
Nyingchi,1.572250
Xining,1.572250
Xinyang,1.572250
Huizhou,1.542865
Jian,1.542865
Jingzhou,1.542865
New Taipei,1.542865
Cangzhou,1.542865
Taichung,1.542865
Huaibei,1.542865
Ngawa,1.533078
Hulunbuir,1.506563
Hualien,1.506563
Jieyang,1.506563
Laiwu,1.506563
Dali,1.506563
Ningde,1.506563
Sanmenxia,1.506563
Sanming,1.506563
Shantou,1.506563
Foshan,1.506563
Fuyang,1.506563
Xianyang,1.506563
Yingtan,1.506563
Zhangzhou,1.506563
Beihai,1.501670
Yichang,1.493232
Kaohsiung,1.489912
Baoding,1.467328
Jinzhong,1.458207
Jinzhou,1.458207
Jiamusi,1.458207
Hengshui,1.458207
Longyan,1.458207
Mianyang,1.458207
Nanyang,1.458207
Pingdong,1.458207
Qiannan,1.458207
Anyang,1.458207
Daqing,1.458207
Baotou,1.458207
Diqing,1.458207
Handan,1.458207
Xishuangbanna,1.458207
Yanbian,1.458207
Anshun,1.458207
Jingmen,1.458207
Yueyang,1.458207
Zhoukou,1.458207
Zhuzhou,1.458207
Liuzhou,1.447869
Leshan,1.405856
Baoji,1.385387
Zhangjiakou,1.385070
Linxia,1.382356
Gannan,1.382356
Benxi,1.382356
Loudi,1.382356
Maoming,1.382356
Meizhou,1.382356
Jixi,1.382356
Garze,1.382356
Nantou,1.382356
Huludao,1.382356
Jiangmen,1.382356
Pingdingshan,1.382356
Hsinchu,1.382356
Hengyang,1.382356
Honghe,1.382356
Qingyuan,1.382356
Qionghai,1.382356
Hanzhong,1.382356
Jiaozuo,1.382356
Sansha,1.382356
Chaozhou,1.382356
Baoshan,1.382356
Aksu,1.382356
Haixi,1.382356
Jiayuguan,1.382356
Shaoyang,1.382356
Ganzhou,1.382356
Chiayi,1.382356
Changde,1.382356
Turpan,1.382356
Chengde,1.382356
Jilin,1.382356
Xiangtan,1.382356
Enshi,1.382356
Hinggan,1.382356
Xianning,1.382356
Xiaogan,1.382356
Xingtai,1.382356
Xinxiang,1.382356
Xinyu,1.382356
Xinzhou,1.382356
Deyang,1.382356
Yan'an,1.382356
Yangjiang,1.382356
Dandong,1.382356
Yilan,1.382356
Yingkou,1.382356
Changzhi,1.382356
Zhangye,1.382356
Zhanjiang,1.382356
Guang'an,1.382356
Ledong,1.382356
Ziyang,1.382356
Fuzhou,1.382356
Ordos,1.376380
Yichun,1.359866
Shaoguan,1.356047
Hezhou,1.348012
Wanning,1.346817
Panjin,1.344390
Suihua,1.343775
Putian,1.323587
Shiyan,1.318302
Tainan,1.317526
Anshan,1.312751
Liaocheng,1.312751
Mudanjiang,1.306040
Yuncheng,1.306040
Yunlin,1.303411
Qiandongnan,1.297954
Yibin,1.286117
Huangshi,1.279655
Qiqihar,1.276267
Alty,1.273944
Weicu,1.271567
Chifeng,1.260122
Baishan,1.258766
Chongzuo,1.254583
Zhaoqing,1.253148
Ya'an,1.252732
Luzhou,1.248715
Penghu,1.247192
Kashgar,1.244072
Tianshui,1.244072
Ili(Yili),1.242473
Keelung,1.242473
Shuozhou,1.240848
Fushun,1.239195
Huaihua,1.232283
Taidong,1.228630
Binzhou,1.226748
Nagqu,1.224829
Nanchong,1.224566
Kinmen,1.222870
Linfen,1.220868
Liangshanzhou,1.218823
Yichun,1.218823
Meishan,1.218412
Tongliao,1.216732
Bayingolin,1.214593
Keramay,1.214593
Chenzhou,1.214593
Ezhou,1.210158
Shannan,1.207858
Zhongwei,1.207858
Neijiang,1.203270
Haibei,1.203076
Xilingol,1.196273
Heze,1.195390
Qinzhou,1.189873
Yulin,1.189873
Fangchenggang,1.189873
Liaoyang,1.189873
Suining,1.189555
Ulanqab,1.186979
Daxinganling,1.186979
Tieling,1.183987
Ankang,1.181170
Heyuan,1.180888
Xuchang,1.180888
Yiyang,1.180888
Baise,1.177675
Dazhou,1.177675
Zhumadian,1.177675
Dehong,1.174338
Qujing,1.174338
Bayannur,1.174338
Zigong,1.174179
Yuxi,1.171550
Jincheng,1.170865
Pu'er,1.167245
Miaoli,1.163464
Lingshui,1.163464
Chaoyang,1.163464
Yongzhou,1.163464
Suizhou,1.159504
Guangyuan,1.158624
Luohe,1.155347
Shizuishan,1.155347
Shangluo,1.154250
Hechi,1.150971
Yangquan,1.148036
Puyang,1.146348
Heihe,1.146348
Baoting,1.146348
Siping,1.141448
Fuxin,1.136230
Changji,1.136230
Jiyuan,1.136230
Qamdo,1.133252
Tieling,1.131606
Hotan,1.130648
Songyuan,1.130648
Wenchang,1.130648
Lincang,1.130648
Liaoyuan,1.130648
Jinchang,1.129324
Kumul(Hami),1.125769
Lvliang,1.124641
Hebi,1.124641
Yulin,1.124641
Alxa,1.124641
Haidong,1.124641
Changhua,1.124641
Bortala,1.124641
Tongchuan,1.124011
Baiyin,1.118135
Qianxinan,1.118135
Wuhai,1.118135
Shanwei,1.113093
Danzhou,1.111029
Dingxi,1.111029
Panzhihua,1.111029
Tongren,1.103192
Shuangyashan,1.103192
Baicheng,1.103192
Wuzhong,1.100395
Hegang,1.094440
Bijie,1.094440
Tonghua,1.094440
Guigang,1.094440
Golog,1.084507
Wenshan,1.084507
Pingliang,1.084507
Yunfu,1.074763
Bazhong,1.073244
Liupanshui,1.072990
Zhaotong,1.072990
Dongfang,1.059222
Ngari,1.059222
Qitaihe,1.059222
Laibin,1.059222
Qingyang,1.052073
Dingan,1.041985
Huangnan,1.041985
Guyuan,1.041985
Wuzhishan,1.035721
Kezilsu,1.020111
Longnan,1.018623
