city,distance
Sanya,6.498823
Haikou,4.553314
Qionghai,3.629566
Baoting,3.297652
Lingshui,3.297652
Shanghai,3.224679
Danzhou,3.074487
Qiongzhong,3.074487
Ledong,2.755684
Shamen,2.755684
Zhanjiang,2.755684
Beijing,2.469836
Wanning,2.237545
Guangzhou,2.064329
Hangzhou,1.957070
Suzhou,1.872698
Shenzhen,1.859894
Wuhan,1.847775
Wenchang,1.847287
Nanjing,1.833669
Chengdou,1.828315
Tianjin,1.820040
Chongqing,1.817212
Hong Kong,1.799446
Chengmai,1.798902
Changsha,1.745338
Xi'an,1.724363
Jiaxing,1.675361
Wuxi,1.652906
Dingan,1.646649
Harbin,1.636014
Kunming,1.632434
Ningbo,1.632434
Zhengzhou,1.632434
Nanning,1.629492
Guiyang,1.625047
Changzhou,1.605071
Weinan,1.603629
Wenzhou,1.596374
Fuzhou,1.587201
Nanchang,1.587201
Zhuhai,1.587201
Guilin,1.577488
Shenyang,1.577488
Urumqi,1.577488
Jinan,1.567159
Shijiazhuang,1.556121
Zhoushan,1.556121
Dongfang,1.550299
Maoming,1.546727
Changchun,1.537962
Qingdao,1.531404
Nantong,1.519031
Taiyuan,1.517373
Zhangzhou,1.512860
Quanzhou,1.512138
Taipei,1.509833
Zaozhuang,1.503522
Changjiang,1.503522
Dalian,1.501889
Hefei,1.501889
Yangjiang,1.498806
Dali,1.493488
Beihai,1.492455
Huzhou,1.487785
Tongliao,1.484568
Foshan,1.475052
Lanzhou,1.475052
Shaoxing,1.466171
Hohhot,1.453827
Huangshan,1.453827
Lijiang,1.453827
Yangzhou,1.448410
Jiangmen,1.445246
Dongguan,1.441838
Jinhua,1.429424
Macau,1.428666
Longyan,1.423715
Zhongshan,1.421427
Liuzhou,1.414022
Yantai,1.414022
Zhenjiang,1.414022
Baotou,1.392358
Putian,1.379796
Qinzhou,1.379796
Shangrao,1.379796
Fangchenggang,1.379796
Xiaogan,1.379796
Huai'an,1.378420
Huizhou,1.378420
Baoding,1.378420
Sansha,1.371622
Taizhou,1.371099
Langfang,1.358057
Meishan,1.357825
Zhaoqing,1.357825
Diqing,1.355781
Ordos,1.355781
Qinhuangdao,1.355781
Tangshan,1.355781
Taoyuan,1.355781
Yichang,1.355781
Yinchuan,1.355781
Taizhou,1.348580
Jiujiang,1.348510
Baise,1.348510
Anqing,1.338809
Luoyang,1.335852
Siping,1.335852
Yulin,1.334196
Yancheng,1.332123
Chizhou,1.327669
Changde,1.327669
Mianyang,1.327669
Qiandongnan,1.327669
Qingyuan,1.327669
Changzhi,1.327669
Anyang,1.327669
Rizhao,1.327669
Tai'an,1.327669
Dongying,1.327669
Weihai,1.327669
Xuancheng,1.327669
Zhangjiajie,1.327669
Jieyang,1.308553
Leshan,1.308553
Shaoguan,1.308553
Chuzhou,1.308553
Zhuzhou,1.308553
