city,distance
Yinchuan,6.702679
Beijing,3.753393
Zhongwei,3.530289
Xi'an,3.248866
Guyuan,3.162874
Yulin,3.066866
Lanzhou,2.957009
Urumqi,2.957009
Hohhot,2.826481
Shanghai,2.796249
Dalian,2.660931
Baiyin,2.418748
Baoding,2.418748
Bijie,2.418748
Chengde,2.418748
Jinan,2.418748
Lvliang,2.418748
Pingdingshan,2.418748
Shizuishan,2.418748
Wuhai,2.418748
Wuhan,2.418748
Wuwei,2.418748
Xining,2.418748
Yan'an,2.418748
Zhengzhou,2.418748
Alxa,2.105178
Chengdou,2.009440
Tianjin,1.958651
Nanjing,1.915509
Guangzhou,1.887021
Pingliang,1.869861
Chongqing,1.868182
Ordos,1.840478
Hangzhou,1.833002
Taiyuan,1.791359
Xianyang,1.791359
Baotou,1.761914
Guiyang,1.728336
Suzhou,1.727603
Shenyang,1.700954
Shenzhen,1.700954
Shijiazhuang,1.700954
Weinan,1.686742
Shiyan,1.685136
Hong Kong,1.683419
Baoji,1.682819
Langfang,1.672559
Wuxi,1.670009
Turpan,1.666370
Changji,1.648833
Qingdao,1.634599
Qinhuangdao,1.628267
Alty,1.622087
Shamen,1.610797
Changsha,1.610797
Yichang,1.610797
Jiuquan,1.596608
Harbin,1.585519
Jinzhong,1.585519
Kunming,1.585519
Ngawa,1.585519
Ningbo,1.585519
Changzhou,1.585519
Zhangye,1.585519
Ili(Yili),1.584056
Tangshan,1.557806
Jiaxing,1.555640
Sanya,1.555640
Bayannur,1.555640
Yantai,1.555640
Ulanqab,1.539953
Zhangjiakou,1.532641
Bayingolin,1.528775
Tianshui,1.526926
Guilin,1.518743
Huangshan,1.518743
Datong,1.518743
Tieling,1.518743
Wuhu,1.518743
Yangquan,1.518743
Keramay,1.517400
Changchun,1.511897
Kashgar,1.505089
Haixi,1.501017
Taipei,1.500599
Luoyang,1.494542
Gannan,1.491923
Jinchang,1.486350
Hanzhong,1.485943
Jiayuguan,1.476169
Nanyang,1.472452
Hefei,1.470043
Haikou,1.469614
Hotan,1.469614
Kaifeng,1.469614
Leshan,1.469614
Lijiang,1.469614
Mianyang,1.469614
Nantong,1.469614
Dingxi,1.469614
Sanmenxia,1.469614
Fuzhou,1.469614
Weifang,1.469614
Xiangyang,1.469614
Xinyang,1.469614
Xuzhou,1.469614
Foshan,1.469614
Yuncheng,1.469614
Zhangjiajie,1.469614
Anshun,1.461500
Haibei,1.459447
Ankang,1.459442
Tai'an,1.458386
Xinzhou,1.455715
Chifeng,1.455379
Xilingol,1.455074
Nanchang,1.453402
Hulunbuir,1.449646
Yingkou,1.446212
Cangzhou,1.444710
Lhasa,1.443434
Linxia,1.443434
Jiaozuo,1.442441
Luohe,1.432953
Zunyi,1.432929
Kumul(Hami),1.432627
Linfen,1.430875
Zhoushan,1.427578
Aksu,1.419484
Shangluo,1.418562
Tongchuan,1.415808
Xuchang,1.407710
Taoyuan,1.405104
Nanning,1.402459
Jinhua,1.392603
Jining,1.392603
Dongguan,1.392603
Nanping,1.392603
Handan,1.392603
Neijiang,1.392603
Qingyang,1.392603
Shantou,1.392603
Shaoguan,1.392603
Shaoxing,1.392603
Chizhou,1.392603
Bortala,1.392603
Suizhou,1.392603
Tainan,1.392603
Chaoyang,1.392603
Taizhou,1.392603
Tongling,1.392603
Weihai,1.392603
Wenzhou,1.392603
Xiangxi,1.392603
Huanggang,1.392603
Xingtai,1.392603
Xinxiang,1.392603
Yangzhou,1.392603
Zaozhuang,1.392603
Bangbu,1.392603
Zhenjiang,1.392603
Binzhou,1.392603
Huzhou,1.392603
Huludao,1.391625
Zhuhai,1.390764
Zibo,1.389624
Qiandongnan,1.373152
Tacheng,1.372876
Dezhou,1.372148
Anshan,1.358535
Xianning,1.356774
Macau,1.348638
Liupanshui,1.344323
Dandong,1.337051
Hinggan,1.333345
Jinzhou,1.332015
Jilin,1.331159
Panzhihua,1.323413
Yueyang,1.323413
Zhongshan,1.323413
Hengshui,1.323150
Jingzhou,1.320752
Jiujiang,1.319077
Qianxinan,1.314179
Nagqu,1.312637
Anyang,1.307944
Xiaogan,1.307314
Linyi,1.306268
Huangshi,1.305606
Dongying,1.305505
Panjin,1.304688
Haidong,1.298506
Huangnan,1.296943
Qiqihar,1.295670
Shuozhou,1.291458
Dali,1.287432
Taizhou,1.287241
Liaocheng,1.285027
Fushun,1.284389
Shangqiu,1.284369
Quanzhou,1.281708
Daqing,1.281254
Garze,1.276553
Guangyuan,1.274768
Tongliao,1.274666
Yanbian,1.273219
Longnan,1.271260
Huai'an,1.271234
Diqing,1.267662
Changzhi,1.264708
Lianyungang,1.262331
Yancheng,1.252827
Ezhou,1.250529
Kaohsiung,1.248867
Shangrao,1.247605
Liuzhou,1.244542
Jingmen,1.243771
Mudanjiang,1.240353
Zigong,1.238816
Jian,1.237575
Zhuzhou,1.236595
Qiannan,1.234716
Beihai,1.234714
Benxi,1.233822
Chuzhou,1.229605
Zhoukou,1.228446
Liaoyang,1.226673
Rizhao,1.226373
New Taipei,1.225577
Enshi,1.223596
Deyang,1.222888
Zhumadian,1.219273
Jingdezhen,1.214560
Heze,1.213422
Laiwu,1.213422
Puyang,1.212057
Jiamusi,1.207064
Ngari,1.206940
Hebi,1.205322
Ganzhou,1.205090
Changde,1.201007
Meizhou,1.201007
Yushuzhou,1.198232
Xuancheng,1.197577
Siping,1.195629
Anqing,1.195629
Taichung,1.194513
Huizhou,1.192239
Baishan,1.189905
Jieyang,1.188715
Baoshan,1.186284
Zhangzhou,1.185043
Xishuangbanna,1.181211
Dazhou,1.179897
Yibin,1.179895
Fuyang,1.177202
Zhanjiang,1.177202
Yichun,1.175823
Bozhou,1.174170
Fuxin,1.172997
Ya'an,1.170394
Pingdong,1.170075
Lu'an,1.168944
Jiyuan,1.168134
Nanchong,1.167049
Quzhou,1.165494
Xiangtan,1.165479
Ma'anshan,1.160651
Hezhou,1.158972
Dehong,1.158972
Xiuzhou,1.157259
Ningde,1.157259
Qionghai,1.155509
Nantou,1.155509
Tonghua,1.153722
Hualien,1.153722
Lishui,1.152508
Pingxiang,1.151896
Daxinganling,1.150028
Loudi,1.150028
Jincheng,1.148460
Kezilsu,1.147231
Nyingchi,1.146537
Jiangmen,1.144713
Yingtan,1.142902
Wanning,1.142097
Yongzhou,1.142097
Hengyang,1.140751
Meishan,1.140383
Zhaoqing,1.139987
Longyan,1.137820
Luzhou,1.137820
Liangshanzhou,1.137820
Suihua,1.137820
Chiayi,1.135593
Huainan,1.135593
Yichun,1.128990
Taidong,1.126003
Yangjiang,1.124487
Yiyang,1.124487
Wenchang,1.124487
Qingyuan,1.121641
Weicu,1.120731
Sanming,1.120731
Golog,1.118314
Xiuqian,1.117954
Keelung,1.117954
Suining,1.115066
Sansha,1.113013
Songyuan,1.112082
Honghe,1.112082
Jixi,1.108967
Ziyang,1.108373
Baicheng,1.106440
Pu'er,1.105292
Bazhong,1.100885
Fangchenggang,1.100686
Yunfu,1.100308
Huaibei,1.098771
Hsinchu,1.098771
Qinzhou,1.095037
Guang'an,1.092718
Yilan,1.091105
Heihe,1.091105
Putian,1.091105
Chaozhou,1.091105
Qujing,1.086950
Xinyu,1.077848
Chongzuo,1.077848
Shannan,1.072824
Chenzhou,1.070973
Yuxi,1.068272
Shuangyashan,1.067415
Qamdo,1.067415
Liaoyuan,1.067415
Liangshanzhou,1.063719
Baise,1.062216
Heyuan,1.061552
Zhaotong,1.056563
Fuzhou,1.055145
Shaoyang,1.055145
Guigang,1.055145
Wuzhou,1.055145
Hegang,1.048074
Maoming,1.040171
Changhua,1.040171
Miaoli,1.040171
Tongren,1.040169
Qitaihe,1.031195
Yunlin,1.029021
Baoting,1.020777
Hechi,1.020777
Shanwei,1.020777
Laibin,1.008601
Penghu,1.008309
Kinmen,1.008309
Yulin,1.008309
Danzhou,1.004287
Dongfang,0.992677
Wenshan,0.992677
Chengmai,0.992677
Lincang,0.992677
Lingshui,0.983062
Nujiang,0.971451
Dingan,0.971451
Ledong,0.916032
Wuzhishan,0.915101
Changjiang,0.881711
Qiongzhong,0.835211
