city,distance
Hezhou,5.402866
Guangzhou,4.435049
Nanning,4.270573
Yulin,3.447617
Guilin,3.309405
Foshan,3.093871
Shamen,3.093871
Shenzhen,3.093871
Shanghai,3.066029
Zhaoqing,3.037134
Suzhou,2.975726
Guigang,2.872191
Liuzhou,2.833746
Yunfu,2.792798
Beijing,2.748887
Zhongshan,2.748887
Hong Kong,2.649522
Jiangmen,2.592050
Huizhou,2.527214
Jieyang,2.452144
Dongguan,2.361700
Fuzhou,2.361700
Hangzhou,2.361700
Zhuhai,2.361700
Changchun,2.244996
Chongqing,2.244996
Kunming,2.244996
Shaoguan,2.244996
Wuhan,2.244996
Zhuzhou,2.244996
Changsha,2.070120
Chengdou,2.070120
Guiyang,2.070120
Hechi,2.070120
Maoming,2.070120
Mianyang,2.070120
Qinzhou,2.070120
Quanzhou,2.070120
Sanya,2.070120
Taipei,2.070120
Beihai,1.948598
Chongzuo,1.923384
Yongzhou,1.820622
Baise,1.814226
Fangchenggang,1.800379
Chifeng,1.737259
Qingyuan,1.703312
Laibin,1.645105
Tianjin,1.644971
Nanjing,1.637334
Macau,1.637102
Jiaxing,1.631500
Zhanjiang,1.628418
Shantou,1.624607
Zhangzhou,1.609443
Wuxi,1.607461
Haikou,1.582049
Xi'an,1.579511
Yangjiang,1.562356
Changzhou,1.561827
Ningbo,1.561055
Jinhua,1.536389
Jiuquan,1.536389
Lhasa,1.536389
Xuzhou,1.536389
Yichun,1.536389
Nanchang,1.524793
Xianyang,1.519490
Qingdao,1.519280
Zhengzhou,1.509395
Longyan,1.508930
New Taipei,1.502518
Yangzhou,1.499896
Zhoushan,1.494724
Heyuan,1.494339
Jilin,1.488873
Haixi,1.488027
Chaozhou,1.486473
Nantong,1.482886
Jinan,1.475606
Dalian,1.468993
Lijiang,1.464933
Shanwei,1.464171
Hefei,1.462761
Shenyang,1.456235
Huzhou,1.453094
Jingdezhen,1.452421
Kumul(Hami),1.452421
Meishan,1.452421
Qiandongnan,1.452421
Qujing,1.452421
Sansha,1.452421
Shangrao,1.452421
Taichung,1.452421
Tangshan,1.452421
Xishuangbanna,1.452421
Yingtan,1.452421
Zunyi,1.452421
Chenzhou,1.447809
Hengyang,1.442982
Langfang,1.438343
Meizhou,1.437122
Shaoxing,1.432469
Dali,1.427075
Taiyuan,1.413729
Ningde,1.410996
Baoding,1.409737
Yibin,1.407718
Shijiazhuang,1.406585
Harbin,1.406391
Wenzhou,1.406391
Qinhuangdao,1.405466
Taoyuan,1.401748
Ganzhou,1.396231
Urumqi,1.383877
Xiangxi,1.383190
Zhenjiang,1.378663
Nanping,1.368883
Huangshan,1.367352
Lanzhou,1.364162
Nanyang,1.363562
Weihai,1.363562
Putian,1.363282
Anshun,1.362771
Deyang,1.353978
Weicu,1.352086
Xiangtan,1.343177
Xining,1.342322
Taizhou,1.341582
Zhangjiakou,1.333642
Hohhot,1.330704
Leshan,1.328231
Ngawa,1.325827
Qiannan,1.324722
Huaihua,1.324722
Honghe,1.324722
Chengde,1.323096
Yueyang,1.322208
Taizhou,1.320015
Sanming,1.319864
Jiujiang,1.317704
Zhangjiajie,1.313006
Yichang,1.310580
Kinmen,1.307792
Yancheng,1.304244
Shizuishan,1.303799
Yanbian,1.300345
Xianning,1.300322
Yantai,1.300290
Xiaogan,1.297934
Xiangyang,1.294749
Yinchuan,1.294749
Siping,1.293886
Baoshan,1.291574
Yuxi,1.291179
Pingxiang,1.290997
Wanning,1.288480
Loudi,1.281454
Diqing,1.279470
Dezhou,1.277781
Xinyang,1.277781
Anqing,1.272667
Jingzhou,1.267199
Cangzhou,1.266563
Guangyuan,1.266195
Lianyungang,1.264908
Huanggang,1.261364
Huai'an,1.258747
Shaoyang,1.254113
Baishan,1.253703
Kaohsiung,1.253344
Huangshi,1.253250
Keelung,1.251683
Wuhu,1.250591
Qionghai,1.250497
Tai'an,1.249768
Xuancheng,1.244474
Jian,1.244424
Datong,1.243026
Enshi,1.242826
Nanchong,1.242826
Ulanqab,1.242826
Yilan,1.242826
Yunlin,1.242826
Songyuan,1.242656
Tonghua,1.242656
Hsinchu,1.238325
Yiyang,1.234600
Zhumadian,1.231365
Changde,1.230319
Lishui,1.229560
Luoyang,1.229283
Shiyan,1.226207
Huludao,1.225576
Baotou,1.223649
Weifang,1.217654
Zibo,1.217654
Jinzhong,1.216943
Chizhou,1.215599
Hulunbuir,1.213827
Guang'an,1.211675
Nyingchi,1.211246
Jining,1.211246
Hualien,1.210420
Liangshanzhou,1.210141
Quzhou,1.204355
Xilingol,1.203669
Ezhou,1.202415
Garze,1.197796
Xinzhou,1.197330
Pingdong,1.196897
Handan,1.196897
Linyi,1.196897
Jingmen,1.196165
Bangbu,1.194663
Dazhou,1.193297
Tieling,1.192328
Ya'an,1.190723
Xinyu,1.188759
Qianxinan,1.187669
Binzhou,1.187301
Baoji,1.187301
Neijiang,1.187301
Suining,1.187301
Suizhou,1.187301
Dandong,1.187301
