city,distance
Changsha,6.430693
Zhuzhou,3.671654
Shanghai,3.599447
Beijing,3.201575
Zhangjiajie,3.082044
Xiangxi,3.052848
Loudi,3.022481
Guangzhou,2.922899
Hengyang,2.847421
Dalian,2.806080
Changde,2.761754
Chongqing,2.738288
Wuhan,2.713831
Shaoyang,2.603488
Shenzhen,2.603488
Guilin,2.538085
Huangshi,2.538085
Yueyang,2.538085
Huaihua,2.462378
Yiyang,2.462378
Nanchang,2.419196
Hangzhou,2.253570
Taiyuan,2.253570
Chengdou,2.176953
Chenzhou,2.176953
Ningbo,2.176953
Shangrao,2.176953
Yichun,2.176953
Hong Kong,2.077408
Jinan,2.077408
Kunming,2.077408
Ma'anshan,2.077408
Nanjing,2.077408
Pingxiang,2.077408
Qiandongnan,2.077408
Qingdao,2.077408
Quzhou,2.077408
Tianjin,2.077408
Xi'an,2.077408
Yongzhou,2.077408
Baotou,2.077408
Zhengzhou,2.077408
Zhuhai,2.077408
Suzhou,1.993220
Dali,1.926790
Dezhou,1.926790
Dongguan,1.926790
Ganzhou,1.926790
Anyang,1.926790
Guiyang,1.926790
Haikou,1.926790
Beihai,1.926790
Hefei,1.926790
Huizhou,1.926790
Ili(Yili),1.926790
Jian,1.926790
Jiangmen,1.926790
Jinhua,1.926790
Liangshanzhou,1.926790
Lianyungang,1.926790
Liuzhou,1.926790
Nanning,1.926790
Nantong,1.926790
Qingyuan,1.926790
Changzhou,1.926790
Shaoguan,1.926790
Shaoxing,1.926790
Taipei,1.926790
Tieling,1.926790
Wenzhou,1.926790
Wuxi,1.926790
Xiangyang,1.926790
Xinyu,1.926790
Xuzhou,1.926790
Yan'an,1.926790
Yichang,1.926790
Anqing,1.926790
Zhoushan,1.926790
Zunyi,1.926790
Shamen,1.886447
Jiaxing,1.771170
Sanya,1.742460
Xianning,1.712534
Fuzhou,1.705486
Foshan,1.703092
Shijiazhuang,1.640413
Shenyang,1.627265
Lijiang,1.618749
Xining,1.618749
Urumqi,1.598357
Harbin,1.593966
Quanzhou,1.570070
Lanzhou,1.564838
Zibo,1.564838
Huzhou,1.562861
Langfang,1.553260
Hohhot,1.522355
Baoding,1.519953
Yangzhou,1.519470
Qinhuangdao,1.514990
Zhongshan,1.507679
Jiujiang,1.502665
Yingtan,1.499757
Tongren,1.497801
Yingkou,1.488046
Ezhou,1.484477
Jingzhou,1.482485
Handan,1.482485
Zhenjiang,1.477091
Yantai,1.472996
Jinzhong,1.472480
Huangshan,1.464115
Qiannan,1.462818
Tangshan,1.453807
Luoyang,1.451829
Taoyuan,1.451829
Yancheng,1.451829
Xinyang,1.439873
Taizhou,1.434609
Zhangjiakou,1.431867
Macau,1.430793
Luohe,1.426737
New Taipei,1.425550
Chengde,1.419717
Changchun,1.418331
Linyi,1.412132
Nanyang,1.412132
Xuchang,1.412132
Taizhou,1.409975
Huanggang,1.407811
Zhaoqing,1.404627
Nanping,1.395640
Xianyang,1.395640
Xiaogan,1.395640
Yinchuan,1.395640
Anshan,1.395385
Ngawa,1.385691
Ordos,1.382637
Shiyan,1.376624
Wuhu,1.376624
Jingdezhen,1.376624
Xingtai,1.376624
Yangjiang,1.376624
Datong,1.376624
Jieyang,1.376624
Hezhou,1.374374
Dandong,1.372730
Leshan,1.371413
Xinzhou,1.371350
Lhasa,1.362177
Cangzhou,1.354828
