city,distance
Wuhan,5.239453
Shanghai,4.275842
Shiyan,4.036382
Beijing,3.844904
Nanyang,3.284255
Suizhou,3.112905
Yichang,3.030321
Tianjin,2.978693
Guangzhou,2.923021
Chongqing,2.908369
Zhengzhou,2.878064
Jingmen,2.846286
Chengdou,2.777473
Hangzhou,2.699701
Jingzhou,2.678477
Shenzhen,2.678477
Ankang,2.656399
Xi'an,2.609303
Pingdingshan,2.584049
Xiaogan,2.557462
Nanjing,2.529354
Suzhou,2.499491
Dazhou,2.433237
Hefei,2.395960
Nanchang,2.395960
Shamen,2.395960
Lanzhou,2.355056
Enshi,2.309540
Luoyang,2.309540
Wuxi,2.309540
Zhangjiajie,2.309540
Huangshi,2.257926
Changsha,2.197812
Changzhou,2.197812
Kunming,2.197812
Shijiazhuang,2.197812
Xiangxi,2.197812
Xianning,2.197812
Xinyang,2.197812
Baoding,2.124877
Harbin,2.124877
Jiujiang,2.124877
Yuncheng,2.124877
Changde,2.124877
Fuzhou,2.029934
Garze,2.029934
Guilin,2.029934
Handan,2.029934
Hengyang,2.029934
Huanggang,2.029934
Huangshan,2.029934
Jiaxing,2.029934
Jinan,2.029934
Jinhua,2.029934
Kaifeng,2.029934
Mianyang,2.029934
Nanchong,2.029934
Nanning,2.029934
Nantong,2.029934
Ningbo,2.029934
Qingdao,2.029934
Tai'an,2.029934
Anyang,2.029934
Xingtai,2.029934
Xinxiang,2.029934
Yilan,2.029934
Yinchuan,2.029934
Yulin,2.029934
Zhuhai,2.029934
Guangyuan,1.885883
Haikou,1.885883
Hanzhong,1.885883
Heyuan,1.885883
Jiangmen,1.885883
Jiaozuo,1.885883
Jincheng,1.885883
Jining,1.885883
Jinzhong,1.885883
Jinzhou,1.885883
Lu'an,1.885883
Luzhou,1.885883
Maoming,1.885883
Deyang,1.885883
Anqing,1.885883
Ngawa,1.885883
Panzhihua,1.885883
Qiannan,1.885883
Qinhuangdao,1.885883
Sanya,1.885883
Shenyang,1.885883
Taiyuan,1.885883
Tangshan,1.885883
Wenzhou,1.885883
Wuhu,1.885883
Changchun,1.885883
Xiangtan,1.885883
Dongguan,1.885883
Xuzhou,1.885883
Yan'an,1.885883
Yangzhou,1.885883
Yantai,1.885883
Yueyang,1.885883
Ezhou,1.885883
Zhaotong,1.885883
Zhenjiang,1.885883
Zunyi,1.885883
Hong Kong,1.883134
Zhoushan,1.733892
Foshan,1.703134
Langfang,1.690488
Huzhou,1.678123
Shaoxing,1.650676
Taipei,1.621264
Shangluo,1.602279
Dalian,1.590616
Leshan,1.587663
Guiyang,1.547891
Zhangjiakou,1.547682
Xianyang,1.537138
Chengde,1.533498
Taizhou,1.531146
Macau,1.526799
Tongliao,1.520522
Zhuzhou,1.504992
Taizhou,1.503117
Hohhot,1.500575
Urumqi,1.500185
Zhongshan,1.497720
Weinan,1.496327
Baoji,1.493239
Lijiang,1.492663
Luohe,1.489399
Zhumadian,1.484728
Yancheng,1.482701
Changzhi,1.481577
Shangrao,1.476325
Xining,1.468163
Shaoguan,1.464278
Xuchang,1.462146
Guang'an,1.458764
Cangzhou,1.458068
Fangchenggang,1.457838
Taoyuan,1.454328
Quanzhou,1.451081
Huaihua,1.440267
Liuzhou,1.432539
Lianyungang,1.432073
Datong,1.426963
Qingyuan,1.421006
Jingdezhen,1.415570
Ya'an,1.414919
Huizhou,1.410912
Dali,1.407862
Chenzhou,1.406167
Xuancheng,1.405937
Zhaoqing,1.404656
Huludao,1.404014
Shangqiu,1.403290
Lhasa,1.402992
Jiuquan,1.402984
Zhangzhou,1.397658
Baotou,1.397015
Weifang,1.396010
Yichun,1.395369
New Taipei,1.392115
Hulunbuir,1.388616
Linfen,1.384925
Liangshanzhou,1.384212
Dezhou,1.384192
Weihai,1.376152
Huai'an,1.369864
Nanping,1.369753
Chizhou,1.369194
Xinzhou,1.367068
Hualien,1.366457
Sanmenxia,1.363977
Chifeng,1.360271
Loudi,1.359268
Ganzhou,1.359268
Fuyang,1.359268
Qiandongnan,1.354933
Meishan,1.352655
Quzhou,1.350822
Zibo,1.349001
Tianshui,1.348892
Yingtan,1.346301
Ordos,1.344225
Lishui,1.344225
Yongzhou,1.343981
Liupanshui,1.343981
Shantou,1.343572
Bangbu,1.342691
Jilin,1.342491
Beihai,1.339126
Jian,1.337541
Suining,1.337138
