city,distance
Wuhan,6.914090
Changsha,3.580803
Yueyang,3.475039
Shanghai,3.147740
Beijing,3.064445
Guangzhou,2.990604
Jingzhou,2.523743
Hefei,2.428044
Hengyang,2.428044
Shaoguan,2.428044
Shenzhen,2.428044
Zhuzhou,2.371063
Dongguan,2.304861
Huaihua,2.304861
Huangshi,2.304861
Shiyan,2.304861
Tianjin,2.304861
Xiangyang,2.304861
Chenzhou,2.224779
Ezhou,2.224779
Foshan,2.224779
Hangzhou,2.224779
Hong Kong,2.224779
Nanjing,2.224779
Suzhou,2.224779
Xi'an,2.224779
Yichang,2.148627
Chengdou,2.120916
Guilin,2.120916
Guiyang,2.120916
Handan,2.120916
Baoding,2.120916
Huanggang,2.120916
Jiujiang,2.120916
Nanchang,2.120916
Shijiazhuang,2.120916
Suizhou,2.120916
Taizhou,2.120916
Wenzhou,2.120916
Xiaogan,2.120916
Xinyang,2.120916
Xuchang,2.120916
Zhengzhou,2.120916
Zhuhai,2.120916
Chongqing,1.981402
Chuzhou,1.964162
Enshi,1.964162
Fuzhou,1.964162
Changchun,1.964162
Changde,1.964162
Beihai,1.964162
Anyang,1.964162
Jinan,1.964162
Jingmen,1.964162
Kunming,1.964162
Liupanshui,1.964162
Benxi,1.964162
Nanping,1.964162
Pingxiang,1.964162
Shamen,1.964162
Ankang,1.964162
Changzhi,1.964162
Wuxi,1.964162
Xining,1.964162
Yancheng,1.964162
Yichun,1.964162
Zhanjiang,1.964162
Qingdao,1.820393
Ningbo,1.786857
Sanya,1.782277
Xiangtan,1.741992
Nanning,1.740126
Xiangxi,1.715008
Shenyang,1.706230
Lu'an,1.704541
Changzhou,1.701119
Jiaxing,1.699385
Dalian,1.684915
Jinhua,1.673285
Haikou,1.671274
Lanzhou,1.660878
Zhangjiajie,1.649786
Luoyang,1.625532
Urumqi,1.611975
Zhenjiang,1.611975
Zhongshan,1.609130
Lijiang,1.603293
Harbin,1.600298
Zhumadian,1.594142
Huangshan,1.587750
Yangzhou,1.587750
Shangrao,1.584459
Shaoxing,1.584459
Taiyuan,1.577672
Taipei,1.574170
Loudi,1.572608
Yiyang,1.570972
Xuzhou,1.566930
Fangchenggang,1.563184
Hohhot,1.555418
Quanzhou,1.555418
Macau,1.551387
Kaifeng,1.547249
Nanyang,1.538630
Liuzhou,1.534134
Langfang,1.520256
Anqing,1.519789
Jining,1.519789
Luohe,1.519789
Jingdezhen,1.514688
Ngawa,1.514688
Zhoushan,1.513883
Xinxiang,1.509406
Yinchuan,1.503928
Nantong,1.501740
Wuhu,1.498237
Taoyuan,1.492315
Weifang,1.492315
Yantai,1.492315
Qinhuangdao,1.483575
Jiangmen,1.474870
Tai'an,1.472923
Huzhou,1.471194
Lianyungang,1.458328
Tangshan,1.458328
Dali,1.458328
Baoji,1.458328
Shaoyang,1.456720
Ganzhou,1.450405
Dazhou,1.450405
Fuyang,1.450405
Qingyuan,1.448644
Pingdingshan,1.441991
Yongzhou,1.433012
Zhangzhou,1.433012
Huizhou,1.426472
Shangqiu,1.423377
Xianyang,1.423377
Xingtai,1.423377
Yingtan,1.423377
Zhaoqing,1.420077
Lhasa,1.412971
Jiaozuo,1.412971
Weihai,1.412971
Zhangjiakou,1.403772
Ma'anshan,1.401644
Taizhou,1.401644
Yulin,1.401644
Jinzhong,1.401644
Jinzhou,1.396562
Chengde,1.392093
Quzhou,1.389193
Shantou,1.389193
Tongling,1.389193
Binzhou,1.389193
Bangbu,1.389193
Anshun,1.384602
Longyan,1.375343
Ordos,1.375343
Jieyang,1.375343
Xuancheng,1.375343
Jian,1.375343
Kaohsiung,1.375343
Qiandongnan,1.363000
Weinan,1.361392
Jilin,1.359921
Tongren,1.359805
Lishui,1.359694
Mianyang,1.359694
Nanchong,1.359694
Sanmenxia,1.359694
Ulanqab,1.359694
Xishuangbanna,1.359694
Leshan,1.359694
Chizhou,1.359694
Zhoukou,1.359694
Huai'an,1.341639
Ningde,1.341639
Deyang,1.341639
Qionghai,1.341639
Sanming,1.341639
Heze,1.341639
Chaozhou,1.341639
Yulin,1.341639
Yangjiang,1.335180
Zunyi,1.333656
Cangzhou,1.329649
Huainan,1.325022
Jiayuguan,1.320183
Hanzhong,1.320183
Suining,1.320183
Tianshui,1.320183
Jiuquan,1.320183
Liaocheng,1.320183
Wenchang,1.320183
Wuhai,1.320183
Datong,1.320183
Xinyu,1.320183
Xiuqian,1.320183
Dongying,1.320183
Liangshanzhou,1.320183
Yuncheng,1.320183
Zaozhuang,1.320183
Jincheng,1.320183
Huaibei,1.320183
Zigong,1.320183
Haixi,1.312507
Zibo,1.310949
Dandong,1.299992
Qiannan,1.296807
Pingdong,1.293513
Pu'er,1.293513
Putian,1.293513
Puyang,1.293513
Rizhao,1.293513
Daqing,1.293513
Chongzuo,1.293513
Dingxi,1.293513
Tainan,1.293513
Linfen,1.293513
Luzhou,1.293513
Meizhou,1.293513
Yanbian,1.293513
Jinchang,1.293513
New Taipei,1.293513
Anshan,1.293513
