city,distance
Xi'an,7.175293
Shanghai,3.418827
Beijing,3.167538
Baoji,3.111172
Chengdou,2.651232
Ankang,2.549849
Tianshui,2.516647
Yinchuan,2.499133
Weinan,2.480935
Lanzhou,2.442194
Yan'an,2.421475
Hangzhou,2.399711
Chongqing,2.326616
Wuhan,2.326616
Nanjing,2.298941
Tianjin,2.298941
Guangzhou,2.269104
Shangluo,2.269104
Zhengzhou,2.269104
Lhasa,2.236653
Shenzhen,2.236653
Taiyuan,2.236653
Tongchuan,2.236653
Qingyang,2.200968
Changsha,2.161162
Qingdao,2.161162
Xining,2.161162
Sanmenxia,2.115902
Yulin,2.115902
Hanzhong,2.063024
Jinan,2.063024
Kunming,2.063024
Pingliang,2.063024
Yulin,2.063024
Dalian,1.998630
Hefei,1.998630
Hong Kong,1.998630
Wuxi,1.998630
Luoyang,1.955011
Suzhou,1.936564
Fuzhou,1.914410
Haikou,1.914410
Changchun,1.914410
Jiayuguan,1.914410
Jincheng,1.914410
Jinzhong,1.914410
Jiuquan,1.914410
Ordos,1.914410
Shamen,1.914410
Baotou,1.914410
Shenyang,1.914410
Xiangxi,1.914410
Xuzhou,1.914410
Urumqi,1.804364
Shijiazhuang,1.796124
Deyang,1.785769
Dongguan,1.785769
Fuyang,1.785769
Guiyang,1.785769
Guyuan,1.785769
Haibei,1.785769
Hezhou,1.785769
Hohhot,1.785769
Changzhou,1.785769
Huzhou,1.785769
Jiaxing,1.785769
Jingzhou,1.785769
Jining,1.785769
Leshan,1.785769
Lianyungang,1.785769
Linfen,1.785769
Linxia,1.785769
Linyi,1.785769
Liuzhou,1.785769
Nanchang,1.785769
Nanning,1.785769
Ngawa,1.785769
Ningbo,1.785769
Benxi,1.785769
Qinzhou,1.785769
Quanzhou,1.785769
Sanya,1.785769
Shangqiu,1.785769
Shaoxing,1.785769
Tai'an,1.785769
Daqing,1.785769
Baoding,1.785769
Xiuzhou,1.785769
Yangzhou,1.785769
Yibin,1.785769
Yichun,1.785769
Yueyang,1.785769
Zhaoqing,1.785769
Zhongwei,1.785769
Zhoushan,1.785769
Harbin,1.696606
Yuncheng,1.688628
Guilin,1.684510
Garze,1.626209
Guangyuan,1.623314
Haixi,1.623314
Shiyan,1.617374
Bangbu,1.598209
Lijiang,1.594792
Taipei,1.591304
Kaifeng,1.572664
Nanyang,1.572664
Mianyang,1.568666
Nantong,1.560783
Langfang,1.545205
Wenzhou,1.537452
Zhuhai,1.532436
Jiaozuo,1.521879
Dazhou,1.516025
Dingxi,1.510526
Macau,1.510526
Qinhuangdao,1.507325
Yantai,1.498230
Zhangjiajie,1.498230
Shizuishan,1.496065
Xinyang,1.491670
Nyingchi,1.485971
Jinhua,1.484798
Weifang,1.477578
Xinxiang,1.477578
Zhangye,1.477578
Xiangyang,1.469968
Anyang,1.469968
Xinzhou,1.461919
Huangshan,1.461919
Yichang,1.461919
Foshan,1.458271
Nagqu,1.453371
Xingtai,1.453371
Handan,1.453371
Zhenjiang,1.453371
Tangshan,1.446748
Anqing,1.444250
Taoyuan,1.444250
Datong,1.434464
Wuwei,1.434464
Zhangjiakou,1.425018
Heze,1.423896
Bayingolin,1.423896
Jilin,1.423896
Lvliang,1.423896
Pingdingshan,1.423896
Taizhou,1.423896
Shannan,1.419546
Wuzhong,1.418880
Chengde,1.412984
Luohe,1.412393
Dali,1.412393
Weihai,1.412393
Wuhu,1.412393
Cangzhou,1.412393
Taizhou,1.405024
