city,distance
Changsha,5.518363
Shanghai,4.154105
Zhangjiajie,3.766741
Xiangxi,3.740809
Beijing,3.631358
Kunming,3.542095
Yiyang,3.202164
Wuhan,3.003994
Xiangtan,2.834044
Guangzhou,2.728544
Shenzhen,2.667633
Zhuzhou,2.667633
Huaihua,2.599011
Shenyang,2.560941
Chongqing,2.519682
Jingzhou,2.519682
Xi'an,2.519682
Yichang,2.519682
Hangzhou,2.474485
Hengyang,2.474485
Shamen,2.474485
Nanyang,2.424284
Ulanqab,2.367477
Xinzhou,2.367477
Yingtan,2.367477
Chengdou,2.301473
Jingmen,2.301473
Nanjing,2.301473
Quzhou,2.301473
Suzhou,2.301473
Hong Kong,2.261309
Guiyang,2.221622
Jinhua,2.221622
Lijiang,2.221622
Nanchang,2.221622
Sanya,2.221622
Shaoguan,2.221622
Xiangyang,2.221622
Chiayi,2.118047
Baise,2.118047
Hong Kong,2.118047
Jiaxing,2.118047
Loudi,2.118047
Qiandongnan,2.118047
Shijiazhuang,2.118047
Shiyan,2.118047
Tianjin,2.118047
Xinxiang,2.118047
Anshun,2.118047
Zhaoqing,2.118047
Datong,1.961701
Enshi,1.961701
Guilin,1.961701
Huanggang,1.961701
Huizhou,1.961701
Jian,1.961701
Chenzhou,1.961701
Jiujiang,1.961701
Macau,1.961701
Nanchong,1.961701
Ordos,1.961701
Qingdao,1.961701
Qingyuan,1.961701
Qionghai,1.961701
Changzhou,1.961701
Shangrao,1.961701
Shantou,1.961701
Shaoxing,1.961701
Shaoyang,1.961701
Changchun,1.961701
Wuxi,1.961701
Ankang,1.961701
Xianning,1.961701
Xinyang,1.961701
Yangjiang,1.961701
Yantai,1.961701
Yichun,1.961701
Zhengzhou,1.961701
Zhongshan,1.961701
Zhuhai,1.961701
Dali,1.860058
Ningbo,1.801272
Weicu,1.734661
Zhoushan,1.713530
Nantong,1.697989
Nanning,1.680066
Huzhou,1.659042
Langfang,1.647881
Xishuangbanna,1.647058
Pingxiang,1.646555
Tongren,1.646350
Baoshan,1.636306
Yuxi,1.635672
Foshan,1.635224
Fuzhou,1.633848
Taiyuan,1.627068
Jinan,1.622511
Yongzhou,1.622511
Hefei,1.615335
Baoding,1.610441
Yangzhou,1.610230
Haikou,1.605276
Qinhuangdao,1.604870
Taipei,1.603447
Diqing,1.600185
Hohhot,1.593068
Honghe,1.583787
Qujing,1.583355
Zhenjiang,1.562716
Dalian,1.555256
Xining,1.554074
Huangshan,1.548199
Dongguan,1.546823
Wenzhou,1.541367
Tangshan,1.536377
Urumqi,1.535270
Harbin,1.531671
Taizhou,1.515245
Liuzhou,1.513834
Zhangjiakou,1.511894
Quanzhou,1.509153
Xianyang,1.505591
Lanzhou,1.504319
Zibo,1.504319
Chengde,1.498355
Taizhou,1.487790
Xinyu,1.477397
Yancheng,1.467785
Weinan,1.466416
Kaohsiung,1.466321
Baoji,1.463450
Dehong,1.462071
Xiaogan,1.461176
Huangshi,1.459043
Pingdingshan,1.458369
Pu'er,1.456142
Fushun,1.451830
Taoyuan,1.439975
Jinzhong,1.439832
Anshan,1.439635
Beihai,1.436309
Xuzhou,1.434630
Handan,1.428057
Cangzhou,1.426261
Zhangzhou,1.424019
Leshan,1.419806
Chongzuo,1.418246
Lianyungang,1.418154
Ngawa,1.417060
Qiannan,1.409799
Luoyang,1.409578
Jiangmen,1.408171
Wenshan,1.408044
Tai'an,1.405000
Nantou,1.402320
Wuhu,1.400182
Tainan,1.397493
Anyang,1.397493
Xuancheng,1.392519
Jinzhou,1.390607
Ezhou,1.390599
Taichung,1.388208
Liaoyang,1.386809
Yinchuan,1.385983
Yan'an,1.382960
Benxi,1.381286
Luohe,1.376256
Huludao,1.374498
Zunyi,1.372786
Dandong,1.372645
Baotou,1.367789
Wanning,1.367653
Tieling,1.366723
Meizhou,1.365030
Lhasa,1.365030
Zhaotong,1.365030
Yingkou,1.363958
