city,distance
Beijing,5.668100
Hohhot,4.487279
Chifeng,4.362121
Zhangjiakou,3.698518
Ulanqab,3.308107
Chengde,3.284032
Shanghai,3.207670
Hulunbuir,2.960443
Tianjin,2.922844
Baotou,2.566347
Hinggan,2.566347
Lanzhou,2.566347
Ordos,2.488970
Shijiazhuang,2.488970
Tongliao,2.395841
Dalian,2.275823
Harbin,2.275823
Qinhuangdao,2.275823
Xi'an,2.275823
Bozhou,2.096304
Changchun,2.096304
Chengdou,2.096304
Datong,2.096304
Dehong,2.096304
Guangzhou,2.096304
Guilin,2.096304
Hangzhou,2.096304
Jinan,2.096304
Jinhua,2.096304
Langfang,2.096304
Lvliang,2.096304
Sanya,2.096304
Shanwei,2.096304
Shenyang,2.096304
Shenzhen,2.096304
Taiyuan,2.096304
Tangshan,2.096304
Weifang,2.096304
Weihai,2.096304
Xishuangbanna,2.096304
Yinchuan,2.096304
Zhengzhou,2.096304
Hong Kong,1.984010
Nanjing,1.955412
Wuhan,1.918722
Qingdao,1.916548
Baoding,1.915728
Shamen,1.876833
Suzhou,1.866949
Chongqing,1.804263
Changsha,1.766390
Shaoxing,1.764419
Kunming,1.747644
Taipei,1.734904
Bayannur,1.726889
Wuxi,1.696187
Hefei,1.694191
Nanchang,1.672126
Yantai,1.671419
Jiaxing,1.670758
Urumqi,1.664935
Cangzhou,1.660631
Guiyang,1.648845
Ningbo,1.647074
Lijiang,1.644089
Fuzhou,1.640144
Tai'an,1.631878
Hezhou,1.614679
Wuhai,1.611164
Taoyuan,1.608515
Nanning,1.605049
Changzhou,1.597766
Haikou,1.591769
Huludao,1.590875
Zhuhai,1.589750
Lhasa,1.577091
Jinzhong,1.576358
Alxa,1.572968
Xuzhou,1.572644
Yangzhou,1.572393
Xining,1.571134
Luoyang,1.569354
Dezhou,1.565473
Jining,1.551523
Chaoyang,1.550789
Xinzhou,1.543605
Dongying,1.543556
Qiqihar,1.539723
Ngawa,1.538405
Baoshan,1.536720
Macau,1.534945
Zhoushan,1.527609
Handan,1.522694
Wenzhou,1.522348
Zibo,1.520610
Nantong,1.515246
Jinzhou,1.513449
Jilin,1.512344
Hengshui,1.502014
Jiujiang,1.496768
Zhenjiang,1.494282
Dandong,1.486113
Huzhou,1.484154
Xingtai,1.482075
Yichang,1.481161
Zaozhuang,1.476978
Zhangjiajie,1.476978
Jiuquan,1.475346
Linyi,1.465683
Huangshan,1.465171
Jiaozuo,1.464656
Xinxiang,1.464140
Anyang,1.462580
Daxinganling,1.462550
Baicheng,1.460457
Yulin,1.458825
Foshan,1.457247
Dali,1.456155
Kaifeng,1.452826
Fushun,1.452263
Quanzhou,1.448836
Daqing,1.448256
Baoji,1.447674
Anshan,1.447089
Panjin,1.442924
Bangbu,1.440484
Ganzhou,1.439728
Jiyuan,1.439728
Kumul(Hami),1.439728
Tieling,1.439728
Anqing,1.439728
Yanbian,1.437999
Huai'an,1.435466
Ngari,1.433492
Shuozhou,1.433492
Diqing,1.430914
Dongguan,1.430251
Yingkou,1.428914
Lianyungang,1.424125
Yan'an,1.421308
Nanping,1.419875
Shantou,1.416994
Taizhou,1.416224
Tianshui,1.415649
Xianyang,1.414994
Xiangyang,1.414734
Binzhou,1.408595
Kaohsiung,1.407012
Shangrao,1.405410
Yangquan,1.405410
Changde,1.403897
Fuyang,1.402638
Liaocheng,1.401313
Mudanjiang,1.396214
Mianyang,1.395344
Liuzhou,1.394467
Wuhu,1.393584
Jian,1.392695
Yancheng,1.391799
Beihai,1.389073
Gannan,1.385511
Weinan,1.380337
Xiangxi,1.379523
Xinyang,1.379523
Rizhao,1.378525
New Taipei,1.377520
Zhongshan,1.376505
Jiayuguan,1.371914
Changzhi,1.370234
Taizhou,1.370234
Chuzhou,1.366972
Yuncheng,1.366972
Siping,1.365739
Fuxin,1.365739
Jingdezhen,1.363617
Shizuishan,1.360126
Pu'er,1.360100
Benxi,1.358991
Wuwei,1.358203
Leshan,1.357805
Heze,1.356608
Jiamusi,1.354175
Nanyang,1.349957
Zhongwei,1.349169
Meizhou,1.346557
Puyang,1.346557
Dingxi,1.346310
Yueyang,1.345237
Linxia,1.343595
Taichung,1.338399
Zhangye,1.337963
Huizhou,1.335545
Ili(Yili),1.335545
Jingzhou,1.334090
Baishan,1.332617
Wuzhong,1.331836
Linfen,1.331124
Jieyang,1.331124
Shangqiu,1.326522
Zhangzhou,1.326522
Luohe,1.324944
Xuchang,1.324944
Baiyin,1.323618
Zhuzhou,1.321721
Yibin,1.320074
Qiandongnan,1.316704
Garze,1.316704
Zhanjiang,1.316704
Yichun,1.314979
Deyang,1.311446
Suihua,1.311007
Haixi,1.308402
Pingdong,1.307794
Zunyi,1.307794
Nanchong,1.304015
Huanggang,1.304015
Quzhou,1.302074
Pingdingshan,1.300098
Wanning,1.298576
Sanmenxia,1.298084
Xiangtan,1.298084
Ma'anshan,1.296032
Keramay,1.296032
Ningde,1.291804
Xiuzhou,1.291804
Ya'an,1.291804
Liaoyang,1.291804
Qionghai,1.289624
Shiyan,1.289624
Nantou,1.289624
Hualien,1.287399
Tonghua,1.287399
Hebi,1.287399
Pingxiang,1.285125
Anshun,1.285125
Loudi,1.282800
Xiaogan,1.282800
Xuancheng,1.280422
Nyingchi,1.272940
Yongzhou,1.272940
Zhaoqing,1.270320
Jincheng,1.267630
Luzhou,1.267630
Jiangmen,1.267630
Liangshanzhou,1.267630
Guangyuan,1.267630
Hanzhong,1.267630
Longyan,1.267630
Jinchang,1.265662
Huainan,1.264866
Chiayi,1.264866
Tainan,1.262025
Laiwu,1.262025
Chizhou,1.262025
Hengyang,1.262025
Heihe,1.259287
Lishui,1.259100
Xianning,1.259100
Huangshi,1.256088
Yingtan,1.256088
Huaibei,1.255386
Taidong,1.252980
Chaozhou,1.252717
Huaihua,1.249772
Turpan,1.246455
Weicu,1.246455
Bayingolin,1.246455
Sanming,1.246455
Dazhou,1.246455
Yiyang,1.246455
Zhumadian,1.246455
Xiuqian,1.243022
Keelung,1.243022
Lu'an,1.239462
Alty,1.239462
Honghe,1.235766
Shaoguan,1.235766
Enshi,1.235766
Songyuan,1.235766
Jixi,1.233832
Kashgar,1.233832
Guang'an,1.233832
Meishan,1.233832
Yuxi,1.233832
Baise,1.233832
Nagqu,1.229552
Yichun,1.228434
