city,distance
Shijiazhuang,5.182437
Beijing,4.922892
Handan,4.027270
Baoding,3.276940
Zhengzhou,3.168507
Anyang,3.099617
Shanghai,3.024092
Hengshui,3.003960
Tianjin,2.983255
Taiyuan,2.939941
Liaocheng,2.869348
Xi'an,2.730917
Wuhan,2.664917
Xinxiang,2.664917
Jinan,2.628672
Cangzhou,2.501357
Chongqing,2.501357
Guangzhou,2.450071
Heze,2.450071
Langfang,2.450071
Qinhuangdao,2.450071
Changsha,2.392064
Jinzhong,2.392064
Changzhi,2.324701
Luoyang,2.324701
Shenyang,2.324701
Shenzhen,2.324701
Weinan,2.324701
Nanjing,2.243258
Qingdao,2.243258
Suzhou,2.243258
Tangshan,2.243258
Yangquan,2.243258
Changzhou,2.137704
Chengde,2.137704
Datong,2.137704
Harbin,2.137704
Hebi,2.137704
Hohhot,2.137704
Jiaozuo,2.137704
Jiujiang,2.137704
Rizhao,2.137704
Shamen,2.137704
Shangqiu,2.137704
Tai'an,2.137704
Weifang,2.137704
Xiangyang,2.137704
Xuzhou,2.137704
Yantai,2.137704
Zhangjiajie,2.137704
Zhangjiakou,2.137704
Zhenjiang,2.137704
Dazhou,1.978551
Deyang,1.978551
Dezhou,1.978551
Dongguan,1.978551
Haibei,1.978551
Hangzhou,1.978551
Anshan,1.978551
Huanggang,1.978551
Jiaxing,1.978551
Jining,1.978551
Chengdou,1.978551
Kaifeng,1.978551
Linyi,1.978551
Luohe,1.978551
Nanchang,1.978551
Nanning,1.978551
Nantong,1.978551
Puyang,1.978551
Changchun,1.978551
Sanmenxia,1.978551
Sanya,1.978551
Shaoyang,1.978551
Chifeng,1.978551
Taizhou,1.978551
Ulanqab,1.978551
Wuxi,1.978551
Xuancheng,1.978551
Yangzhou,1.978551
Yinchuan,1.978551
Dalian,1.978551
Zhanjiang,1.978551
Zhuhai,1.978551
Zhumadian,1.978551
Zhuzhou,1.978551
Hong Kong,1.884175
Urumqi,1.722392
Kunming,1.669712
Taipei,1.658079
Hefei,1.620853
Xinzhou,1.598438
Guiyang,1.579300
Lanzhou,1.578711
Xianyang,1.578550
Ningbo,1.577675
Fuzhou,1.571316
Guilin,1.565978
Lijiang,1.550571
Taoyuan,1.542262
Baoji,1.532289
Foshan,1.530942
Haikou,1.526861
Huludao,1.526038
Baotou,1.517773
Xiangxi,1.516552
Xining,1.515223
Lhasa,1.513350
Hulunbuir,1.507864
Shiyan,1.496630
Weihai,1.493179
Pingdingshan,1.484978
Zhoushan,1.484687
Xuchang,1.479652
Ngawa,1.477693
Macau,1.474500
Zhongwei,1.468438
Wenzhou,1.462873
Zibo,1.461267
Ordos,1.455666
Jinzhou,1.454653
Jilin,1.453632
Lvliang,1.452344
Lianyungang,1.447592
Yan'an,1.444276
Huzhou,1.443607
Jincheng,1.441873
Yichang,1.436725
Linfen,1.432318
Xianning,1.430919
Dandong,1.429382
Xinyang,1.425115
Shaoxing,1.423248
Dongying,1.423094
Xilingol,1.422232
Zaozhuang,1.420929
Jinhua,1.417835
Nanyang,1.415876
Qiqihar,1.411416
Huangshan,1.409998
Yueyang,1.405727
Xiangtan,1.402845
Dali,1.401646
Fushun,1.398040
Quanzhou,1.394864
Daqing,1.394326
Jingzhou,1.390911
Panjin,1.389383
Bangbu,1.387121
Yanbian,1.384816
Huai'an,1.382467
Zhoukou,1.379850
Diqing,1.378245
Shuozhou,1.377081
Yingkou,1.376389
Xiaogan,1.376014
Taizhou,1.375529
Huangshi,1.374123
Qinzhou,1.373989
Nanping,1.368001
Yuncheng,1.367724
Hanzhong,1.367333
Binzhou,1.357526
Beihai,1.357054
Kaohsiung,1.356056
Hengyang,1.355616
Shangrao,1.354568
Zhongshan,1.352399
Mudanjiang,1.346023
Mianyang,1.345214
Ankang,1.344861
Liuzhou,1.344399
Wuhu,1.343579
Jian,1.342752
Yancheng,1.341920
Jiuquan,1.339385
Changde,1.337288
Enshi,1.335106
Chuzhou,1.335106
Jiangmen,1.330147
New Taipei,1.328640
Jiyuan,1.323848
Chaoyang,1.320859
Yulin,1.316887
Tongliao,1.316753
Jingdezhen,1.315702
Liaoyang,1.314473
Ezhou,1.313248
Benxi,1.311395
Fuyang,1.310942
Leshan,1.310291
Shangluo,1.310072
Huaibei,1.307837
Jiamusi,1.306910
Qionghai,1.306443
Suining,1.306443
Loudi,1.306443
Jingmen,1.305797
Zhangzhou,1.305645
Huizhou,1.305348
Ganzhou,1.304596
Nanchong,1.303222
Meizhou,1.299813
Qingyuan,1.299096
Tieling,1.296414
Zhangye,1.295820
Siping,1.293516
Anqing,1.293516
Shizuishan,1.292488
Taichung,1.292210
Bayannur,1.292210
Ili(Yili),1.289549
Hinggan,1.288193
Bozhou,1.288162
Haixi,1.287937
Baishan,1.286819
Tianshui,1.286033
Jieyang,1.285427
Zhaoqing,1.285417
Yiyang,1.284391
Guang'an,1.282624
Baoshan,1.282585
Xishuangbanna,1.276657
Yibin,1.275120
Qiandongnan,1.271975
Garze,1.271975
Tongchuan,1.271256
Quzhou,1.271241
Shaoguan,1.271241
Tongling,1.271241
Jiayuguan,1.271241
Xiuqian,1.271241
Huainan,1.271241
Yichun,1.270366
Zunyi,1.267722
Suizhou,1.267371
Maoming,1.267330
Fuxin,1.267068
Laiwu,1.264065
Suihua,1.263962
Chongzuo,1.263940
Pingdong,1.263659
Gannan,1.261910
Ma'anshan,1.256137
Keramay,1.252673
Wanning,1.252404
Hezhou,1.250718
Dehong,1.250718
Ningde,1.248723
Xiuzhou,1.248723
Ya'an,1.248723
Nantou,1.246687
Wuhai,1.246687
Shantou,1.246687
Hualien,1.244607
Tonghua,1.244607
Zigong,1.243496
Anshun,1.242481
Pingxiang,1.242481
Daxinganling,1.240308
Longyan,1.238708
Chenzhou,1.237524
Huaihua,1.236329
Yangjiang,1.234977
Wuzhong,1.234472
Luzhou,1.231873
Yongzhou,1.231088
Nyingchi,1.231088
Chizhou,1.226903
Liangshanzhou,1.226121
Guangyuan,1.226121
Lu'an,1.224808
Chiayi,1.223535
Neijiang,1.222777
Tainan,1.220876
Lishui,1.218139
Baise,1.215866
Yingtan,1.215319
Alxa,1.215319
Turpan,1.213207
Changhua,1.213207
Kumul(Hami),1.213207
Fuzhou,1.213207
Jinchang,1.213207
Zhaotong,1.213207
Heihe,1.213207
Linxia,1.213207
Taidong,1.212410
Fangchenggang,1.209631
Sanming,1.206299
Weicu,1.206299
Bayingolin,1.206299
Alty,1.203904
Keelung,1.203083
Songyuan,1.196285
Honghe,1.196285
Jixi,1.192681
Baicheng,1.188926
