city,distance
Zhengzhou,5.509693
Beijing,4.302297
Anyang,3.699531
Jiaozuo,3.699531
Shanghai,3.543881
Luoyang,3.150156
Handan,3.039663
Kaifeng,2.925545
Shijiazhuang,2.860534
Hebi,2.807090
Wuhan,2.807090
Jincheng,2.788203
Tianjin,2.659986
Xi'an,2.659986
Baoding,2.635425
Hefei,2.523451
Xingtai,2.523451
Xuchang,2.490928
Puyang,2.455937
Xinyang,2.417967
Zhumadian,2.417967
Jining,2.376315
Nanjing,2.376315
Weinan,2.376315
Xuzhou,2.376315
Zhoukou,2.376315
Nanyang,2.329982
Sanmenxia,2.329982
Shangqiu,2.329982
Suzhou,2.329982
Zhangjiajie,2.329982
Chengdou,2.277461
Hangzhou,2.277461
Heze,2.277461
Jinan,2.277461
Luohe,2.277461
Pingdingshan,2.277461
Guangzhou,2.216315
Changsha,2.216315
Nanchang,2.216315
Yueyang,2.216315
Fuzhou,2.142169
Jiyuan,2.142169
Langfang,2.142169
Changzhi,2.142169
Shamen,2.142169
Taiyuan,2.142169
Tianshui,2.142169
Dezhou,2.045709
Fuyang,2.045709
Haikou,2.045709
Hengshui,2.045709
Jiujiang,2.045709
Changzhou,2.045709
Qingdao,2.045709
Rizhao,2.045709
Tai'an,2.045709
Xiangyang,2.045709
Xiaogan,2.045709
Xining,2.045709
Yangzhou,2.045709
Changde,2.045709
Zhenjiang,2.045709
Zhuhai,2.045709
Guilin,1.899491
Guiyang,1.899491
Hong Kong,1.899491
Huaihua,1.899491
Jian,1.899491
Jingmen,1.899491
Jinzhong,1.899491
Jinzhou,1.899491
Lanzhou,1.899491
Liaoyang,1.899491
Linyi,1.899491
Loudi,1.899491
Chengde,1.899491
Nanchong,1.899491
Nanping,1.899491
Nantong,1.899491
Qiandongnan,1.899491
Cangzhou,1.899491
Shaoguan,1.899491
Shenyang,1.899491
Shenzhen,1.899491
Shiyan,1.899491
Suining,1.899491
Dazhou,1.899491
Chongqing,1.899491
Bangbu,1.899491
Weicu,1.899491
Weihai,1.899491
Wuhu,1.899491
Wuxi,1.899491
Baoji,1.899491
Xiangxi,1.899491
Xinzhou,1.899491
Xiuqian,1.899491
Yantai,1.899491
Yinchuan,1.899491
Zhangjiakou,1.899491
Jiaxing,1.757610
Qinhuangdao,1.723668
Dalian,1.703383
Ningbo,1.676125
Tangshan,1.644908
Harbin,1.639515
Kunming,1.633950
Changchun,1.626550
Urumqi,1.610731
Zhoushan,1.599894
Sanya,1.599818
Taipei,1.581255
Hohhot,1.565532
Xianyang,1.554588
Huzhou,1.552293
Shaoxing,1.528779
Lijiang,1.517371
Ordos,1.516208
Chuzhou,1.516208
Jinhua,1.488869
Datong,1.485578
Yichang,1.477057
Taoyuan,1.475580
Nanning,1.472663
Xianning,1.470921
Lhasa,1.469559
Macau,1.468329
Liaocheng,1.467446
Linfen,1.466627
Lianyungang,1.462485
Xiuzhou,1.462485
Huludao,1.460722
Yuncheng,1.455030
Huangshan,1.454837
Baotou,1.453147
Wenzhou,1.448802
Hulunbuir,1.444062
Zaozhuang,1.438528
Foshan,1.436286
Jingzhou,1.428678
Taizhou,1.425699
Yan'an,1.424191
Weifang,1.421789
Huanggang,1.421266
Ngawa,1.416367
Chifeng,1.413433
Huangshi,1.410972
Leshan,1.410631
Anqing,1.403116
Taizhou,1.401368
Zibo,1.401269
Quanzhou,1.398597
Dongguan,1.398597
Jilin,1.394247
Lu'an,1.388205
Kaohsiung,1.386201
Bozhou,1.386201
Hengyang,1.386201
Yancheng,1.385994
Dali,1.385374
Zhongshan,1.378309
Chizhou,1.377658
Yangquan,1.377014
Dandong,1.372410
Dongying,1.366128
Xilingol,1.365334
Liuzhou,1.356827
Shangrao,1.356827
Haixi,1.356827
Jiuquan,1.356827
Huizhou,1.356827
Huai'an,1.356827
Ulanqab,1.356629
Qiqihar,1.355363
Huainan,1.352936
Hanzhong,1.349318
Ezhou,1.346864
Fushun,1.343024
Zhuzhou,1.342891
Xiangtan,1.340505
Daqing,1.339596
Dingxi,1.339502
Ankang,1.338847
Zhangzhou,1.338847
Anshan,1.338598
Qionghai,1.337908
Panjin,1.335033
Yanbian,1.330816
Ningde,1.329589
Diqing,1.324746
Yingkou,1.323031
Longyan,1.317480
Benxi,1.317480
Shangluo,1.317293
Deyang,1.317226
Xuancheng,1.316528
Enshi,1.315673
Haibei,1.314782
Binzhou,1.305593
Tongling,1.304804
Yulin,1.300168
Mianyang,1.298224
Mudanjiang,1.294950
Qiannan,1.292310
Chenzhou,1.291097
Guangyuan,1.290918
Kumul(Hami),1.290918
Guang'an,1.290918
Baoshan,1.290918
Yichun,1.290909
Beihai,1.288805
Yingtan,1.287654
Putian,1.287139
Anshun,1.286684
Lvliang,1.284827
Alty,1.284827
Yongzhou,1.284827
New Taipei,1.278853
Tongliao,1.278162
Suizhou,1.275528
Chaoyang,1.271642
Zunyi,1.268714
Quzhou,1.268079
Jingdezhen,1.266862
Shuozhou,1.264885
Zhongwei,1.264825
Garze,1.264401
Lishui,1.262264
Jiamusi,1.258709
Nyingchi,1.258300
Shizuishan,1.258276
Jiangmen,1.258108
Ganzhou,1.256562
Ya'an,1.256522
Tongchuan,1.255669
Huaibei,1.255250
Shantou,1.255250
Tainan,1.255250
Keramay,1.255250
Ili(Yili),1.255250
Tieling,1.255250
Wanning,1.255250
Wuhai,1.255250
Wuwei,1.255250
Xishuangbanna,1.255250
Yiyang,1.255250
Kashgar,1.255250
Nantou,1.255250
Hinggan,1.255250
Taidong,1.255081
Dehong,1.255081
Chiayi,1.255081
Meizhou,1.252124
Siping,1.246279
Taichung,1.245067
Bayannur,1.245067
Fuzhou,1.244395
Qingyuan,1.242385
Baishan,1.240062
Ma'anshan,1.239782
Jieyang,1.238769
Qinzhou,1.236882
Wenchang,1.233742
Yibin,1.229194
Zhanjiang,1.226271
Sanming,1.225526
Jiayuguan,1.223643
Longnan,1.223304
Meishan,1.221997
Fuxin,1.221710
Songyuan,1.221643
Xinyu,1.220853
Pingdong,1.218540
Zhaoqing,1.218018
Gannan,1.216914
Tongren,1.212004
Guigang,1.209572
Pingxiang,1.206839
Neijiang,1.206766
Hezhou,1.206503
Wuzhong,1.203226
Liangshanzhou,1.201588
Hualien,1.200815
Tonghua,1.200815
Sansha,1.198635
Changji,1.198635
Panzhihua,1.198635
Liupanshui,1.198635
Hechi,1.198635
Nagqu,1.198635
Honghe,1.198635
Yangjiang,1.198635
Haidong,1.198635
Chaozhou,1.198635
Zhangye,1.198635
Turpan,1.198635
Aksu,1.198635
Laibin,1.198635
Daxinganling,1.196813
Pingliang,1.194142
Laiwu,1.187351
Ziyang,1.185315
Suihua,1.183597
Luzhou,1.183597
Danzhou,1.183058
Huangnan,1.181426
Zigong,1.177508
Fangchenggang,1.174635
Alxa,1.173529
Qingyang,1.166560
Bayingolin,1.165117
Shaoyang,1.164950
Baise,1.158135
Chengmai,1.153032
Jixi,1.152408
Baicheng,1.148901
Lingshui,1.142197
Hsinchu,1.141401
Yichun,1.141401
Dingan,1.140899
Linxia,1.134984
Heihe,1.133131
Yilan,1.133131
Qianxinan,1.129461
Qujing,1.128650
Bazhong,1.126438
Baiyin,1.120696
Chongzuo,1.118840
Heyuan,1.117425
Yunlin,1.115633
Shannan,1.113427
Bijie,1.113427
Ledong,1.111059
Pu'er,1.109772
Liaoyuan,1.107602
Shuangyashan,1.107602
Qamdo,1.107602
Guyuan,1.104328
Yuxi,1.101291
Kinmen,1.101025
Shanwei,1.100469
Yushuzhou,1.098956
Yulin,1.095833
Jinchang,1.094397
Wuzhou,1.094397
Guigang,1.094397
Maoming,1.091649
Hegang,1.086792
Miaoli,1.078297
Changhua,1.078297
Hotan,1.078297
Penghu,1.074187
Baoting,1.071574
Qitaihe,1.068654
Yunfu,1.062989
Dongfang,1.060967
Changjiang,1.060967
Zhaotong,1.056551
Wuzhishan,1.052870
Bortala,1.044094
Golog,1.031359
Wenshan,1.027342
Lincang,1.027342
Ngari,1.008465
Nujiang,1.004624
Qiongzhong,0.994352
Tacheng,0.989066
Kezilsu,0.963424
