city,distance
Wuhan,4.608824
Zhengzhou,4.341194
Beijing,4.083056
Shanghai,3.775335
Zhumadian,3.539280
Xiaogan,3.272156
Nanjing,3.102687
Hefei,3.081499
Luohe,2.990297
Fuyang,2.940012
Xi'an,2.940012
Nanyang,2.885763
Luoyang,2.856879
Tianjin,2.826633
Guangzhou,2.687856
Huanggang,2.687856
Changsha,2.647159
Kaifeng,2.603099
Suizhou,2.603099
Xinxiang,2.603099
Hangzhou,2.554889
Lu'an,2.554889
Nanchang,2.554889
Shijiazhuang,2.554889
Jiujiang,2.501408
Nanchong,2.501408
Shangqiu,2.501408
Shenzhen,2.501408
Zhoukou,2.501408
Shangluo,2.440974
Wuxi,2.440974
Pingdingshan,2.370869
Suzhou,2.370869
Baoding,2.370869
Xiangyang,2.370869
Chongqing,2.286218
Chuzhou,2.286218
Handan,2.286218
Jinan,2.286218
Lanzhou,2.286218
Nanning,2.286218
Yueyang,2.286218
Zhenjiang,2.286218
Changzhou,2.176681
Ezhou,2.176681
Ganzhou,2.176681
Hebi,2.176681
Huangshan,2.176681
Huangshi,2.176681
Jiaozuo,2.176681
Chengde,2.176681
Shiyan,2.176681
Taiyuan,2.176681
Xianning,2.176681
Yichang,2.176681
Yinchuan,2.176681
Zhoushan,2.176681
Dingan,2.011895
Fuzhou,2.011895
Baoji,2.011895
Guilin,2.011895
Anyang,2.011895
Hengshui,2.011895
Hong Kong,2.011895
Huaibei,2.011895
Huludao,2.011895
Jingzhou,2.011895
Jinhua,2.011895
Jinzhou,2.011895
Dalian,2.011895
Liuzhou,2.011895
Chengdou,2.011895
Nyingchi,2.011895
Puyang,2.011895
Qingdao,2.011895
Shamen,2.011895
Shaoxing,2.011895
Shaoyang,2.011895
Bozhou,2.011895
Tai'an,2.011895
Wuhu,2.011895
Changde,2.011895
Xinyu,2.011895
Xishuangbanna,2.011895
Xuchang,2.011895
Yancheng,2.011895
Yangzhou,2.011895
Yingtan,2.011895
Yuncheng,2.011895
Chenzhou,2.011895
Zhuhai,2.011895
Anqing,2.011895
Zibo,2.011895
Jiaxing,1.812727
Langfang,1.734980
Ningbo,1.726177
Qinhuangdao,1.687368
Zhongshan,1.682087
Shenyang,1.665850
Xianyang,1.646225
Jingmen,1.645969
Nantong,1.631100
Xuzhou,1.629411
Sanmenxia,1.623257
Foshan,1.620523
Tangshan,1.611818
Enshi,1.610821
Kunming,1.610821
Harbin,1.606639
Weinan,1.599504
Huzhou,1.595128
Sanya,1.591214
Zhangjiakou,1.584893
Huainan,1.576297
Changchun,1.562720
Taipei,1.550653
Hohhot,1.535529
Lhasa,1.529877
Chizhou,1.528808
Xiangxi,1.518764
Haikou,1.517065
Bangbu,1.510279
Dongguan,1.509135
Yan'an,1.500722
Yantai,1.499739
Urumqi,1.494516
Cangzhou,1.491048
Wenzhou,1.491005
Zhuzhou,1.489811
Guiyang,1.487750
Xiangtan,1.486874
Jiyuan,1.485927
Hengyang,1.470256
Taizhou,1.461752
Shangrao,1.460582
Dazhou,1.460322
Datong,1.458536
Macau,1.457790
Lijiang,1.456228
Heze,1.451918
Suining,1.451293
Taoyuan,1.448897
Xingtai,1.442332
Xining,1.441112
Tongling,1.439608
Jinzhong,1.439261
Taizhou,1.436185
Huai'an,1.429436
Tongliao,1.429155
Baotou,1.427262
Jincheng,1.424013
Zhangjiajie,1.419173
Hulunbuir,1.418497
Hanzhong,1.417820
Dezhou,1.413881
Ma'anshan,1.412279
Ordos,1.411645
Shaoguan,1.410346
Jingdezhen,1.409580
Ankang,1.407479
Weihai,1.405493
Fangchenggang,1.404370
Jining,1.402492
Yichun,1.398885
Quanzhou,1.398099
Guang'an,1.397283
Jiangmen,1.397255
Weifang,1.396999
Xinzhou,1.396019
Beihai,1.395805
Changzhi,1.394696
Ngawa,1.391764
Chifeng,1.388931
Huaihua,1.388058
Jian,1.385659
Chongzuo,1.382820
Zhongwei,1.382014
Jiuquan,1.378261
Mianyang,1.378222
Shizuishan,1.374200
Lianyungang,1.371190
Jilin,1.370400
Qionghai,1.365280
Xiuzhou,1.364963
Yulin,1.363654
Qingyuan,1.363032
Luzhou,1.362876
Tianshui,1.362876
Ya'an,1.362876
Longnan,1.362876
Loudi,1.361688
Huizhou,1.359265
Yiyang,1.354475
Dandong,1.348827
Zhaoqing,1.347981
Xuancheng,1.347211
Qamdo,1.345118
Fuzhou,1.344428
Linyi,1.344280
Dongying,1.343226
Xilingol,1.342459
Zaozhuang,1.341297
Qinzhou,1.339364
Rizhao,1.336473
Linfen,1.336025
Qiqihar,1.332818
Baise,1.325482
Dali,1.324102
Pu'er,1.324059
Ili(Yili),1.322491
Fushun,1.320883
Daqing,1.317568
Liaocheng,1.316832
Anshan,1.316602
Tongchuan,1.314784
Nanping,1.313950
Bazhong,1.313936
Panjin,1.313153
Yanbian,1.309073
Wuzhong,1.308802
Guangyuan,1.306477
Leshan,1.304018
Diqing,1.303199
Yangquan,1.302032
Yingkou,1.301540
Pingxiang,1.300698
Ulanqab,1.300419
Gannan,1.299545
Liupanshui,1.298408
Yongzhou,1.298408
Zhangzhou,1.298408
Kaohsiung,1.298281
Quzhou,1.296520
Shantou,1.291629
Lishui,1.290442
Jiayuguan,1.287576
Binzhou,1.284660
Heyuan,1.283115
Zhanjiang,1.281934
