city,distance
Taiyuan,5.202590
Beijing,4.963403
Datong,4.049089
Shanghai,3.849951
Jinzhong,3.674647
Tianjin,3.350177
Baoding,3.193736
Shijiazhuang,3.001333
Shuozhou,3.001333
Xi'an,2.581363
Yulin,2.465129
Hohhot,2.430855
Lvliang,2.430855
Guangzhou,2.307394
Nanjing,2.307394
Yangquan,2.307394
Changde,2.255875
Ordos,2.255875
Qingdao,2.255875
Suzhou,2.255875
Changzhi,2.195868
Qinhuangdao,2.195868
Shenzhen,2.195868
Zhangjiakou,2.195868
Chengdou,2.123061
Chongqing,2.123061
Hangzhou,2.123061
Hefei,2.123061
Tangshan,2.123061
Yangzhou,2.123061
Changzhou,2.028276
Dalian,2.028276
Guilin,2.028276
Anqing,2.028276
Linfen,2.028276
Anyang,2.028276
Weinan,2.028276
Yuncheng,2.028276
Zhengzhou,2.028276
Ulanqab,1.928447
Hong Kong,1.890079
Chifeng,1.884452
Chizhou,1.884452
Dandong,1.884452
Dezhou,1.884452
Dongying,1.884452
Fuzhou,1.884452
Guiyang,1.884452
Haikou,1.884452
Harbin,1.884452
Hengshui,1.884452
Jiaozuo,1.884452
Jiaxing,1.884452
Jinan,1.884452
Jinzhou,1.884452
Langfang,1.884452
Lanzhou,1.884452
Lhasa,1.884452
Lianyungang,1.884452
Liaocheng,1.884452
Lijiang,1.884452
Luoyang,1.884452
Sanya,1.884452
Shamen,1.884452
Shenyang,1.884452
Tai'an,1.884452
Cangzhou,1.884452
Wenzhou,1.884452
Wuhan,1.884452
Wuxi,1.884452
Xinxiang,1.884452
Yichun,1.884452
Zibo,1.884452
Ningbo,1.741611
Changsha,1.691546
Chengde,1.684937
Changchun,1.676531
Kunming,1.674347
Taipei,1.662650
Zhoushan,1.659452
Nantong,1.644873
Jincheng,1.640757
Urumqi,1.623722
Huzhou,1.608298
Nanchang,1.604905
Yantai,1.604254
Chaoyang,1.599714
Shaoxing,1.583070
Taoyuan,1.546216
Yinchuan,1.544151
Nanning,1.543013
Jinhua,1.540315
Xingtai,1.536455
Huludao,1.529909
Zhuhai,1.528869
Xianyang,1.527399
Baotou,1.521602
Zhenjiang,1.517613
Xuzhou,1.513041
Hulunbuir,1.511643
Xining,1.511643
Handan,1.509844
Yan'an,1.509844
Huangshan,1.503919
Weihai,1.496885
Jining,1.493481
Weifang,1.487254
Shiyan,1.485848
Baoji,1.484046
Ngawa,1.481322
Macau,1.478114
Foshan,1.473991
Taizhou,1.472804
Kumul(Hami),1.457828
Jilin,1.457144
Taizhou,1.446852
Jiujiang,1.442679
Yichang,1.428174
Yancheng,1.427926
Xilingol,1.425594
Zaozhuang,1.424284
Zhangjiajie,1.424284
Bangbu,1.423314
Qiqihar,1.414727
Linyi,1.413778
Xiangxi,1.407244
Dali,1.404911
Kaifeng,1.401812
Fushun,1.401288
Quanzhou,1.398097
Daqing,1.397557
Anshan,1.396470
Panjin,1.392591
Shangrao,1.392173
Yanbian,1.388003
Huai'an,1.385643
Diqing,1.381401
Dongguan,1.380783
Yingkou,1.379537
Jiuquan,1.372203
Zhongwei,1.372203
Nanping,1.371110
Xiangyang,1.366316
Wuhu,1.363864
Binzhou,1.360588
Kaohsiung,1.359112
Xuancheng,1.356593
Leshan,1.349828
Suining,1.349767
Turpan,1.349767
Wuwei,1.349767
Xiangtan,1.349767
Mudanjiang,1.349034
Mianyang,1.348221
Liuzhou,1.347403
Jian,1.345748
Beihai,1.342366
Xinyang,1.333445
Rizhao,1.332513
New Taipei,1.331573
Zhongshan,1.330626
Hanzhong,1.328788
Yiyang,1.323494
Guangyuan,1.321901
Nanyang,1.321901
Puyang,1.321901
Chuzhou,1.321901
Xiuzhou,1.321901
Nyingchi,1.321838
Tongliao,1.319634
Jingdezhen,1.318578
Benxi,1.315151
Heze,1.312023
Jiamusi,1.309748
Ankang,1.307555
Ganzhou,1.307424
Quzhou,1.305208
Bayannur,1.302759
Meizhou,1.302620
Yueyang,1.301385
Lishui,1.299048
Sanmenxia,1.297843
Siping,1.296296
Taichung,1.294984
Ili(Yili),1.292312
Huizhou,1.292312
Jingzhou,1.290950
Tieling,1.290950
Hinggan,1.290950
Baishan,1.289570
Jieyang,1.288172
Jiangmen,1.286944
Yingtan,1.286857
Baoshan,1.285318
Keramay,1.284526
Huaibei,1.284526
Xiaogan,1.284526
Xishuangbanna,1.284526
Xuchang,1.284526
Garze,1.284526
Shangqiu,1.283862
Zhangzhou,1.283862
Luohe,1.282384
Anshun,1.279765
Zhuzhou,1.279365
Nagqu,1.278795
Yibin,1.277821
Qiandongnan,1.274663
Zhanjiang,1.274663
Fuyang,1.274663
Shangluo,1.274646
